What Do You Mean?	Justin Bieber
Can't Feel My Face	The Weeknd
The Hills	The Weeknd
Watch Me	Silento
Cheerleader	OMI
Lean On	Major Lazer & DJ Snake Featuring MO
Good For You	Selena Gomez Featuring A$AP Rocky
679	Fetty Wap Featuring Remy Boyz
Locked Away	R. City Featuring Adam Levine
Where Are U Now	Skrillex & Diplo With Justin Bieber
Cool For The Summer	Demi Lovato
Photograph	Ed Sheeran
Fight Song	Rachel Platten
Trap Queen	Fetty Wap
Wildest Dreams	Taylor Swift
My Way	Fetty Wap Featuring Monty
Shut Up And Dance	WALK THE MOON
Downtown	Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz
Stitches	Shawn Mendes
See You Again	Wiz Khalifa Featuring Charlie Puth
Bad Blood	Taylor Swift Featuring Kendrick Lamar
Hotline Bling	Drake
Drag Me Down	One Direction
Hit The Quan	iLoveMemphis
Uptown Funk!	Mark Ronson Featuring Bruno Mars
Marvin Gaye	Charlie Puth Featuring Meghan Trainor
Uma Thurman	Fall Out Boy
All Eyes On You	Meek Mill Featuring Chris Brown & Nicki Minaj
Worth It	Fifth Harmony Featuring Kid Ink
Classic Man	Jidenna Featuring Roman GianArthur
Flex (Ooh Ooh Ooh)	Rich Homie Quan
Want To Want Me	Jason Derulo
House Party	Sam Hunt
Thinking Out Loud	Ed Sheeran
Honey, I'm Good.	Andy Grammer
Sugar	Maroon 5
Earned It (Fifty Shades Of Grey)	The Weeknd
Post To Be	Omarion Featuring Chris Brown & Jhene Aiko
Back To Back	Drake
Renegades	X Ambassadors
John Cougar, John Deere, John 3:16	Keith Urban
Again	Fetty Wap
Hey Mama	David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack
Love Myself	Hailee Steinfeld
Buy Me A Boat	Chris Janson
Crash And Burn	Thomas Rhett
Prisoner	The Weeknd Featuring Lana Del Rey
Strip It Down	Luke Bryan
Planez	Jeremih Featuring J. Cole
Ex's & Oh's	Elle King
Should've Been Us	Tori Kelly
Where Ya At	Future Featuring Drake
Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend
Tell Your Friends	The Weeknd
How Deep Is Your Love	Calvin Harris & Disciples
This Could Be Us	Rae Sremmurd
I Don't Like It, I Love It	Flo Rida Featuring Robin Thicke & Verdine White
She's Kinda Hot	5 Seconds Of Summer
Lose My Mind	Brett Eldredge
Acquainted	The Weeknd
Hell Of A Night	Dustin Lynch
Real Life	The Weeknd
Save It For A Rainy Day	Kenny Chesney
Kick The Dust Up	Luke Bryan
El Perdon (Forgiveness)	Nicky Jam & Enrique Iglesias
Here	Alessia Cara
Burning House	Cam
Comfortable	K Camp
Fly	Maddie & Tae
Levels	Nick Jonas
Beautiful Now	Zedd Featuring Jon Bellion
Ghost Town	Adam Lambert
Anything Goes	Florida Georgia Line
Black Magic	Little Mix
Break Up With Him	Old Dominion
Smoke Break	Carrie Underwood
Roots	Imagine Dragons
I'm Comin' Over	Chris Young
Shameless	The Weeknd
Rotten To The Core	Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson
Cheyenne	Jason Derulo
One Man Can Change The World	Big Sean Featuring Kanye West & John Legend
Loving You Easy	Zac Brown Band
Alright	Kendrick Lamar
Losers	The Weeknd Featuring Labrinth
Do It Again	Pia Mia Featuring Chris Brown & Tyga
R.I.C.O.	Meek Mill Featuring Drake
Let Me See Ya Girl	Cole Swindell
Omen	Disclosure Featuring Sam Smith
Young & Crazy	Frankie Ballard
100	The Game Featuring Drake
No Role Modelz	J. Cole
Dark Times	The Weeknd Featuring Ed Sheeran
Nothin' Like You	Dan + Shay
Jet Black Heart	5 Seconds Of Summer
Gonna Wanna Tonight	Chase Rice
New Americana	Halsey
The Night Is Still Young	Nicki Minaj
Real Life	Jake Owen
In The Night	The Weeknd
