Reunited	Peaches & Herb
Hot Stuff	Donna Summer
In The Navy	Village People
Stumblin' In	Suzi Quatro & Chris Norman
Goodnight Tonight	Wings
Love You Inside Out	Bee Gees
Shake Your Body (Down To The Ground)	The Jacksons
Take Me Home	Cher
He's The Greatest Dancer	Sister Sledge
Heart Of Glass	Blondie
Love Is The Answer	England Dan & John Ford Coley
Love Takes Time	Orleans
We Are Family	Sister Sledge
The Logical Song	Supertramp
Just When I Needed You Most	Randy VanWarmer
I Want Your Love	Chic
Disco Nights (Rock-Freak)	G.Q.
Deeper Than The Night	Olivia Newton-John
Renegade	Styx
Rock 'n' Roll Fantasy	Bad Company
Knock On Wood	Amii Stewart
Chuck E.'s In Love	Rickie Lee Jones
She Believes In Me	Kenny Rogers
Hot Number	Foxy
You Take My Breath Away	Rex Smith
Honesty	Billy Joel
Such A Woman	Tycoon
Ain't Love A Bitch	Rod Stewart
Get Used To It	Roger Voudouris
Old Time Rock & Roll	Bob Seger & The Silver Bullet Band
I Got My Mind Made Up (You Can Get It Girl)	Instant Funk
Makin' It	David Naughton
Don't You Write Her Off	McGuinn, Clark & Hillman
Music Box Dancer	Frank Mills
(If Loving You Is Wrong) I Don't Want To Be Right	Barbara Mandrell
Minute By Minute	The Doobie Brothers
Blow Away	George Harrison
It Must Be Love	Alton McClain & Destiny
Saturday Night, Sunday Morning	Thelma Houston
Little Bit Of Soap	Nigel Olsson
I Want You To Want Me	Cheap Trick
Boogie Wonderland	Earth, Wind & Fire with The Emotions
Dance The Night Away	Van Halen
Diamonds	Chris Rea
What A Fool Believes	The Doobie Brothers
Dancin' Fool	Frank Zappa
Rhumba Girl	Nicolette Larson
I Don't Want Nobody Else (To Dance With You)	Narada Michael Walden
When You're In Love With A Beautiful Woman	Dr. Hook
I Will Survive	Gloria Gaynor
Good Timin'	The Beach Boys
Ain't No Stoppin' Us Now	McFadden & Whitehead
Georgy Porgy	Toto
Shakedown Cruise	Jay Ferguson
One More Minute	Saint Tropez
You Can't Change That	Raydio
Shine A Little Love	Electric Light Orchestra
Just The Same Way	Journey
Don't Ever Wanna Lose Ya	New England
One Chain (Don't Make No Prison)	Santana
Love Ballad	George Benson
Star Love	Cheryl Lynn
(Wish I Could Fly Like) Superman	The Kinks
Can't Sleep	Rockets
Dance Away	Roxy Music
Boogie Woogie Dancin' Shoes	Claudja Barry
Easy To Be Hard	Cheryl Barnes/Hair Soundtrack
My Baby's Baby	Liquid Gold
Bang A Gong	Witch Queen
Feel The Need	Leif Garrett
My Love Is Music	Space
Can't Keep A Good Man Down	Eddie Money
Ring My Bell	Anita Ward
Heart Of The Night	Poco
Night Dancin'	Taka Boom
Theme From Ice Castles (Through The Eyes Of Love)	Melissa Manchester
Dance With You	Carrie Lucas
Gold	John Stewart
Bustin' Out	Rick James
I (Who Have Nothing)	Sylvester
Mirror Star	Fabulous Poodles
Good Times Roll	The Cars
Does Your Mother Know	ABBA
Say Maybe	Neil Diamond
Sad Eyes	Robert John
Tragedy	Bee Gees
Do You Wanna Go Party	KC And The Sunshine Band
No Time To Lose	The Tarney/Spencer Band
Heart To Heart	Errol Sober
Make Love To Me	Helen Reddy
Roxanne	The Police
Sultans Of Swing	Dire Straits
There But For The Grace Of God Go I	Machine
Heaven Knows	Donna Summer With Brooklyn Dreams
Lady	Little River Band
Sweet Lui-Louise	Ironhorse
Pinball, That's All	Bill Wray
Crazy Love	The Allman Brothers Band
Happiness	The Pointer Sisters
Precious Love	Bob Welch
