Cheerleader	OMI
Can't Feel My Face	The Weeknd
Watch Me	Silento
Lean On	Major Lazer & DJ Snake Featuring MO
The Hills	The Weeknd
Good For You	Selena Gomez Featuring A$AP Rocky
Fight Song	Rachel Platten
679	Fetty Wap Featuring Remy Boyz
Trap Queen	Fetty Wap
Shut Up And Dance	WALK THE MOON
My Way	Fetty Wap Featuring Monty
Bad Blood	Taylor Swift Featuring Kendrick Lamar
See You Again	Wiz Khalifa Featuring Charlie Puth
Where Are U Now	Skrillex & Diplo With Justin Bieber
Photograph	Ed Sheeran
Locked Away	R. City Featuring Adam Levine
Cool For The Summer	Demi Lovato
Uptown Funk!	Mark Ronson Featuring Bruno Mars
Worth It	Fifth Harmony Featuring Kid Ink
Want To Want Me	Jason Derulo
Honey, I'm Good.	Andy Grammer
Classic Man	Jidenna Featuring Roman GianArthur
Uma Thurman	Fall Out Boy
Post To Be	Omarion Featuring Chris Brown & Jhene Aiko
Marvin Gaye	Charlie Puth Featuring Meghan Trainor
House Party	Sam Hunt
Hey Mama	David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack
Flex (Ooh Ooh Ooh)	Rich Homie Quan
Sugar	Maroon 5
Thinking Out Loud	Ed Sheeran
Drag Me Down	One Direction
Stitches	Shawn Mendes
Earned It (Fifty Shades Of Grey)	The Weeknd
Hotline Bling	Drake
Back To Back	Drake
Crash And Burn	Thomas Rhett
Renegades	X Ambassadors
Straight Outta Compton	N.W.A
Kick The Dust Up	Luke Bryan
Again	Fetty Wap
Hit The Quan	iLoveMemphis
She's Kinda Hot	5 Seconds Of Summer
I Don't Like It, I Love It	Flo Rida Featuring Robin Thicke & Verdine White
Buy Me A Boat	Chris Janson
B**** Better Have My Money	Rihanna
Love Me Like You Do	Ellie Goulding
All Eyes On You	Meek Mill Featuring Chris Brown & Nicki Minaj
John Cougar, John Deere, John 3:16	Keith Urban
Talking Body	Tove Lo
Boyz-N-The Hood	Eazy-E
Planez	Jeremih Featuring J. Cole
Nasty Freestyle	T-Wayne
This Could Be Us	Rae Sremmurd
Like A Wrecking Ball	Eric Church
Loving You Easy	Zac Brown Band
Young & Crazy	Frankie Ballard
Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend
Lose My Mind	Brett Eldredge
Hell Of A Night	Dustin Lynch
Rotten To The Core	Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson
How Deep Is Your Love	Calvin Harris & Disciples
Strip It Down	Luke Bryan
Be Real	Kid Ink Featuring DeJ Loaf
Should've Been Us	Tori Kelly
High By The Beach	Lana Del Rey
Beautiful Now	Zedd Featuring Jon Bellion
Ex's & Oh's	Elle King
Black Magic	Little Mix
Save It For A Rainy Day	Kenny Chesney
Burning House	Cam
Comfortable	K Camp
El Perdon (Forgiveness)	Nicky Jam & Enrique Iglesias
Cheyenne	Jason Derulo
Love Myself	Hailee Steinfeld
Fly	Maddie & Tae
Kiss You In The Morning	Michael Ray
Ghost Town	Adam Lambert
Anything Goes	Florida Georgia Line
Here	Alessia Cara
R.I.C.O.	Meek Mill Featuring Drake
Break Up With Him	Old Dominion
Sangria	Blake Shelton
Omen	Disclosure Featuring Sam Smith
I'm Comin' Over	Chris Young
Where Ya At	Future Featuring Drake
The Fix	Nelly Featuring Jeremih
Do It Again	Pia Mia Featuring Chris Brown & Tyga
Real Life	Jake Owen
Wet Dreamz	J. Cole
Let Me See Ya Girl	Cole Swindell
One Hell Of An Amen	Brantley Gilbert
One Man Can Change The World	Big Sean Featuring Kanye West & John Legend
Tonight Looks Good On You	Jason Aldean
Alright	Kendrick Lamar
Nothin' Like You	Dan + Shay
Fun	Pitbull Featuring Chris Brown
Gonna Wanna Tonight	Chase Rice
100	The Game Featuring Drake
How Many Times	DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean
Fly Away	5 Seconds Of Summer
