My Love	Paul McCartney And Wings
Playground In My Mind	Clint Holmes
I'm Gonna Love You Just A Little More Baby	Barry White
Will It Go Round In Circles	Billy Preston
Give Me Love - (Give Me Peace On Earth)	George Harrison
Pillow Talk	Sylvia (r&b)
Kodachrome	Paul Simon
Daniel	Elton John
Long Train Runnin'	The Doobie Brothers
Right Place Wrong Time	Dr. John
Shambala	Three Dog Night
One Of A Kind (Love Affair)	The Spinners
Frankenstein	Edgar Winter Group
Bad, Bad Leroy Brown	Jim Croce
Natural High	Bloodstone
Yesterday Once More	Carpenters
I'm Doin' Fine Now	New York City
Tie A Yellow Ribbon Round The Ole Oak Tree	Dawn Featuring Tony Orlando
Hocus Pocus	Focus
Smoke On The Water	Deep Purple
Boogie Woogie Bugle Boy	Bette Midler
Drift Away	Dobie Gray
You'll Never Get To Heaven (If You Break My Heart)	The Stylistics
Daddy Could Swear, I Declare	Gladys Knight And The Pips
Wildflower	Skylark
Leaving Me	The Independents
So Very Hard To Go	Tower Of Power
Behind Closed Doors	Charlie Rich
Diamond Girl	Seals & Crofts
Give It To Me	The J. Geils Band
And I Love You So	Perry Como
You Are The Sunshine Of My Life	Stevie Wonder
Money	Pink Floyd
No More Mr. Nice Guy	Alice Cooper
Stuck In The Middle With You	Stealers Wheel
Let's Pretend	Raspberries
Little Willy	The Sweet
Give Your Baby A Standing Ovation	The Dells
Satin Sheets	Jeanne Pruett
Doing It To Death	Fred Wesley & The J.B.'s
The Night The Lights Went Out In Georgia	Vicki Lawrence
Close Your Eyes	Edward Bear
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
Back When My Hair Was Short	Gunhill Road
Time To Get Down	The O'Jays
Reeling In The Years	Steely Dan
Swamp Witch	Jim Stafford
The Free Electric Band	Albert Hammond
Misdemeanor	Foster Sylvers
Steamroller Blues/Fool	Elvis Presley
The Plastic Man	The Temptations
Thinking Of You	Loggins & Messina
Hey You! Get Off My Mountain	The Dramatics
Why Me	Kris Kristofferson
Goin' Home	The Osmonds
The Right Thing To Do	Carly Simon
I'll Always Love My Mama (Part I)	The Intruders
Touch Me In The Morning	Diana Ross
Roll Over Beethoven	Electric Light Orchestra
Funky Worm	Ohio Players
Never, Never, Never (Grande, Grande, Grande)	Shirley Bassey
There's No Me Without You	The Manhattans
Letter To Lucille	Tom Jones
Where Peaceful Waters Flow	Gladys Knight And The Pips
Love And Happiness	Earnest Jackson
What About Me	Anne Murray
Finder's Keepers	Chairman Of The Board
Teddy Bear Song	Barbara Fairchild
Brother's Gonna Work It Out	Willie Hutch
Super Fly Meets Shaft	John & Ernest
Soul Makossa	Afrique
Be What You Are	The Staple Singers
I'd Rather Be A Cowboy	John Denver
First Cut Is The Deepest	Keith Hampshire
Feelin' Stronger Every Day	Chicago
Get Down	Gilbert O'Sullivan
Nobody Wants You When You're Down And Out	Bobby Womack
How Can I Tell Her	Lobo
Shambala	B.W. Stevenson
I Believe In You (You Believe In Me)	Johnnie Taylor
Are You Man Enough	Four Tops
Mother-in-law	Clarence Carter
Brother Louie	Stories
Giving It All Away	Roger Daltrey
Avenging Annie	Andy Pratt
Delta Dawn	Helen Reddy
Over The Hills And Far Away	Led Zeppelin
Soul Makossa	Manu Dibango
Kids Say The Darndest Things	Tammy Wynette
Watergrate	Dickie Goodman
I Don't Want To Make You Wait	The Delfonics
Tequila Sunrise	Eagles
My Heart Just Keeps On Breakin'	The Chi-lites
You Were Always There	Donna Fargo
Blockbuster	The Sweet
I Can Make It Thru The Days (But Oh Those Lonely Nights)	Ray Charles
He Did With Me	Vicki Lawrence
Music Everywhere	Tufano & Giammarese
The Morning After	Maureen McGovern
You Always Come Back (To Hurting Me)	Johnny Rodriguez
