Private Eyes	Daryl Hall John Oates
Start Me Up	The Rolling Stones
Arthur's Theme (Best That You Can Do)	Christopher Cross
For Your Eyes Only	Sheena Easton
Tryin' To Live My Life Without You	Bob Seger
The Night Owls	Little River Band
Hard To Say	Dan Fogelberg
I've Done Everything For You	Rick Springfield
Here I Am (Just When I Thought I Was Over You)	Air Supply
Waiting For A Girl Like You	Foreigner
When She Was My Girl	Four Tops
The Theme From Hill Street Blues	Mike Post featuring Larry Carlton
Endless Love	Diana Ross & Lionel Richie
Physical	Olivia Newton-John
We're In This Love Together	Al Jarreau
Oh No	Commodores
Say Goodbye To Hollywood	Billy Joel
Just Once	Quincy Jones Featuring James Ingram
Every Little Thing She Does Is Magic	The Police
The Old Songs	Barry Manilow
Why Do Fools Fall In Love	Diana Ross
Step By Step	Eddie Rabbitt
Share Your Love With Me	Kenny Rogers
Super Freak (Part I)	Rick James
Young Turks	Rod Stewart
She's A Bad Mama Jama (She's Built, She's Stacked)	Carl Carlton
Atlanta Lady (Something About Your Love)	Marty Balin
Sausalito Summernight	Diesel
Let's Groove	Earth, Wind & Fire
Trouble	Lindsey Buckingham
Leather And Lace	Stevie Nicks With Don Henley
Stop Draggin' My Heart Around	Stevie Nicks With Tom Petty And The Heartbreakers
Harden My Heart	Quarterflash
My Girl (Gone, Gone, Gone)	Chilliwack
Our Lips Are Sealed	Go-Go's
No Reply At All	Genesis
Take My Heart (You Can Have It If You Want It)	Kool & The Gang
Promises In The Dark	Pat Benatar
The Sweetest Thing (I've Ever Known)	Juice Newton
Don't Stop Believin'	Journey
Never Too Much	Luther Vandross
Who's Crying Now	Journey
Steal The Night	Stevie Woods
I Want You, I Need You	Chris Christian
Alien	Atlanta Rhythm Section
Urgent	Foreigner
One More Night	Streek
Poor Man's Son	Survivor
When She Dances	Joey Scarbury
Heart Like A Wheel	The Steve Miller Band
Yesterday's Songs	Neil Diamond
Hold On Tight	Electric Light Orchestra
In The Dark	Billy Squier
Magic Power	Triumph
Twilight	Electric Light Orchestra
I Could Never Miss You (More Than I Do)	Lulu
Bet Your Heart On Me	Johnny Lee
Queen Of Hearts	Juice Newton
The Voice	The Moody Blues
You Saved My Soul	Burton Cummings
The Beach Boys Medley	The Beach Boys
Turn Your Love Around	George Benson
Mistaken Identity	Kim Carnes
Working In The Coal Mine	Devo
I Wouldn't Have Missed It For The World	Ronnie Milsap
It's All I Can Do	Anne Murray
Snake Eyes	The Alan Parsons Project
Run To Me	Savoy Brown
Pay The Devil (Ooo, Baby, Ooo)	The Knack
Centerfold	The J. Geils Band
I Surrender	Arlan Day
I'm Just Too Shy	Jermaine Jackson
The Cowboy And The Lady	John Denver
Hooked On Classics	Royal Philharmonic Orchestra
Slip Away	Pablo Cruise
La La Means I Love You	Tierra
Controversy	Prince
Castles In The Air	Don McLean
Wrack My Brain	Ringo Starr
Under Pressure	Queen & David Bowie
More Than Just The Two Of Us	Sneaker
The Jam Was Moving	Debbie Harry
Cool Night	Paul Davis
Living Eyes	Bee Gees
Burnin' For You	Blue Oyster Cult
He's A Liar	Bee Gees
Sweet Merilee	Donnie Iris
Talking Out Of Turn	The Moody Blues
Lady (You Bring Me Up)	Commodores
Destroyer	The Kinks
I Heard It Through The Grapevine (Part 1)	Roger
A Lucky Guy	Rickie Lee Jones
Heavy Metal (Takin' A Ride)	Don Felder
Snap Shot	Slave
(There's) No Gettin' Over Me	Ronnie Milsap
More Stars	More Stars On 45
Slow Hand	The Pointer Sisters
General Hospi-tale	The Afternoon Delights
Stay Awake	Ronnie Laws
Take Me Now	David Gates
