Chapel Of Love	The Dixie Cups
Love Me Do	The Beatles
My Guy	Mary Wells
Love Me With All Your Heart (Cuando Calienta El Sol)	The Ray Charles Singers
Hello, Dolly!	Louis Armstrong And The All Stars
A World Without Love	Peter And Gordon
Walk On By	Dionne Warwick
Little Children	Billy J. Kramer With The Dakotas
(Just Like) Romeo & Juliet	The Reflections
P.S. I Love You	The Beatles
Do You Love Me	The Dave Clark Five
People	Barbra Streisand
Every Little Bit Hurts	Brenda Holloway
Diane	The Bachelors
Cotton Candy	Al Hirt
It's Over	Roy Orbison
I Get Around	The Beach Boys
Today	The New Christy Minstrels
Once Upon A Time	Marvin Gaye & Mary Wells
Tell Me Why	Bobby Vinton
I'm So Proud	The Impressions
I Don't Want To Be Hurt Anymore	Nat King Cole
Ronnie	The 4 Seasons Featuring the "Sound of Frankie Valli"
What'd I Say	Elvis Presley With The Jubilee Four And Carole Lombard Quartet
Bits And Pieces	The Dave Clark Five
Don't Let The Sun Catch You Crying	Gerry And The Pacemakers
My Boy Lollipop	Millie Small
Three Window Coupe	The Rip Chords
Be Anything (But Be Mine)	Connie Francis
Tears And Roses	Al Martino
Dead Man's Curve	Jan & Dean
Wish Someone Would Care	Irma Thomas
Viva Las Vegas	Elvis Presley With The Jordanaires
Wrong For Each Other	Andy Williams
Goodbye Baby (Baby Goodbye)	Solomon Burke
Do You Want To Know A Secret	The Beatles
White On White	Danny Williams
I'll Touch A Star	Terry Stafford
The Very Thought Of You	Rick Nelson
I Rise, I Fall	Johnny Tillotson
Tall Cool One	The Wailers
What's The Matter With You Baby	Marvin Gaye & Mary Wells
No Particular Place To Go	Chuck Berry
Good Golly Miss Molly	The Swinging Blue Jeans
Rock Me Baby	B.B. King
I Don't Wanna Be A Loser	Lesley Gore
Sugar And Spice	The Searchers
Gonna Get Along Without You Now	Skeeter Davis
Shangri-La	Robert Maxwell His Harp And Orchestra
Kiss Me Quick	Elvis Presley With The Jordanaires
Gonna' Get Along Without You Now	Tracey Dey
Too Late To Turn Back Now	Brook Benton
I Knew It All The Time	The Dave Clark Five
Don't Throw Your Love Away	The Searchers
Hurt By Love	Inez Foxx
One Way Love	The Drifters
Another Cup Of Coffee	Brook Benton
Giving Up	Gladys Knight And The Pips
Whenever He Holds You	Bobby Goldsboro
Beans In My Ears	The Serendipity Singers
Bad To Me	Billy J. Kramer With The Dakotas
Party Girl	Bernadette Carroll
Memphis	Johnny Rivers
Yesterday's Gone	Chad & Jeremy
I'll Be In Trouble	The Temptations
Donnie	The Bermudas
One Girl	Garnet Mimms
Milord	Bobby Darin
The World Of Lonely People	Anita Bryant
The French Song	Lucille Starr
What Have I Got Of My Own	Trini Lopez
Yesterday's Hero	Gene Pitney
Rules Of Love	The Orlons
Don't Worry Baby	The Beach Boys
My Baby Don't Dig Me	Ray Charles and his Orchestra
Beg Me	Chuck Jackson
Good Times	Sam Cooke
Everybody Knows	Steve Lawrence
Kiko	Jimmy McGriff
A World Without Love	Bobby Rydell
Hickory, Dick And Doc	Bobby Vee
Not Fade Away	The Rolling Stones
Just Ain't Enough Love	Eddie Holland
Yesterday's Gone	The Overlanders
Keep On Pushing	The Impressions
The World I Used To Know	Jimmie Rodgers
The Girl From Ipanema	Stan Getz/Astrud Gilberto
Be My Girl	The Four-Evers
It Ain't No Use	Major Lance
Something You Got	Alvin Robinson
The First Night Of The Full Moon	Jack Jones
That's Really Some Good	Rufus & Carla
I Wanna Be Loved	Dean And Jean
Remember Me	Rita Pavone
Kick That Little Foot Sally Ann	Round Robin
My Dreams	Brenda Lee
Lazy Elsie Molly	Chubby Checker
Alone	The 4 Seasons
Trouble I've Had	Clarence Ashe
Try It Baby	Marvin Gaye
