Groovy Kind Of Love	Phil Collins
Kokomo (From"Cocktail" )	The Beach Boys
Wild, Wild West	The Escape Club
Red Red Wine	UB40
What's On Your Mind (Pure Energy)	Information Society
Don't You Know What The Night Can Do?	Steve Winwood
The Loco-Motion	Kylie Minogue
Never Tear Us Apart	INXS
One Moment In Time	Whitney Houston
Bad Medicine	Bon Jovi
Don't Be Cruel	Bobby Brown
Chains Of Love	Erasure
Love Bites	Def Leppard
Desire	U2
Forever Young	Rod Stewart
Another Lover	Giant Steps
How Can I Fall?	Breathe
True Love	Glenn Frey
Don't Be Cruel	Cheap Trick
Don't Know What You Got (Till It's Gone)	Cinderella
Baby, I Love Your Way/Freebird Medley	Will To Power
Kissing A Fool	George Michael
Look Away	Chicago
Don't Worry, Be Happy (From "Cocktail")	Bobby McFerrin
A Word In Spanish	Elton John
Time And Tide	Basia
I Don't Want Your Love	Duran Duran
Giving You The Best That I Got	Anita Baker
Waiting For A Star To Fall	Boy Meets Girl
Dance Little Sister	Terence Trent D'Arby
I'll Always Love You	Taylor Dayne
Walk On Water	Eddie Money
The Promise	When In Rome
Please Don't Go Girl	New Kids On The Block
I Hate Myself For Loving You	Joan Jett & the Blackhearts
It Takes Two	Rob Base & D.J. E-Z Rock
One Good Woman	Peter Cetera
Downtown Life	Daryl Hall John Oates
Edge Of A Broken Heart	Vixen
Small World	Huey Lewis & The News
Domino Dancing	Pet Shop Boys
You Came	Kim Wilde
Finish What Ya Started	Van Halen
Welcome To The Jungle	Guns N' Roses
If It Isn't Love	New Edition
Sweet Child O' Mine	Guns N' Roses
In Your Room	The Bangles
Spy In The House Of Love	Was (Not Was)
Fallen Angel	Poison
Not Just Another Girl	Ivan Neville
Boy, I've Been Told	SaFire
Symptoms Of True Love	Tracie Spencer
Till I Loved You	Barbra Streisand & Don Johnson
Any Love	Luther Vandross
Early In The Morning	Robert Palmer
Cars With The Boom	L'Trimm
Simply Irresistible	Robert Palmer
Never Let You Go	Sweet Sensation
Yeah, Yeah, Yeah	Judson Spence
Every Rose Has Its Thorn	Poison
My Prerogative	Bobby Brown
I Remember Holding You	Boys Club
Didn't Know It Was Love	Survivor
Strangelove	Depeche Mode
Way Out	J.J. Fad
I Can't Wait	Deniece Williams
The Way You Love Me	Karyn White
Nobody's Fool (Theme From "Caddyshack II")	Kenny Loggins
A Nightmare On My Street	D.J. Jazzy Jeff & The Fresh Prince
Silhouette	Kenny G
When It's Love	Van Halen
What You See Is What You Get	Brenda K. Starr
Peek-A-Boo	Siouxsie & The Banshees
Dancing Under A Latin Moon	Candi
Little Liar	Joan Jett & the Blackhearts
Spring Love (Come Back To Me)	Stevie B
Superstitious	Europe
She's On The Left	Jeffrey Osborne
Don't Break My Heart	Romeo's Daughter
Rock & Roll Strategy	Thirty Eight Special
Jealous Guy	John Lennon & The Plastic Ono Band
Hippy Hippy Shake (From "Cocktail")	The Georgia Satellites
Handle With Care	Traveling Wilburys
I'm Not Your Man	Tommy Conwell And The Young Rumblers
Put This Love To The Test	Jon Astley
Thanks For My Child	Cheryl Pepsii Riley
I Did It For Love	Night Ranger
Best Of Times	Peter Cetera
It Would Take A Strong Strong Man	Rick Astley
Got A New Love	Good Question
Forever Young	Alphaville
Louie, Louie	Fat Boys
Girls Ain't Nothing But Trouble	D.J. Jazzy Jeff & The Fresh Prince
Here With Me	REO Speedwagon
Wild World	Maxi Priest
Live It Up	Gardner Cole
Don't Be Afraid Of The Dark	The Robert Cray Band
Heart Don't Fail Me Now	Holly Knight
Hands To Heaven	Breathe
Indestructible	Four Tops
