Groovin'	The Young Rascals
Respect	Aretha Franklin
She'd Rather Be With Me	The Turtles
Windy	The Association
Little Bit O' Soul	The Music Explosion
San Francisco (Be Sure To Wear Flowers In Your Hair)	Scott McKenzie
Somebody To Love	Jefferson Airplane
Can't Take My Eyes Off You	Frankie Valli
Sunday Will Never Be The Same	Spanky And Our Gang
Let's Live For Today	The Grass Roots
Come On Down To My Boat	Every Mothers' Son
Release Me (And Let Me Love Again)	Engelbert Humperdinck
The Tracks Of My Tears	Johnny Rivers
7 Rooms Of Gloom	Four Tops
Ding Dong! The Witch Is Dead	The Fifth Estate
New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)	Bee Gees
Alfie	Dionne Warwick
Do It Again A Little Bit Slower	Jon & Robin And The In Crowd
All I Need	The Temptations
Don't Sleep In The Subway	Petula Clark
Up -- Up And Away	The 5th Dimension
Ain't No Mountain High Enough	Marvin Gaye & Tammi Terrell
Here We Go Again	Ray Charles
Light My Fire	The Doors
Society's Child (Baby I've Been Thinking)	Janis Ian
Tramp	Otis & Carla
Mirage	Tommy James And The Shondells
C'mon Marianne	The 4 Seasons Featuring the "Sound of Frankie Valli"
I Got Rhythm	The Happenings
Mary In The Morning	Al Martino
For Your Precious Love	Oscar Toney, Jr.
Him Or Me - What's It Gonna Be?	Paul Revere & The Raiders
I Was Made To Love Her	Stevie Wonder
The Oogum Boogum Song	Brenton Wood
Pay You Back With Interest	The Hollies
Sound Of Love	The Five Americans
Come To The Sunshine	Harpers Bizarre
Don't Blame The Children	Sammy Davis Jr.
Here Comes My Baby	The Tremeloes
Creeque Alley	The Mamas & The Papas
Soul Finger	Bar-Kays
When You're Young And In Love	The Marvelettes
Bowling Green	The Everly Brothers
Shake, Rattle & Roll	Arthur Conley
You Must Have Been A Beautiful Baby	The Dave Clark Five
Make Me Yours	Bettye Swann
Shake	Otis Redding
Together	The Intruders
Mercy, Mercy, Mercy	The Buckinghams
White Rabbit	Jefferson Airplane
I Take It Back	Sandy Posey
More Love	Smokey Robinson & The Miracles
Step Out Of Your Mind	The American Breed
Funny Familiar Forgotten Feelings	Tom Jones
Carrie-Anne	The Hollies
For Your Love	Peaches & Herb
Woman Like That, Yeah	Joe Tex
Why (Am I Treated So Bad)	The Sweet Inspirations
You Gave Me Something (And Everything's Alright)	Fantastic Four
Misty Blue	Eddy Arnold
Baby Please Come Back Home	J.J. Barnes
Graduation Day	The Arbors
Oooh, Baby Baby	The Five Stairsteps
You Wanted Someone To Play With (I Wanted Someone To Love)	Frankie Laine
Love Me Tender	Percy Sledge
Stay Together Young Lovers	Brenda & The Tabulations
Who's Lovin' You	Brenda & The Tabulations
It's Cold Outside	The Choir
Summer And Sandy	Lesley Gore
Somebody Help Me	The Spencer Davis Group
Soul Dance Number Three	Wilson Pickett
Airplane Song (My Airplane)	The Royal Guardsmen
You Can't Stand Alone	Wilson Pickett
Plastic Man	Sonny & Cher
Black Sheep	Sam The Sham and the Pharaohs
Silence Is Golden	The Tremeloes
Now I Know	Jack Jones
One By One	Blues Magoos
Jackson	Nancy Sinatra & Lee Hazlewood
A Whiter Shade Of Pale	Procol Harum
Don't Go Out Into The Rain (You're Going To Melt)	Herman's Hermits
You Only Live Twice	Nancy Sinatra
Have You Seen Her Face	The Byrds
Night And Day	Sergio Mendes & Brasil '66
I Stand Accused (Of Loving You)	The Glories
I'll Always Have Faith In You	Carla Thomas
Soothe Me	Sam & Dave
There Goes My Everything	Engelbert Humperdinck
Daylight Savin' Time	Keith
Lonely Drifter	Pieces Of Eight
Some Kind Of Wonderful	Soul Brothers Six
Up-Up And Away	The Johnny Mann Singers
Why (Am I Treated So Bad)	Bobby Powell
My World Fell Down	Sagittarius
To Be A Lover	Gene Chandler
Hypnotized	Linda Jones
The Jokers	Peter And Gordon
Thread The Needle	Clarence Carter
Let The Good Times Roll & Feel So Good	Bunny Sigler
Groovy Summertime	The Love Generation
