Lean On Me	Club Nouveau
Let's Wait Awhile	Janet Jackson
Nothing's Gonna Stop Us Now	Starship
Mandolin Rain	Bruce Hornsby & The Range
Somewhere Out There (From "An American Tail")	Linda Ronstadt & James Ingram
Tonight, Tonight, Tonight	Genesis
Jacob's Ladder	Huey Lewis & The News
Respect Yourself	Bruce Willis
Come Go With Me	Expose
Big Time	Peter Gabriel
The Final Countdown	Europe
Livin' On A Prayer	Bon Jovi
You Got It All	The Jets
Don't Dream It's Over	Crowded House
(You Gotta) Fight For Your Right (To Party!)	Beastie Boys
Let's Go!	Wang Chung
I Knew You Were Waiting (For Me)	Aretha Franklin & George Michael
Brand New Lover	Dead Or Alive
Midnight Blue	Lou Gramm
I Wanna Go Back	Eddie Money
Candy	Cameo
What You Get Is What You See	Tina Turner
That Ain't Love	REO Speedwagon
Sign 'O' The Times	Prince
As We Lay	Shirley Murdock
The Finer Things	Steve Winwood
Walking Down Your Street	The Bangles
Keep Your Hands To Yourself	The Georgia Satellites
Will You Still Love Me?	Chicago
I'll Be Alright Without You	Journey
The Honeythief	Hipsway
Stone Love	Kool & The Gang
Dominoes	Robbie Nevil
Come As You Are	Peter Wolf
Looking For A New Love	Jody Watley
Smoking Gun	The Robert Cray Band
(I Just) Died In Your Arms	Cutting Crew
Light Of Day	The Barbusters (Joan Jett And The Blackhearts)
What's Going On	Cyndi Lauper
I Will Be There	Glass Tiger
Can'tcha Say (You Believe In Me)/Still In Love	Boston
Touch Me (I Want Your Body)	Samantha Fox
Serious	Donna Allen
The Lady In Red	Chris de Burgh
Ship Of Fools (Save Me From Tomorrow)	World Party
Skin Trade	Duran Duran
Nothing's Gonna Change My Love For You	Glenn Medeiros
We Connect	Stacey Q
La Isla Bonita	Madonna
Boom Boom (Let's Go Back To My Room)	Paul Lekakis
Ballerina Girl	Lionel Richie
Love You Down	Ready For The World
At This Moment	Billy Vera & The Beaters
Keep Your Eye On Me	Herb Alpert
How Much Love	Survivor
Shelter	Lone Justice
Winner Takes It All	Sammy Hagar
Nobody's Fool	Cinderella
Dance	Ratt
The Right Thing	Simply Red
Sexappeal	Georgio
I Got The Feelin' (It's Over)	Gregory Abbott
It's Tricky	Run-D.M.C.
With or Without You	U2
Never Enough	Patty Smyth
Talk Dirty To Me	Poison
Open Your Heart	Madonna
Show Me	The Cover Girls
Right On Track	The Breakfast Club
Don't Need A Gun	Billy Idol
Stop To Love	Luther Vandross
Hold Me	Sheila E.
Have You Ever Loved Somebody	Freddie Jackson
Heartbreak Beat	Psychedelic Furs
Ain't So Easy	David & David
Meet Me Half Way	Kenny Loggins
Brass Monkey	Beastie Boys
Showing Out (Get Fresh At The Weekend)	Mel & Kim
Cry Wolf	a-ha
Talk To Me	Chico DeBarge
Don't Leave Me This Way	The Communards
Stay The Night	Benjamin Orr
Hooked On You	Sweet Sensation
If She Would Have Been Faithful. . .	Chicago
Caught Up In The Rapture	Anita Baker
The Boy In The Bubble	Paul Simon
There's Nothing Better Than Love	Luther Vandross with Gregory Hines
So Much For Love	The Venetians
Kiss You (When It's Dangerous)	Eight Seconds
Someday	Glass Tiger
Do Ya, Do Ya (Wanna Please Me)	Samantha Fox
Fascinated	Company B
World Shut Your Mouth	Julian Cope
Same Ole Love (365 Days A Year)	Anita Baker
He Wants My Body	Starpoint
My Baby	Pretenders
Land Of Confusion	Genesis
Facts Of Love	Jeff Lorber & Karyn White
Change Of Heart	Cyndi Lauper
Fire	Bruce Springsteen
