Call Me Maybe	Carly Rae Jepsen
Payphone	Maroon 5 Featuring Wiz Khalifa
Somebody That I Used To Know	Gotye Featuring Kimbra
Wide Awake	Katy Perry
Where Have You Been	Rihanna
Lights	Ellie Goulding
We Are Young	fun. Featuring Janelle Monae
Starships	Nicki Minaj
Titanium	David Guetta Featuring Sia
Scream	Usher
What Makes You Beautiful	One Direction
Wild Ones	Flo Rida Featuring Sia
Glad You Came	The Wanted
Boyfriend	Justin Bieber
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
Back In Time	Pitbull
Drunk On You	Luke Bryan
Good Time	Owl City & Carly Rae Jepsen
Drive By	Train
Whistle	Flo Rida
Everybody Talks	Neon Trees
Give Your Heart A Break	Demi Lovato
I Won't Give Up	Jason Mraz
Brokenhearted	Karmin
The Fighter	Gym Class Heroes Featuring Ryan Tedder
Springsteen	Eric Church
Come Over	Kenny Chesney
Stronger (What Doesn't Kill You)	Kelly Clarkson
Feel So Close	Calvin Harris
Even If It Breaks Your Heart	Eli Young Band
Let's Go	Calvin Harris Featuring Ne-Yo
Some Nights	fun.
Work Hard, Play Hard	Wiz Khalifa
5-1-5-0	Dierks Bentley
Want U Back	Cher Lloyd
The Motto	Drake Featuring Lil Wayne
Part Of Me	Katy Perry
We Run The Night	Havana Brown Featuring Pitbull
Cashin' Out	Ca$h Out
No Lie	2 Chainz Featuring Drake
One Thing	One Direction
Heart Attack	Trey Songz
Take Care	Drake Featuring Rihanna
Drank In My Cup	Kirko Bangz
(Kissed You) Good Night	Gloriana
Both Of Us	B.o.B Featuring Taylor Swift
Climax	Usher
We Found Love	Rihanna Featuring Calvin Harris
Pontoon	Little Big Town
Party Rock Anthem	LMFAO Featuring Lauren Bennett & GoonRock
Burn It Down	Linkin Park
You Don't Know Her Like I Do	Brantley Gilbert
Lemme See	Usher Featuring Rick Ross
Good Girl	Carrie Underwood
Beez In The Trap	Nicki Minaj Featuring 2 Chainz
Wanted	Hunter Hayes
Beers Ago	Toby Keith
Tongue Tied	Grouplove
Angel Eyes	Love And Theft
Leave You Alone	Young Jeezy Featuring Ne-Yo
Too Close	Alex Clare
One More Night	Maroon 5
Nobody's Perfect	J. Cole Featuring Missy Elliott
Take It To The Head	DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne
How We Do (Party)	Rita Ora
Postcard From Paris	The Band Perry
Over	Blake Shelton
Time Is Love	Josh Turner
HYFR (Hell Ya F*****g Right)	Drake Featuring Lil Wayne
For You	Keith Urban
Little Talks	Of Monsters And Men
Chasing The Sun	The Wanted
Fly Over States	Jason Aldean
Why Ya Wanna	Jana Kramer
Birthday Cake	Rihanna Featuring Chris Brown
Cowboys And Angels	Dustin Lynch
Ho Hey	The Lumineers
Dance Again	Jennifer Lopez Featuring Pitbull
Dark Side	Kelly Clarkson
Wipe Your Eyes	Maroon 5
Promises	NERO
Crew Love	Drake Featuring The Weeknd
Midnight City	M83.
UP!	LoveRance Featuring IamSu & Skipper or 50 Cent
Hard To Love	Lee Brice
My Homies Still	Lil Wayne Featuring Big Sean
As Long As You Love Me	Justin Bieber Featuring Big Sean
Right By My Side	Nicki Minaj Featuring Chris Brown
It's Time	Imagine Dragons
Snap Backs & Tattoos	Driicky Graham
Ayy Ladies	Travis Porter Featuring Tyga
Amen	Meek Mill Featuring Drake
Bag Of Money	Wale Featuring Rick Ross, Meek Mill & T-Pain
Glass	Thompson Square
Lost In The Echo	Linkin Park
All Around The World	Justin Bieber Featuring Ludacris
Windows Down	Big Time Rush
Bangarang	Skrillex Featuring Sirah
The Wind	Zac Brown Band
Turn Up The Music	Chris Brown
