Call Me Maybe	Carly Rae Jepsen
Wide Awake	Katy Perry
Payphone	Maroon 5 Featuring Wiz Khalifa
Whistle	Flo Rida
Lights	Ellie Goulding
Somebody That I Used To Know	Gotye Featuring Kimbra
Where Have You Been	Rihanna
Titanium	David Guetta Featuring Sia
Scream	Usher
Blow Me (One Last Kiss)	P!nk
Some Nights	fun.
Want U Back	Cher Lloyd
Good Time	Owl City & Carly Rae Jepsen
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
We Are Young	fun. Featuring Janelle Monae
What Makes You Beautiful	One Direction
Let's Go	Calvin Harris Featuring Ne-Yo
Give Your Heart A Break	Demi Lovato
Everybody Talks	Neon Trees
Starships	Nicki Minaj
Wild Ones	Flo Rida Featuring Sia
Pontoon	Little Big Town
I Won't Give Up	Jason Mraz
Glad You Came	The Wanted
Come Over	Kenny Chesney
We Run The Night	Havana Brown Featuring Pitbull
No Lie	2 Chainz Featuring Drake
As Long As You Love Me	Justin Bieber Featuring Big Sean
Drive By	Train
Too Close	Alex Clare
Take A Little Ride	Jason Aldean
Work Hard, Play Hard	Wiz Khalifa
Drunk On You	Luke Bryan
Angel Eyes	Love And Theft
Wanted	Hunter Hayes
(Kissed You) Good Night	Gloriana
Stronger (What Doesn't Kill You)	Kelly Clarkson
Feel So Close	Calvin Harris
Cashin' Out	Ca$h Out
5-1-5-0	Dierks Bentley
One Thing	One Direction
Tongue Tied	Grouplove
Even If It Breaks Your Heart	Eli Young Band
Heart Attack	Trey Songz
Boyfriend	Justin Bieber
Lemme See	Usher Featuring Rick Ross
Brokenhearted	Karmin
Springsteen	Eric Church
Dark Side	Kelly Clarkson
The Fighter	Gym Class Heroes Featuring Ryan Tedder
Chasing The Sun	The Wanted
Over	Blake Shelton
Burn It Down	Linkin Park
One More Night	Maroon 5
Back In Time	Pitbull
Ho Hey	The Lumineers
Settle Down	No Doubt
Time Is Love	Josh Turner
Little Talks	Of Monsters And Men
Postcard From Paris	The Band Perry
Both Of Us	B.o.B Featuring Taylor Swift
Truck Yeah	Tim McGraw
Why Ya Wanna	Jana Kramer
2 Reasons	Trey Songz Featuring T.I.
Amen	Meek Mill Featuring Drake
Take It To The Head	DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne
Cowboys And Angels	Dustin Lynch
Nobody's Perfect	J. Cole Featuring Missy Elliott
Beez In The Trap	Nicki Minaj Featuring 2 Chainz
She's So Mean	matchbox twenty
For You	Keith Urban
Blown Away	Carrie Underwood
Don't Wake Me Up	Chris Brown
Bag Of Money	Wale Featuring Rick Ross, Meek Mill & T-Pain
Hard To Love	Lee Brice
The Wind	Zac Brown Band
Leave You Alone	Young Jeezy Featuring Ne-Yo
Thinkin Bout You	Frank Ocean
Snap Backs & Tattoos	Driicky Graham
My Homies Still	Lil Wayne Featuring Big Sean
Beers Ago	Toby Keith
Promises	NERO
50 Ways To Say Goodbye	Train
Home	Phillip Phillips
It's Time	Imagine Dragons
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
Glass	Thompson Square
Runaways	The Killers
New God Flow	Pusha T Kanye West
Dance Again	Jennifer Lopez Featuring Pitbull
Birthday Song	2 Chainz Featuring Kanye West
Pound The Alarm	Nicki Minaj
That's Why I Pray	Big & Rich
Fastest Girl In Town	Miranda Lambert
Crew Love	Drake Featuring The Weeknd
Something To Do With My Hands	Thomas Rhett
Lovin' You Is Fun	Easton Corbin
Come Wake Me Up	Rascal Flatts
The A Team	Ed Sheeran
Neon	Chris Young
