The Way We Were	Barbra Streisand
Seasons In The Sun	Terry Jacks
Until You Come Back To Me (That's What I'm Gonna Do)	Aretha Franklin
Spiders & Snakes	Jim Stafford
Love's Theme	Love Unlimited Orchestra
Jungle Boogie	Kool & The Gang
Boogie Down	Eddie Kendricks
Rock On	David Essex
You're Sixteen	Ringo Starr
Let Me Be There	Olivia Newton-John
Put Your Hands Together	The O'Jays
Americans	Byron MacGregor
I Love	Tom T. Hall
Last Time I Saw Him	Diana Ross
Doo Doo Doo Doo Doo (heartbreaker)	The Rolling Stones
Dark Lady	Cher
Love Song	Anne Murray
Show And Tell	Al Wilson
Midnight Rider	Gregg Allman
Sexy Mama	Moments
Mockingbird	Carly Simon & James Taylor
Eres Tu (Touch The Wind)	Mocedades
The Joker	The Steve Miller Band
Sunshine On My Shoulders	John Denver
I've Got To Use My Imagination	Gladys Knight And The Pips
Smokin' In The Boy's Room	Brownsville Station
Jet	Paul McCartney And Wings
Jim Dandy	Black Oak Arkansas
Trying To Hold On To My Woman	Lamont Dozier
My Sweet Lady	Cliff DeYoung
Can This Be Real	Natural Four
Come And Get Your Love	Redbone
Living For The City	Stevie Wonder
Baby Come Close	Smokey Robinson
I Like To Live The Love	B.B. King
There Won't Be Anymore	Charlie Rich
Mighty Love - Pt. 1	The Spinners
Last Kiss	Wednesday
Never, Never Gonna Give Ya Up	Barry White
Energy Crisis '74	Dickie Goodman
Abra-Ca-Dabra	The De Franco Family
Rock And Roll, Hoochie Koo	Rick Derringer
Daddy What If	Bobby Bare
Star	Stealers Wheel
The Most Beautiful Girl	Charlie Rich
Time In A Bottle	Jim Croce
WOLD	Harry Chapin
The Americans (A Canadian's Opinion)	Gordon Sinclair
You're So Unique	Billy Preston
You Sure Love To Ball	Marvin Gaye
Bennie And The Jets	Elton John
In The Mood	Bette Midler
I've Got A Thing About You Baby/Take Good Care Of Her	Elvis Presley
We're Getting Careless With Our Love	Johnnie Taylor
I Shall Sing	Garfunkel
Lookin' For A Love	Bobby Womack
Best Thing That Ever Happened To Me	Gladys Knight And The Pips
What It Comes Down To	The Isley Brothers
Hooked On A Feeling	Blue Swede
I Miss You	The Dells
Thanks For Saving My Life	Billy Paul
Just Don't Want To Be Lonely	The Main Ingredient
A Very Special Love Song	Charlie Rich
Jolene	Dolly Parton
Life Is A Song Worth Singing	Johnny Mathis
Homely Girl	The Chi-lites
Jessica	The Allman Brothers Band
I Just Can't Get You Out Of My Mind	Four Tops
Houston (I'm Comin' To See You)	Glen Campbell
Get That Gasoline Blues	NRBQ
The Lord's Prayer	Sister Janet Mead
Tell Me A Lie	Sami Jo
On A Night Like This	Bob Dylan
Stop To Start	Blue Magic
I Wish It Was Me	Tyrone Davis
That's The Sound That Lonely Makes	Tavares
Let It Ride	Bachman-Turner Overdrive
I'll Be The Other Woman	The Soul Children
Touch A Hand, Make A Friend	The Staple Singers
She's Gone	Daryl Hall John Oates
Quick, Fast, In A Hurry	New York City
Must Be Love	The James Gang
Would You Lay With Me (in A Field Of Stone)	Tanya Tucker
My Mistake (Was To Love You)	Diana Ross & Marvin Gaye
It's Been A Long Time	The New Birth
Virginia (Touch Me Like You Do)	Bill Amesbury
Let Me Get To Know You	Paul Anka
Try (Try To Fall In Love)	Cooker
Star Baby	The Guess Who
The Americans (A Canadian's Opinion)	Tex Ritter
Outside Woman	Bloodstone
A Mother For My Children	The Whispers
Beyond The Blue Horizon	Lou Christie
Piano Man	Billy Joel
There's Got To Be Rain In Your Life (To Appreciate The Sunshine)	Dorothy Norwood
The Crude Oil Blues	Jerry Reed
Midnight At The Oasis	Maria Muldaur
What Is Hip?	Tower Of Power
Tubular Bells	Mike Oldfield
Honey Please, Can't Ya See	Barry White
