Sweet Child O' Mine	Guns N' Roses
Simply Irresistible	Robert Palmer
Perfect World	Huey Lewis & The News
Monkey	George Michael
When It's Love	Van Halen
Fast Car	Tracy Chapman
I'll Always Love You	Taylor Dayne
If It Isn't Love	New Edition
Don't Worry, Be Happy (From "Cocktail")	Bobby McFerrin
Nobody's Fool (Theme From "Caddyshack II")	Kenny Loggins
Another Part Of Me	Michael Jackson
I Don't Wanna Go On With You Like That	Elton John
It Would Take A Strong Strong Man	Rick Astley
One Good Woman	Peter Cetera
I Don't Wanna Live Without Your Love	Chicago
Love Bites	Def Leppard
I Hate Myself For Loving You	Joan Jett & the Blackhearts
Don't Be Cruel	Cheap Trick
A Nightmare On My Street	D.J. Jazzy Jeff & The Fresh Prince
Here With Me	REO Speedwagon
Please Don't Go Girl	New Kids On The Block
All Fired Up	Pat Benatar
Don't Be Cruel	Bobby Brown
Love Will Save The Day	Whitney Houston
Fallen Angel	Poison
What's On Your Mind (Pure Energy)	Information Society
Hands To Heaven	Breathe
Red Red Wine	UB40
Roll With It	Steve Winwood
Staying Together	Debbie Gibson
1-2-3	Gloria Estefan & Miami Sound Machine
I Don't Want To Be A Hero	Johnny Hates Jazz
Make Me Lose Control	Eric Carmen
What You See Is What You Get	Brenda K. Starr
Forever Young	Rod Stewart
Don't You Know What The Night Can Do?	Steve Winwood
True Love	Glenn Frey
Chains Of Love	Erasure
Sign Your Name	Terence Trent D'Arby
Hold On To The Nights	Richard Marx
Look Out Any Window	Bruce Hornsby & The Range
Groovy Kind Of Love	Phil Collins
Never Tear Us Apart	INXS
Spring Love (Come Back To Me)	Stevie B
Wild, Wild West	The Escape Club
Time And Tide	Basia
Just Got Paid	Johnny Kemp
Sayin' Sorry (Don't Make It Right)	Denise Lopez
Off On Your Own (Girl)	Al B. Sure!
The Loco-Motion	Kylie Minogue
Pour Some Sugar On Me	Def Leppard
Superstitious	Europe
Summergirls	Dino
Indestructible	Four Tops
Rag Doll	Aerosmith
The Dead Heart	Midnight Oil
One Moment In Time	Whitney Houston
It Takes Two	Rob Base & D.J. E-Z Rock
Another Lover	Giant Steps
Inside Outside	The Cover Girls
The Right Stuff	Vanessa Williams
The Rumour	Olivia Newton-John
Jackie	Blue Zone U.K.
Nice 'N' Slow	Freddie Jackson
Parents Just Don't Understand	D.J. Jazzy Jeff & The Fresh Prince
Missed Opportunity	Daryl Hall John Oates
Make It Last Forever	Keith Sweat (Duet With Jacci McGhee)
The Flame	Cheap Trick
Don't Know What You Got (Till It's Gone)	Cinderella
She's On The Left	Jeffrey Osborne
Do You Love Me	The Contours
Don't Walk Away	Toni Childs
The Promise	When In Rome
Long And Lasting Love (Once In A Lifetime)	Glenn Medeiros
Powerful Stuff (From "Cocktail")	The Fabulous Thunderbirds
Inside A Dream	Jane Wiedlin
The Twist	Fat Boys
Kokomo (From"Cocktail" )	The Beach Boys
How Can I Fall?	Breathe
I Still Believe	Brenda K. Starr
Dance Little Sister	Terence Trent D'Arby
Better Be Home Soon	Crowded House
Waiting For A Star To Fall	Boy Meets Girl
Say It's Gonna Rain	Will To Power
Ship Of Fools	Robert Plant
Heart Don't Fail Me Now	Holly Knight
Heart Turns To Stone	Foreigner
What's The Matter Here?	10,000 Maniacs
Supersonic	J.J. Fad
The Colour Of Love	Billy Ocean
I Know You're Out There Somewhere	The Moody Blues
Knocked Out	Paula Abdul
Pretty Boys And Pretty Girls	Book Of Love
Tell Me	White Lion
Strangelove	Depeche Mode
Love Changes (Everything)	Climie Fisher
Baby, I Love Your Way/Freebird Medley	Will To Power
Button Off My Shirt	Paul Carrack
Always There For You	Stryper
Rush Hour	Jane Wiedlin
