My Boo	Usher And Alicia Keys
Goodies	Ciara Featuring Petey Pablo
Lose My Breath	Destiny's Child
Lean Back	Terror Squad
She Will Be Loved	Maroon 5
Just Lose It	Eminem
Drop It Like It's Hot	Snoop Dogg Featuring Pharrell
Over And Over	Nelly Featuring Tim McGraw
Locked Up	Akon Featuring Styles P.
Breakaway	Kelly Clarkson
My Happy Ending	Avril Lavigne
My Place	Nelly Featuring Jaheim
Diary	Alicia Keys Featuring Tony! Toni! Tone!
Let's Go	Trick Daddy Featuring Lil Jon & Twista
On The Way Down	Ryan Cabrera
Oye Mi Canto	N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato
One Thing	Finger Eleven
If I Ain't Got You	Alicia Keys
Pieces Of Me	Ashlee Simpson
Sunshine	Lil' Flip Featuring Lea
Go D.J.	Lil Wayne
Heaven	Los Lonely Boys
Charlene	Anthony Hamilton
Breathe	Fabolous
Balla Baby	Chingy
The Reason	Hoobastank
Headsprung	LL Cool J
1985	Bowling For Soup
Broken	Seether Featuring Amy Lee
Breathe, Stretch, Shake	Mase Featuring P. Diddy
This Love	Maroon 5
Slow Motion	Juvenile Featuring Soulja Slim
Let's Get It Started	The Black Eyed Peas
Wonderful	Ja Rule Featuring R. Kelly & Ashanti
Hush	LL Cool J Featuring 7 Aurelius
I Hate Everything	George Strait
No Problem	Lil Scrappy
Dip It Low	Christina Milian
Vertigo	U2
Suds In The Bucket	Sara Evans
Nolia Clap	Juvenile, Wacko & Skip
Turn Me On	Kevin Lyttle Featuring Spragga Benz
Dare You To Move	Switchfoot
Mr. Mom	Lonestar
Why?	Jadakiss Featuring Anthony Hamilton
Yeah!	Usher Featuring Lil Jon & Ludacris
In A Real Love	Phil Vassar
Nothing On But The Radio	Gary Allan
That's What It's All About	Brooks & Dunn
Breaking The Habit	Linkin Park
Baby It's You	JoJo Featuring Bow Wow
Shorty Wanna Ride	Young Buck
Stays In Mexico	Toby Keith
Days Go By	Keith Urban
I Like That	Houston Featuring Chingy, Nate Dogg & I-20
Big Chips	R. Kelly & Jay-Z
Shadow	Ashlee Simpson
The Woman With You	Kenny Chesney
I Don't Want To Be	Gavin DeGraw
Tempted To Touch	Rupee
American Idiot	Green Day
Back When	Tim McGraw
Dangerously In Love	Beyonce
Feels Like Today	Rascal Flatts
Some Beach	Blake Shelton
Somebody Told Me	The Killers
What You Waiting For?	Gwen Stefani
How Am I Doin'	Dierks Bentley
If Nobody Believed In You	Joe Nichols
Fall To Pieces	Velvet Revolver
Here For The Party	Gretchen Wilson
Getting Away With Murder	Papa Roach
Flap Your Wings	Nelly
1, 2 Step	Ciara Featuring Missy Elliott
Rough & Ready	Trace Adkins
Just Like You	Three Days Grace
Accidentally In Love	Counting Crows
Take Me Home	Terror Squad
So Cold	Breaking Benjamin
Let Me Love You	Mario
Used To Love U	John Legend
King Of The Dancehall	Beenie Man
Knuck If You Buck	Crime Mob Featuring Lil Scrappy
White Tee's	Dem Franchize Boyz
I Smoke, I Drank	Body Head Bangerz Featuring YoungBloodz
Take Me Out	Franz Ferdinand
You're My Everything	Anita Baker
Call My Name	Prince
Shake That Sh**	Shawnna Featuring Ludacris
Hot 2Nite	New Edition
Real Big	Mannie Fresh
Nasty Girl	Nitty
Cold	Crossfade
U Saved Me	R. Kelly
She Thinks She Needs Me	Andy Griggs
You & Me	J-Kwon Featuring Sadiyyah
White Houses	Vanessa Carlton
Tilt Ya Head Back	Nelly & Christina Aguilera
Let's Get Away	T.I.
Too Much Of A Good Thing	Alan Jackson
