In The Year 2525	Zager & Evans
Spinning Wheel	Blood, Sweat & Tears
Good Morning Starshine	Oliver
Love Theme From Romeo & Juliet	Henry Mancini And His Orchestra
One	Three Dog Night
Crystal Blue Persuasion	Tommy James And The Shondells
Bad Moon Rising	Creedence Clearwater Revival
The Ballad Of John And Yoko	The Beatles
Color Him Father	The Winstons
What Does It Take (To Win Your Love)	Jr. Walker & The All Stars
My Cherie Amour	Stevie Wonder
Get Back	The Beatles With Billy Preston
Too Busy Thinking About My Baby	Marvin Gaye
Love Me Tonight	Tom Jones
Mother Popcorn (You Got To Have A Mother For Me) Part 1	James Brown
In The Ghetto	Elvis Presley
Baby, I Love You	Andy Kim
Black Pearl	Sonny Charles And The Checkmates, Ltd.
Israelites	Desmond Dekker And The Aces
Let Me	Paul Revere & The Raiders Featuring Mark Lindsay
Grazing In The Grass	The Friends Of Distinction
Quentin's Theme	The Charles Randolph Grean Sounde
I Turned You On	The Isley Brothers
I Can Sing A Rainbow/Love Is Blue	The Dells
Moody Woman	Jerry Butler
Ruby, Don't Take Your Love To Town	Kenny Rogers & The First Edition
Medicine Man (Part I)	Buchanan Brothers
More Today Than Yesterday	Spiral Starecase
My Pledge Of Love	The Joe Jeffrey Group
Sweet Caroline (Good Times Never Seemed So Good)	Neil Diamond
Good Old Rock 'N Roll	Cat Mother & the All Night News Boys
Yesterday, When I Was Young	Roy Clark
The Popcorn	James Brown
The Days Of Sand And Shovels	Bobby Vinton
With Pen In Hand	Vikki Carr
We Got More Soul	Dyke And The Blazers
Mrs. Robinson	Booker T. & The MG's
The Minotaur	Dick Hyman & His Electric Eclectics
Everyday With You Girl	Classics IV Featuring Dennis Yost
Choice Of Colors	The Impressions
Doggone Right	Smokey Robinson & The Miracles
Abraham, Martin And John	Moms Mabley
Moonflight	Vik Venus Alias: Your Main Moon Man
So I Can Love You	The Emotions
Memphis Underground	Herbie Mann
But It's Alright	J.J. Jackson
Moments To Remember	The Vogues
Abraham, Martin And John	Smokey Robinson & The Miracles
I'd Rather Be An Old Man's Sweetheart (Than A Young Man's Fool)	Candi Staton
See	The Rascals
You Don't Have To Walk In The Rain	The Turtles
The Girl I'll Never Know (Angels Never Fly This Low)	Frankie Valli
It's Getting Better	Mama Cass
Along Came Jones	Ray Stevens
Put A Little Love In Your Heart	Jackie DeShannon
Reconsider Me	Johnny Adams
Polk Salad Annie	Tony Joe White
Don't Let The Joneses Get You Down	The Temptations
I'd Wait A Million Years	The Grass Roots
Muddy River	Johnny Rivers
Don't Wake Me Up In The Morning, Michael	Peppermint Rainbow
Tell All The People	The Doors
Didn't We	Richard Harris
Listen To The Band	The Monkees
Clean Up Your Own Back Yard	Elvis Presley
Why I Sing The Blues	B.B. King
On Campus	Dickie Goodman
Girl You're Too Young	Archie Bell & The Drells
(Sittin' On) The Dock Of The Bay	Sergio Mendes & Brasil '66
Feeling Alright	Joe Cocker
The Feeling Is Right	Clarence Carter
Baby, Don't Be Looking In My Mind	Joe Simon
Hurt So Bad	The Lettermen
Get Together	The Youngbloods
The Prophecy Of Daniel and John The Divine (Six-Six-Six)	The Cowsills
While You're Out Looking For Sugar?	The Honey Cone
Hushabye	Jay & The Americans
Did You See Her Eyes	The Illusion
Break Away	The Beach Boys
Forever	Mercy
Hey Joe	Wilson Pickett
I'm Still A Struggling Man	Edwin Starr
Laughing	The Guess Who
Theme From "A Summer Place"	The Ventures
Where Do I Go/Be-In/Hare Krishna	The Happenings
Don't Tell Your Mama (Where You've Been)	Eddie Floyd
Stay And Love Me All Summer	Brian Hyland
Willie & Laura Mae Jones	Dusty Springfield
Nothing Can Take The Place Of You	Brook Benton
Soul Deep	The Box Tops
Never Comes The Day	The Moody Blues
Wake Up	The Chambers Brothers
I'll Never Fall In Love Again	Burt Bacharach
Lay Lady Lay	Bob Dylan
Everything I Do Gonh Be Funky (From Now On)	Lee Dorsey
Birds Of A Feather	Joe South
In The Time Of Our Lives	Iron Butterfly
Pass The Apple Eve	B.J. Thomas
My Little Chickadee	The Foundations
Abergavenny	Shannon
