Reunited	Peaches & Herb
Hot Stuff	Donna Summer
In The Navy	Village People
Love You Inside Out	Bee Gees
Goodnight Tonight	Wings
We Are Family	Sister Sledge
Shake Your Body (Down To The Ground)	The Jacksons
Just When I Needed You Most	Randy VanWarmer
Stumblin' In	Suzi Quatro & Chris Norman
Love Is The Answer	England Dan & John Ford Coley
Love Takes Time	Orleans
The Logical Song	Supertramp
Heart Of Glass	Blondie
He's The Greatest Dancer	Sister Sledge
Disco Nights (Rock-Freak)	G.Q.
Deeper Than The Night	Olivia Newton-John
Chuck E.'s In Love	Rickie Lee Jones
Rock 'n' Roll Fantasy	Bad Company
Renegade	Styx
You Take My Breath Away	Rex Smith
She Believes In Me	Kenny Rogers
Hot Number	Foxy
Ain't Love A Bitch	Rod Stewart
Honesty	Billy Joel
Take Me Home	Cher
Such A Woman	Tycoon
Get Used To It	Roger Voudouris
Old Time Rock & Roll	Bob Seger & The Silver Bullet Band
Knock On Wood	Amii Stewart
Makin' It	David Naughton
Minute By Minute	The Doobie Brothers
I Want You To Want Me	Cheap Trick
(If Loving You Is Wrong) I Don't Want To Be Right	Barbara Mandrell
Boogie Wonderland	Earth, Wind & Fire with The Emotions
Saturday Night, Sunday Morning	Thelma Houston
It Must Be Love	Alton McClain & Destiny
I Want Your Love	Chic
Little Bit Of Soap	Nigel Olsson
Ring My Bell	Anita Ward
Dance The Night Away	Van Halen
Shine A Little Love	Electric Light Orchestra
When You're In Love With A Beautiful Woman	Dr. Hook
I Got My Mind Made Up (You Can Get It Girl)	Instant Funk
Gold	John Stewart
Dancin' Fool	Frank Zappa
Ain't No Stoppin' Us Now	McFadden & Whitehead
I Don't Want Nobody Else (To Dance With You)	Narada Michael Walden
Good Timin'	The Beach Boys
Georgy Porgy	Toto
Shakedown Cruise	Jay Ferguson
You Can't Change That	Raydio
Can't Sleep	Rockets
One More Minute	Saint Tropez
Don't Ever Wanna Lose Ya	New England
Bad Girls	Donna Summer
My Baby's Baby	Liquid Gold
(Wish I Could Fly Like) Superman	The Kinks
Dance Away	Roxy Music
One Chain (Don't Make No Prison)	Santana
Feel The Need	Leif Garrett
Boogie Woogie Dancin' Shoes	Claudja Barry
My Love Is Music	Space
Does Your Mother Know	ABBA
Can't Keep A Good Man Down	Eddie Money
Easy To Be Hard	Cheryl Barnes/Hair Soundtrack
Heart Of The Night	Poco
Star Love	Cheryl Lynn
Bang A Gong	Witch Queen
Music Box Dancer	Frank Mills
I Was Made For Lovin' You	KISS
Shadows In The Moonlight	Anne Murray
I Can't Stand It No More	Peter Frampton
Say Maybe	Neil Diamond
Night Dancin'	Taka Boom
Dance With You	Carrie Lucas
Sad Eyes	Robert John
Bustin' Out	Rick James
Don't You Write Her Off	McGuinn, Clark & Hillman
Do It Or Die	Atlanta Rhythm Section
Weekend	Wet Willie
If You Can't Give Me Love	Suzi Quatro
Go West	Village People
Do You Wanna Go Party	KC And The Sunshine Band
No Time To Lose	The Tarney/Spencer Band
Music Box	Evelyn "Champagne" King
Church	Bob Welch
Head First	The Babys
Make Love To Me	Helen Reddy
Lead Me On	Maxine Nightingale
If I Said You Have A Beautiful Body Would You Hold It Against Me	Bellamy Brothers
Blow Away	George Harrison
What A Fool Believes	The Doobie Brothers
Diamonds	Chris Rea
Rhumba Girl	Nicolette Larson
I Will Survive	Gloria Gaynor
Pinball, That's All	Bill Wray
Love Ballad	George Benson
Just The Same Way	Journey
Theme From Ice Castles (Through The Eyes Of Love)	Melissa Manchester
Tragedy	Bee Gees
