In The Year 2525	Zager & Evans
Spinning Wheel	Blood, Sweat & Tears
Good Morning Starshine	Oliver
Crystal Blue Persuasion	Tommy James And The Shondells
What Does It Take (To Win Your Love)	Jr. Walker & The All Stars
One	Three Dog Night
Color Him Father	The Winstons
The Ballad Of John And Yoko	The Beatles
My Cherie Amour	Stevie Wonder
Love Theme From Romeo & Juliet	Henry Mancini And His Orchestra
Bad Moon Rising	Creedence Clearwater Revival
Mother Popcorn (You Got To Have A Mother For Me) Part 1	James Brown
Love Me Tonight	Tom Jones
Baby, I Love You	Andy Kim
Too Busy Thinking About My Baby	Marvin Gaye
Get Back	The Beatles With Billy Preston
In The Ghetto	Elvis Presley
Black Pearl	Sonny Charles And The Checkmates, Ltd.
Ruby, Don't Take Your Love To Town	Kenny Rogers & The First Edition
Quentin's Theme	The Charles Randolph Grean Sounde
Let Me	Paul Revere & The Raiders Featuring Mark Lindsay
I Can Sing A Rainbow/Love Is Blue	The Dells
I Turned You On	The Isley Brothers
Sweet Caroline (Good Times Never Seemed So Good)	Neil Diamond
Moody Woman	Jerry Butler
My Pledge Of Love	The Joe Jeffrey Group
Good Old Rock 'N Roll	Cat Mother & the All Night News Boys
Israelites	Desmond Dekker And The Aces
Grazing In The Grass	The Friends Of Distinction
The Popcorn	James Brown
Yesterday, When I Was Young	Roy Clark
Choice Of Colors	The Impressions
Abraham, Martin And John	Smokey Robinson & The Miracles
The Days Of Sand And Shovels	Bobby Vinton
Abraham, Martin And John	Moms Mabley
We Got More Soul	Dyke And The Blazers
Doggone Right	Smokey Robinson & The Miracles
With Pen In Hand	Vikki Carr
So I Can Love You	The Emotions
Mrs. Robinson	Booker T. & The MG's
Along Came Jones	Ray Stevens
Moonflight	Vik Venus Alias: Your Main Moon Man
Polk Salad Annie	Tony Joe White
Memphis Underground	Herbie Mann
But It's Alright	J.J. Jackson
I'd Rather Be An Old Man's Sweetheart (Than A Young Man's Fool)	Candi Staton
Reconsider Me	Johnny Adams
Put A Little Love In Your Heart	Jackie DeShannon
I'd Wait A Million Years	The Grass Roots
The Minotaur	Dick Hyman & His Electric Eclectics
You Don't Have To Walk In The Rain	The Turtles
It's Getting Better	Mama Cass
On Campus	Dickie Goodman
Clean Up Your Own Back Yard	Elvis Presley
The Girl I'll Never Know (Angels Never Fly This Low)	Frankie Valli
Muddy River	Johnny Rivers
Moments To Remember	The Vogues
Tell All The People	The Doors
Girl You're Too Young	Archie Bell & The Drells
Don't Wake Me Up In The Morning, Michael	Peppermint Rainbow
Why I Sing The Blues	B.B. King
Laughing	The Guess Who
Listen To The Band	The Monkees
Get Together	The Youngbloods
The Feeling Is Right	Clarence Carter
(Sittin' On) The Dock Of The Bay	Sergio Mendes & Brasil '66
Hurt So Bad	The Lettermen
Break Away	The Beach Boys
Feeling Alright	Joe Cocker
Workin' On A Groovy Thing	The 5th Dimension
Hey Joe	Wilson Pickett
Baby, Don't Be Looking In My Mind	Joe Simon
I've Lost Everything I've Ever Loved	David Ruffin
Soul Deep	The Box Tops
While You're Out Looking For Sugar?	The Honey Cone
Did You See Her Eyes	The Illusion
Where Do I Go/Be-In/Hare Krishna	The Happenings
Willie & Laura Mae Jones	Dusty Springfield
Honky Tonk Women	The Rolling Stones
Forever	Mercy
I'm Still A Struggling Man	Edwin Starr
Stay And Love Me All Summer	Brian Hyland
Theme From "A Summer Place"	The Ventures
Nothing Can Take The Place Of You	Brook Benton
Don't Tell Your Mama (Where You've Been)	Eddie Floyd
Marrakesh Express	Crosby, Stills & Nash
Your Good Thing (Is About To End)	Lou Rawls
The Nitty Gritty	Gladys Knight And The Pips
Abergavenny	Shannon
I'm Free	The Who
Never Comes The Day	The Moody Blues
Wake Up	The Chambers Brothers
Lay Lady Lay	Bob Dylan
Till You Get Enough	The Watts 103rd Street Rhythm Band
That's The Way	Joe Tex
In The Time Of Our Lives	Iron Butterfly
Your Husband - My Wife	Brooklyn Bridge
Pass The Apple Eve	B.J. Thomas
Jack And Jill	Tommy Roe
Birthday	Underground Sunshine
