Up	Cardi B
Leave The Door Open	Silk Sonic (Bruno Mars & Anderson .Paak)
Drivers License	Olivia Rodrigo
What's Next	Drake
Save Your Tears	The Weeknd & Ariana Grande
Blinding Lights	The Weeknd
Levitating	Dua Lipa Featuring DaBaby
Mood	24kGoldn Featuring iann dior
34+35	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
Wants And Needs	Drake Featuring Lil Baby
Go Crazy	Chris Brown & Young Thug
What You Know Bout Love	Pop Smoke
Calling My Phone	Lil Tjay Featuring 6LACK
Back In Blood	Pooh Shiesty Featuring Lil Durk
Therefore I Am	Billie Eilish
Streets	Doja Cat
Positions	Ariana Grande
You're Mines Still	Yung Bleu Featuring Drake
You Broke Me First.	Tate McRae
Beat Box	SpotemGottem Featuring Pooh Shiesty Or DaBaby
Best Friend	Saweetie Featuring Doja Cat
Dakiti	Bad Bunny & Jhay Cortez
On Me	Lil Baby
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
Astronaut In The Ocean	Masked Wolf
No More Parties	Coi Leray Featuring Lil Durk
Good Days	SZA
My Ex's Best Friend	Machine Gun Kelly X blackbear
What's Your Country Song	Thomas Rhett
Heartbreak Anniversary	Giveon
Lemon Pepper Freestyle	Drake Featuring Rick Ross
Put Your Records On	Ritt Momney
The Good Ones	Gabby Barrett
Dynamite	BTS
Starting Over	Chris Stapleton
Street Runner	Rod Wave
Anyone	Justin Bieber
Just The Way	Parmalee x Blanco Brown
Willow	Taylor Swift
Without You	The Kid LAROI
Good Time	Niko Moon
Cry Baby	Megan Thee Stallion Featuring DaBaby
Telepatia	Kali Uchis
Better Together	Luke Combs
Whoopty	CJ
My Head And My Heart	Ava Max
Beautiful Mistakes	Maroon 5 Featuring Megan Thee Stallion
Damage	H.E.R.
Long Live	Florida Georgia Line
Throat Baby (Go Baby)	BRS Kash
Time Today	Moneybagg Yo
We're Good	Dua Lipa
Down To One	Luke Bryan
Lady	Brett Young
Track Star	Mooski
Heat Waves	Glass Animals
Goosebumps	Travis Scott & HVME
Real As It Gets	Lil Baby Featuring EST Gee
Hold On	Justin Bieber
Monsters	All Time Low Featuring Demi Lovato & blackbear 
Forever After All	Luke Combs
Buss It	Erica Banks
Hell Of A View	Eric Church
Body	Megan Thee Stallion
Momma's House	Dustin Lynch
Wasted On You	Morgan Wallen
Somebody Like That	Tenille Arts
La Noche de Anoche	Bad Bunny & Rosalia
The Business	Tiesto
On The Ground	ROSE
Masterpiece	DaBaby
Girl Like Me	Black Eyed Peas X Shakira
Almost Maybes	Jordan Davis
Quicksand	Morray
Pick Up Your Feelings	Jazmine Sullivan
Breaking Up Was Easy In The 90's	Sam Hunt
Made For You	Jake Owen
You Got It	VEDO
Lost	NF Featuring Hopsin
Sand In My Boots	Morgan Wallen
Beers And Sunshine	Darius Rucker
One Too Many	Keith Urban Duet With P!nk
Follow You	Imagine Dragons
Baila Conmigo	Selena Gomez With Rauw Alejandro
Nobody	Dylan Scott
Glad You Exist	Dan + Shay
Like I Want You	Giveon
Daywalker!	Machine Gun Kelly & CORPSE
Hello	Pop Smoke Featuring A Boogie Wit da Hoodie
Settling Down	Miranda Lambert
Bandido	Myke Towers & Juhn
Neighbors	Pooh Shiesty Featuring BIG30
Drankin N Smokin	Future & Lil Uzi Vert
Hellcats & Trackhawks	Lil Durk
Opp Stoppa	YBN Nahmir Featuring 21 Savage
Still Trappin'	Lil Durk & King Von
Finesse Out The Gang Way	Lil Durk Featuring Lil Baby
Gone	Dierks Bentley
Lil Bit	Nelly & Florida Georgia Line
Undivided	Tim McGraw & Tyler Hubbard
