Let Me Love You	Mario
1, 2 Step	Ciara Featuring Missy Elliott
Drop It Like It's Hot	Snoop Dogg Featuring Pharrell
Lovers And Friends	Lil Jon & The East Side Boyz Featuring Usher & Ludacris
Soldier	Destiny's Child Featuring T.I. & Lil Wayne
My Boo	Usher And Alicia Keys
Over And Over	Nelly Featuring Tim McGraw
Wonderful	Ja Rule Featuring R. Kelly & Ashanti
Disco Inferno	50 Cent
Lose My Breath	Destiny's Child
Breakaway	Kelly Clarkson
I Don't Want To Be	Gavin DeGraw
How We Do	The Game Featuring 50 Cent
Get Back	Ludacris
Only U	Ashanti
Boulevard Of Broken Dreams	Green Day
Let's Go	Trick Daddy Featuring Lil Jon & Twista
She Will Be Loved	Maroon 5
Karma	Lloyd Banks Featuring Avant
Bring Em Out	T.I.
Goodies	Ciara Featuring Petey Pablo
What U Gon' Do	Lil Jon & The East Side Boyz Featuring Lil Scrappy
Numb/Encore	Jay-Z/Linkin Park
U Make Me Wanna	Jadakiss Featuring Mariah Carey
Dare You To Move	Switchfoot
Oye Mi Canto	N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato
Charlene	Anthony Hamilton
Encore	Eminem, Dr. Dre & 50 Cent
True	Ryan Cabrera
Daughters	John Mayer
New York	Ja Rule Featuring Fat Joe & Jadakiss
Since U Been Gone	Kelly Clarkson
Broken	Seether Featuring Amy Lee
Beautiful Soul	Jesse McCartney
One Thing	Finger Eleven
Karma	Alicia Keys
Vertigo	U2
Some Beach	Blake Shelton
Lean Back	Terror Squad
Breathe	Fabolous
On The Way Down	Ryan Cabrera
Baby It's You	JoJo Featuring Bow Wow
Go D.J.	Lil Wayne
Gasolina	Daddy Yankee
Back When	Tim McGraw
Shorty Wanna Ride	Young Buck
My Happy Ending	Avril Lavigne
Nobody's Home	Avril Lavigne
Awful, Beautiful Life	Darryl Worley
Welcome To My Life	Simple Plan
Lady	Lenny Kravitz
When I Think About Cheatin'	Gretchen Wilson
Just Lose It	Eminem
Rich Girl	Gwen Stefani Featuring Eve
Bless The Broken Road	Rascal Flatts
Balla Baby	Chingy
You're My Better Half	Keith Urban
Give A Little Bit	Goo Goo Dolls
Mud On The Tires	Brad Paisley
Caught Up	Usher
How Am I Doin'	Dierks Bentley
Somebody Told Me	The Killers
Some Cut	Trillville Featuring Cutty
Mockingbird	Eminem
Nothing On But The Radio	Gary Allan
1985	Bowling For Soup
The Woman With You	Kenny Chesney
Tempted To Touch	Rupee
Nothin 'Bout Love Makes Sense	LeAnn Rimes
Mr. Mom	Lonestar
Monday Morning Church	Alan Jackson
I Changed My Mind	Keyshia Cole Featuring Shyne
Ordinary People	John Legend
Party For Two	Shania Twain With Billy Currington Or Mark McGrath
Sunday Morning	Maroon 5
Let's Get Blown	Snoop Dogg
So Cold	Breaking Benjamin
He Gets That From Me	Reba McEntire
Vitamin R (Leading Us Along)	Chevelle
Fall To Pieces	Velvet Revolver
Cold	Crossfade
Hush	LL Cool J Featuring 7 Aurelius
You're The One	Guerilla Black Featuring Mario Winans
Getting Away With Murder	Papa Roach
Holy Water	Big & Rich
Come Home Soon	SHeDAISY
Nolia Clap	Juvenile, Wacko & Skip
Baby Girl	Sugarland
In A Real Love	Phil Vassar
What You Waiting For?	Gwen Stefani
Okay	Nivea Featuring Lil Jon & YoungBloodZ
Dangerously In Love	Beyonce
Perdidos	Monchy & Alexandra
Take Me Home	Terror Squad
Ghetto	Akon
I Smoke, I Drank	Body Head Bangerz Featuring YoungBloodz
Gotta Go Solo	Patti LaBelle Featuring Ron Isley
That's What It's All About	Brooks & Dunn
Hold You Down	The Alchemist Featuring Prodigy, Illa Ghee & Nina Sky
Thugs Get Lonely Too	2Pac Featuring Nate Dogg
