Drivers License	Olivia Rodrigo
34+35	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
Calling My Phone	Lil Tjay Featuring 6LACK
Blinding Lights	The Weeknd
Up	Cardi B
Save Your Tears	The Weeknd & Ariana Grande
Mood	24kGoldn Featuring iann dior
Go Crazy	Chris Brown & Young Thug
Levitating	Dua Lipa Featuring DaBaby
Positions	Ariana Grande
Love Story (Taylor's Version)	Taylor Swift
What You Know Bout Love	Pop Smoke
Therefore I Am	Billie Eilish
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
Whoopty	CJ
Back In Blood	Pooh Shiesty Featuring Lil Durk
Holy	Justin Bieber Featuring Chance The Rapper
Good Days	SZA
I Hope	Gabby Barrett Featuring Charlie Puth
Better Together	Luke Combs
Dakiti	Bad Bunny & Jhay Cortez
Lonely	Justin Bieber & benny blanco
You Broke Me First.	Tate McRae
You're Mines Still	Yung Bleu Featuring Drake
Willow	Taylor Swift
Body	Megan Thee Stallion
Streets	Doja Cat
Anyone	Justin Bieber
My Ex's Best Friend	Machine Gun Kelly X blackbear
Throat Baby (Go Baby)	BRS Kash
Bang!	AJR
On Me	Lil Baby
Before You Go	Lewis Capaldi
Lemonade	Internet Money & Gunna Featuring Don Toliver & NAV
Good Time	Niko Moon
Laugh Now Cry Later	Drake Featuring Lil Durk
Starting Over	Chris Stapleton
Best Friend	Saweetie Featuring Doja Cat
Put Your Records On	Ritt Momney
Just The Way	Parmalee x Blanco Brown
Cry Baby	Megan Thee Stallion Featuring DaBaby
Beers And Sunshine	Darius Rucker
Without You	The Kid LAROI
Damage	H.E.R.
Dynamite	BTS
Down To One	Luke Bryan
Buss It	Erica Banks
Long Live	Florida Georgia Line
We're Good	Dua Lipa
Time Today	Moneybagg Yo
What It Feels Like	Nipsey Hussle & JAY-Z
Hole In The Bottle	Kelsea Ballerini
Wasted On You	Morgan Wallen
Beat Box	SpotemGottem Featuring Pooh Shiesty Or DaBaby
The Good Ones	Gabby Barrett
What's Your Country Song	Thomas Rhett
Sand In My Boots	Morgan Wallen
Golden	Harry Styles
Monsters	All Time Low Featuring Demi Lovato & blackbear 
Goosebumps	Travis Scott & HVME
My Head And My Heart	Ava Max
Tyler Herro	Jack Harlow
Lady	Brett Young
Heat Waves	Glass Animals
Afterglow	Ed Sheeran
Forever After All	Luke Combs
Girl Like Me	Black Eyed Peas X Shakira
Astronaut In The Ocean	Masked Wolf
La Noche de Anoche	Bad Bunny & Rosalia
No More Parties	Coi Leray Featuring Lil Durk
Somebody's Problem	Morgan Wallen
Momma's House	Dustin Lynch
Hell Of A View	Eric Church
Heartbreak Anniversary	Giveon
Neighbors	Pooh Shiesty Featuring BIG30
Lifestyle	Jason Derulo Featuring Adam Levine
So Done	The Kid LAROI
Somebody Like That	Tenille Arts
Finesse Out The Gang Way	Lil Durk Featuring Lil Baby
Masterpiece	DaBaby
Moonwalking In Calabasas	DDG
Bandido	Myke Towers & Juhn
Happy Does	Kenny Chesney
Cover Me Up	Morgan Wallen
You Got It	VEDO
One Too Many	Keith Urban Duet With P!nk
Still Trappin'	Lil Durk & King Von
Pick Up Your Feelings	Jazmine Sullivan
Big, Big Plans	Chris Lane
Drankin N Smokin	Future & Lil Uzi Vert
Monster	Shawn Mendes & Justin Bieber
Bichota	Karol G
Glad You Exist	Dan + Shay
Quicksand	Morray
Like I Want You	Giveon
Almost Maybes	Jordan Davis
Back To The Streets	Saweetie Featuring Jhene Aiko
Bad Boy	Juice WRLD & Young Thug
Opp Stoppa	YBN Nahmir Featuring 21 Savage
How They Remember You	Rascal Flatts
