Drivers License	Olivia Rodrigo
Mood	24kGoldn Featuring iann dior
Blinding Lights	The Weeknd
34+35	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
Levitating	Dua Lipa Featuring DaBaby
Go Crazy	Chris Brown & Young Thug
Positions	Ariana Grande
Save Your Tears	The Weeknd & Ariana Grande
Holy	Justin Bieber Featuring Chance The Rapper
Whoopty	CJ
Good Days	SZA
Lonely	Justin Bieber & benny blanco
What You Know Bout Love	Pop Smoke
Therefore I Am	Billie Eilish
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
Bang!	AJR
Better Together	Luke Combs
Streets	Doja Cat
I Hope	Gabby Barrett Featuring Charlie Puth
Body	Megan Thee Stallion
Dakiti	Bad Bunny & Jhay Cortez
Lemonade	Internet Money & Gunna Featuring Don Toliver & NAV
You Broke Me First.	Tate McRae
Laugh Now Cry Later	Drake Featuring Lil Durk
My Ex's Best Friend	Machine Gun Kelly X blackbear
Wasted On You	Morgan Wallen
You're Mines Still	Yung Bleu Featuring Drake
Anyone	Justin Bieber
Willow	Taylor Swift
On Me	Lil Baby
Good Time	Niko Moon
Sand In My Boots	Morgan Wallen
Throat Baby (Go Baby)	BRS Kash
Before You Go	Lewis Capaldi
7 Summers	Morgan Wallen
Starting Over	Chris Stapleton
Back In Blood	Pooh Shiesty Featuring Lil Durk
More Than My Hometown	Morgan Wallen
Finesse Out The Gang Way	Lil Durk Featuring Lil Baby
Hole In The Bottle	Kelsea Ballerini
Kings & Queens	Ava Max
Best Friend	Saweetie Featuring Doja Cat
Cry Baby	Megan Thee Stallion Featuring DaBaby
Rockstar	DaBaby Featuring Roddy Ricch
Afterglow	Ed Sheeran
Dynamite	BTS
Happy Does	Kenny Chesney
Somebody's Problem	Morgan Wallen
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Put Your Records On	Ritt Momney
Damage	H.E.R.
Without You	The Kid LAROI
Should've Ducked	Lil Durk Featuring Pooh Shiesty
Just The Way	Parmalee x Blanco Brown
Beers And Sunshine	Darius Rucker
Down To One	Luke Bryan
What's Your Country Song	Thomas Rhett
Beat Box	SpotemGottem Featuring Pooh Shiesty Or DaBaby
Diamonds	Sam Smith
The Good Ones	Gabby Barrett
Golden	Harry Styles
Buss It	Erica Banks
Goosebumps	Travis Scott & HVME
Monsters	All Time Low Featuring Demi Lovato & blackbear 
Long Live	Florida Georgia Line
Tyler Herro	Jack Harlow
Cover Me Up	Morgan Wallen
Forever After All	Luke Combs
Back To The Streets	Saweetie Featuring Jhene Aiko
Still Trappin'	Lil Durk & King Von
Gravity	Brent Faiyaz & DJ Dahi Featuring Tyler, The Creator
Bichota	Karol G
Bad Boy	Juice WRLD & Young Thug
Baila Conmigo	Selena Gomez With Rauw Alejandro
Lady	Brett Young
Still Goin Down	Morgan Wallen
865	Morgan Wallen
So Done	The Kid LAROI
Warning	Morgan Wallen
Holiday	Lil Nas X
Hell Of A View	Eric Church
Girl Like Me	Black Eyed Peas X Shakira
Momma's House	Dustin Lynch
Big, Big Plans	Chris Lane
Monster	Shawn Mendes & Justin Bieber
Heat Waves	Glass Animals
Stay Down	Lil Durk, 6LACK & Young Thug
Somebody Like That	Tenille Arts
Skin	Sabrina Carpenter
Moonwalking In Calabasas	DDG
Kanye Krazy	Lil Durk
Pick Up Your Feelings	Jazmine Sullivan
You Got It	VEDO
One Too Many	Keith Urban Duet With P!nk
Backdoor	Lil Durk
Fake Woke	Tom MacDonald
Prisoner	Miley Cyrus Featuring Dua Lipa
Dangerous	Morgan Wallen
Almost Maybes	Jordan Davis
Mr. Right Now	21 Savage & Metro Boomin Featuring Drake
