Eve Of Destruction	Barry McGuire
Hang On Sloopy	The McCoys
You Were On My Mind	We Five
Catch Us If You Can	The Dave Clark Five
Help!	The Beatles
The "In" Crowd	Ramsey Lewis Trio
Like A Rolling Stone	Bob Dylan
It Ain't Me Babe	The Turtles
Heart Full Of Soul	The Yardbirds
Laugh At Me	Sonny
You've Got Your Troubles	The Fortunes
Treat Her Right	Roy Head And The Traits
We Gotta Get Out Of This Place	The Animals
Baby Don't Go	Sonny & Cher
Unchained Melody	The Righteous Brothers
I Got You Babe	Sonny & Cher
Do You Believe In Magic	The Lovin' Spoonful
Action	Freddy Cannon
California Girls	The Beach Boys
Some Enchanted Evening	Jay & The Americans
I'm Yours	Elvis Presley
Agent Double-O-Soul	Edwin Starr
Hold Me, Thrill Me, Kiss Me	Mel Carter
Summer Nights	Marianne Faithfull
I'll Make All Your Dreams Come True	Ronnie Dove
Liar, Liar	The Castaways
Sad, Sad Girl	Barbara Mason
Papa's Got A Brand New Bag (Part I)	James Brown And The Famous Flames
With These Hands	Tom Jones
Ride Away	Roy Orbison
The Tracks Of My Tears	The Miracles
Just You	Sonny & Cher
Mohair Sam	Charlie Rich
Keep On Dancing	The Gentrys
Houston	Dean Martin
I'm A Happy Man	The Jive Five
Home Of The Brave	Jody Miller
It's The Same Old Song	Four Tops
Nothing But Heartaches	The Supremes
Just A Little Bit Better	Herman's Hermits
Who'll Be The Next In Line	The Kinks
Heartaches By The Number	Johnny Tillotson
Since I Lost My Baby	The Temptations
Kansas City Star	Roger Miller
Yesterday	The Beatles
It's Gonna Take A Miracle	The Royalettes
Ain't It True	Andy Williams
In The Midnight Hour	Wilson Pickett
Down In The Boondocks	Billy Joe Royal
You've Been In Love Too Long	Martha & The Vandellas
Moonlight And Roses (Bring Mem'ries Of You)	Vic Dana
3rd Man Theme	Herb Alpert & The Tijuana Brass
The Dawn Of Correction	The Spokesmen
My Town, My Guy And Me	Lesley Gore
(My Girl) Sloopy	Little Caesar And The Consuls
I Want To (Do Everything For You)	Joe Tex
First I Look At The Purse	The Contours
Annie Fanny	The Kingsmen
N-E-R-V-O-U-S!	Ian Whitcomb
Make Me Your Baby	Barbara Lewis
Danger Heartbreak Dead Ahead	The Marvelettes
There But For Fortune	Joan Baez
High Heel Sneakers	Stevie Wonder
I Need You	The Impressions
Two Different Worlds	Lenny Welch
A Lover's Concerto	The Toys
Hungry For Love	San Remo Golden Strings
Respect	Otis Redding
Cara-Lin	The Strangeloves
I Live For The Sun	The Sunrays
What Color (Is A Man)	Bobby Vinton
You're The One	The Vogues
Not The Lovin' Kind	Dino, Desi & Billy
The Girl From Peyton Place	Dickey Lee
These Hands (Small But Mighty)	Bobby Bland
I Knew You When	Billy Joe Royal
Home Of The Brave	Bonnie & The Treasures
Steppin' Out	Paul Revere & The Raiders
Everyone's Gone To The Moon	Jonathan King
Roundabout	Connie Francis
The World Through A Tear	Neil Sedaka
Little Miss Sad	The Five Emprees
Are You A Boy Or Are You A Girl	The Barbarians
Universal Soldier	Donovan
Everybody Loves A Clown	Gary Lewis And The Playboys
Colours	Donovan
Act Naturally	The Beatles
Funny Little Butterflies	Patty Duke
Taste Of Honey	Herb Alpert & The Tijuana Brass
The Universal Soldier	Glen Campbell
Tossing & Turning	The Ivy League
If You've Got A Heart	Bobby Goldsboro
1-2-3	Len Barry
The Sins Of A Family	P.F. Sloan
The Way Of Love	Kathy Kirby
For Your Love	Sam & Bill
How Nice It Is	Billy Stewart
Road Runner	The Gants
You Can't Take It Away	Fred Hughes
Let's Move & Groove (Together)	Johnny Nash
