Help!	The Beatles
Eve Of Destruction	Barry McGuire
Like A Rolling Stone	Bob Dylan
You Were On My Mind	We Five
Catch Us If You Can	The Dave Clark Five
The "In" Crowd	Ramsey Lewis Trio
Hang On Sloopy	The McCoys
It Ain't Me Babe	The Turtles
I Got You Babe	Sonny & Cher
Heart Full Of Soul	The Yardbirds
Unchained Melody	The Righteous Brothers
Papa's Got A Brand New Bag (Part I)	James Brown And The Famous Flames
Action	Freddy Cannon
Laugh At Me	Sonny
California Girls	The Beach Boys
You've Got Your Troubles	The Fortunes
Hold Me, Thrill Me, Kiss Me	Mel Carter
We Gotta Get Out Of This Place	The Animals
It's The Same Old Song	Four Tops
The Tracks Of My Tears	The Miracles
Houston	Dean Martin
Baby Don't Go	Sonny & Cher
Nothing But Heartaches	The Supremes
Agent Double-O-Soul	Edwin Starr
Since I Lost My Baby	The Temptations
Treat Her Right	Roy Head And The Traits
Summer Nights	Marianne Faithfull
Do You Believe In Magic	The Lovin' Spoonful
Sad, Sad Girl	Barbara Mason
Down In The Boondocks	Billy Joe Royal
Liar, Liar	The Castaways
I'm Yours	Elvis Presley
I'll Make All Your Dreams Come True	Ronnie Dove
Who'll Be The Next In Line	The Kinks
Ride Away	Roy Orbison
You've Been In Love Too Long	Martha & The Vandellas
With These Hands	Tom Jones
I'm A Happy Man	The Jive Five
In The Midnight Hour	Wilson Pickett
Shake And Fingerpop	Jr. Walker & The All Stars
It's Gonna Take A Miracle	The Royalettes
Just You	Sonny & Cher
Some Enchanted Evening	Jay & The Americans
Baby, I'm Yours	Barbara Lewis
Mohair Sam	Charlie Rich
If I Didn't Love You	Chuck Jackson
Annie Fanny	The Kingsmen
Home Of The Brave	Jody Miller
All I Really Want To Do	Cher
(My Girl) Sloopy	Little Caesar And The Consuls
I'll Take You Where The Music's Playing	The Drifters
Heartaches By The Number	Johnny Tillotson
Moonlight And Roses (Bring Mem'ries Of You)	Vic Dana
Sugar Dumpling	Sam Cooke
I Don't Wanna Lose You Baby	Chad & Jeremy
Kansas City Star	Roger Miller
First I Look At The Purse	The Contours
Ain't It True	Andy Williams
Keep On Dancing	The Gentrys
N-E-R-V-O-U-S!	Ian Whitcomb
Colours	Donovan
Danger Heartbreak Dead Ahead	The Marvelettes
High Heel Sneakers	Stevie Wonder
Just A Little Bit Better	Herman's Hermits
I Need You	The Impressions
Two Different Worlds	Lenny Welch
I Want To (Do Everything For You)	Joe Tex
My Town, My Guy And Me	Lesley Gore
3rd Man Theme	Herb Alpert & The Tijuana Brass
Respect	Otis Redding
There But For Fortune	Joan Baez
The Dawn Of Correction	The Spokesmen
Only Those In Love	Baby Washington
Give All Your Love To Me	Gerry And The Pacemakers
If You Wait For Love	Bobby Goldsboro
These Hands (Small But Mighty)	Bobby Bland
I Live For The Sun	The Sunrays
The Girl From Peyton Place	Dickey Lee
Home Of The Brave	Bonnie & The Treasures
Roundabout	Connie Francis
Is It Really Over?	Jim Reeves
Hungry For Love	San Remo Golden Strings
Steppin' Out	Paul Revere & The Raiders
Cara-Lin	The Strangeloves
The World Through A Tear	Neil Sedaka
You're Gonna Make Me Cry	O.V. Wright
What Color (Is A Man)	Bobby Vinton
Make Me Your Baby	Barbara Lewis
Not The Lovin' Kind	Dino, Desi & Billy
You're The One	The Vogues
Little Miss Sad	The Five Emprees
I Knew You When	Billy Joe Royal
A Lover's Concerto	The Toys
You Can't Be True, Dear	Patti Page
Me Without You	Mary Wells
The Silence (Il Silenzio)	Al Hirt
Tossing & Turning	The Ivy League
For Your Love	Sam & Bill
The Way Of Love	Kathy Kirby
How Nice It Is	Billy Stewart
