Mr. Tambourine Man	The Byrds
I Can't Help Myself (Sugar Pie Honey Bunch)	Four Tops
Wooly Bully	Sam The Sham and the Pharaohs
(I Can't Get No) Satisfaction	The Rolling Stones
Wonderful World	Herman's Hermits
Crying In The Chapel	Elvis Presley With The Jordanaires
For Your Love	The Yardbirds
Hush, Hush, Sweet Charlotte	Patti Page
Help Me, Rhonda	The Beach Boys
Seventh Son	Johnny Rivers
Back In My Arms Again	The Supremes
Yes, I'm Ready	Barbara Mason
A Walk In The Black Forest	Horst Jankowski
You Turn Me On (Turn On Song)	Ian Whitcomb And Bluesville
What The World Needs Now Is Love	Jackie DeShannon
Cara, Mia	Jay & The Americans
Before And After	Chad & Jeremy
Just A Little	The Beau Brummels
Last Chance To Turn Around	Gene Pitney
Ticket To Ride	The Beatles
Engine Engine #9	Roger Miller
Laurie (Strange Things Happen)	Dickey Lee
Mrs. Brown You've Got A Lovely Daughter	Herman's Hermits
Shakin' All Over	The Guess Who
Catch The Wind	Donovan
True Love Ways	Peter And Gordon
Voodoo Woman	Bobby Goldsboro
I've Been Loving You Too Long (To Stop Now)	Otis Redding
Oo Wee Baby, I Love You	Fred Hughes
Give Us Your Blessings	The Shangri-Las
A World Of Our Own	The Seekers
A Little Bit Of Heaven	Ronnie Dove
Here Comes The Night	Them
Nothing Can Stop Me	Gene Chandler
You Really Know How To Hurt A Guy	Jan & Dean
(Remember Me) I'm The One Who Loves You	Dean Martin
It's Not Unusual	Tom Jones
This Little Bird	Marianne Faithfull
Too Many Rivers	Brenda Lee
L-O-N-E-L-Y	Bobby Vinton
What's New Pussycat?	Tom Jones
Tonight's The Night	Solomon Burke
Concrete And Clay	Unit Four plus Two
I Do	The Marvelows
I'll Keep Holding On	The Marvelettes
Silhouettes	Herman's Hermits
(Such An) Easy Question	Elvis Presley With The Jordanaires
Little Lonely One	Tom Jones
Do The Boomerang	Jr. Walker & The All Stars
Marie	The Bachelors
Set Me Free	The Kinks
When A Boy Falls In Love	Sam Cooke
You'll Never Walk Alone	Gerry And The Pacemakers
And I Love Him	Esther Phillips
I'll Be With You In Apple Blossom Time	Wayne Newton
Concrete And Clay	Eddie Rambeau
Tell Her (You Love Her Every Day)	Frank Sinatra
I Like It Like That	The Dave Clark Five
Girl Come Running	The 4 Seasons Featuring the "Sound of Frankie Valli"
What's He Doing In My World	Eddy Arnold
Seein' The Right Love Go Wrong	Jack Jones
Who's Cheating Who?	Little Milton
Meeting Over Yonder	The Impressions
It's Wonderful To Be In Love	The Ovations (Featuring Louis Williams)
It's Just A Little Bit Too Late	Wayne Fontana & The Mindbenders
Bring A Little Sunshine (To My Heart)	Vic Dana
Theme From "A Summer Place"	The Lettermen
Summer Sounds	Robert Goulet
I Want Candy	The Strangeloves
I Love You So	Bobbi Martin
It Feels So Right	Elvis Presley With The Jordanaires
Boot-Leg	Booker T. & The MG's
Sitting In The Park	Billy Stewart
Baby, I'm Yours	Barbara Lewis
Sunshine, Lollipops And Rainbows	Lesley Gore
Temptation 'Bout To Get Me	The Knight Bros.
Hold Me, Thrill Me, Kiss Me	Mel Carter
The Puzzle Song (A Puzzle In Song)	Shirley Ellis
Don't Just Stand There	Patty Duke
Watermelon Man	Gloria Lynne
Take Me Back	Little Anthony And The Imperials
He's A Lover	Mary Wells
Operator	Brenda Holloway
Nobody Knows What's Goin' On (In My Mind But Me)	The Chiffons
Are You Sincere	Trini Lopez
Then I'll Count Again	Johnny Tillotson
Darling Take Me Back	Lenny Welch
My Cherie	Al Martino
One Monkey Don't Stop No Show	Joe Tex
Cast Your Fate To The Wind	Steve Alaimo
Soul Sauce (Guacha Guaro)	Cal Tjader
Trains And Boats And Planes	Billy J. Kramer With The Dakotas
The First Thing Ev'ry Morning (And The Last Thing Ev'ry Night)	Jimmy Dean
Silver Threads And Golden Needles	Jody Miller
Forget Domani	Connie Francis
Girl On The Billboard	Del Reeves
Long Live Love	Sandie Shaw
I Want You Back Again	The Zombies
I'm A Fool	Dino, Desi & Billy
Forget Domani	Frank Sinatra
