Island Girl	Elton John
Lyin' Eyes	Eagles
I'm Sorry	John Denver
Who Loves You	The 4 Seasons
Miracles	Jefferson Starship
Heat Wave/love Is A Rose	Linda Ronstadt
They Just Can't Stop It the (Games People Play)	The Spinners
This Will Be	Natalie Cole
Feelings	Morris Albert
The Way I Want To Touch You	Captain & Tennille
Do It Any Way You Wanna	People's Choice
Low Rider	War
Something Better To Do	Olivia Newton-John
Lady Blue	Leon Russell
S.O.S.	ABBA
Bad Blood	Neil Sedaka
Sky High	Jigsaw
Nights On Broadway	Bee Gees
That's The Way (I Like It)	KC And The Sunshine Band
You	George Harrison
What A Diff'rence A Day Makes	Esther Phillips
Fly, Robin, Fly	Silver Convention
Born To Run	Bruce Springsteen
My Little Town	Simon & Garfunkel
I Only Have Eyes For You	Art Garfunkel
Eighteen With A Bullet	Pete Wingfield
Blue Eyes Crying In The Rain	Willie Nelson
Let's Do It Again	The Staple Singers
Operator	The Manhattan Transfer
Brazil	The Ritchie Family
Give It What You Got/Peace Pipe	B.T. Express
Just Too Many People	Melissa Manchester
I Want'a Do Something Freaky To You	Leon Haywood
Rockin' All Over The World	John Fogerty
Secret Love	Freddy Fender
Saturday Night	Bay City Rollers
Our Day Will Come	Frankie Valli
It Only Takes A Minute	Tavares
Dance With Me	Orleans
Diamonds And Rust	Joan Baez
Fame	David Bowie
The Agony And The Ecstasy	Smokey Robinson
Ballroom Blitz	Sweet
Ain't No Way To Treat A Lady	Helen Reddy
Since I Met You Baby	Freddy Fender
Every Day I Have To Cry Some	Arthur Alexander
Sweet Sticky Thing	Ohio Players
Change With The Times	Van Mccoy
Mexico	James Taylor
I'm On Fire	5000 Volts
There Goes Another Love Song	The Outlaws
Keep On Tryin'	Poco
Dreaming A Dream	Crown Heights Affair
(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P	Cheech & Chong
Hollywood Hot	The Eleventh Hour
Manhattan Spiritual	Mike Post
Summer Of '42	Biddu Orchestra
Sailing	Rod Stewart
I Love Music (Part 1)	The O'Jays
Venus And Mars Rock Show	Wings
To Each His Own	Faith, Hope And Charity
Carolina In The Pines	Michael Murphey
Are You Sure Hank Done It This Way	Waylon Jennings
Letting Go	Wings
Welcome To My Nightmare	Alice Cooper
Mr. Jaws	Dickie Goodman
So In Love	Curtis Mayfield
Indian Love Call	Ray Stevens
Help Me Make It (To My Rockin' Chair)	B.J. Thomas
Bringing It Back	Elvis Presley
King Kong - Pt. I	The Jimmy Castor Bunch
Fire On The Mountain	The Marshall Tucker Band
Come And Get Your Love	Roger Daltrey
Part Time Love	Gladys Knight And The Pips
What's Happened To Blue Eyes/You Ain't Never Been Loved (Like I'm Gonna Lov	Jessi Colter
You Sexy Thing	Hot Chocolate
Is It Love That We're Missin'	Quincy Jones (feat. The Brothers Johnson)
Love Machine (Part 1)	The Miracles
Theme From Mahogany (Do You Know Where You're Going To)	Diana Ross
Same Thing It Took	The Impressions
Skybird	Tony Orlando & Dawn
Love Power	Willie Hutch
The Music Never Stopped	The Grateful Dead
Volare	Al Martino
Happy	Eddie Kendricks
Country Boy (You Got Your Feet In L.A.)	Glen Campbell
Winners And Losers	Hamilton, Joe Frank & Reynolds
Machines	John Livigni
Full Of Fire	Al Green
Walk Away From Love	David Ruffin
Over My Head	Fleetwood Mac
Caribbean Festival	Kool & The Gang
Everything's The Same (Ain't Nothing Changed)	Billy Swan
Just A Smile	Pilot
Rocky	Austin Roberts
I'm On Fire	Jim Gilstrap
I'll Go To My Grave Loving You	The Statler Brothers
Nice, Nice, Very Nice	Ambrosia
It's Time For Love	The Chi-lites
Better By The Pound	Funkadelic
