Come See About Me	The Supremes
I Feel Fine	The Beatles
Love Potion Number Nine	The Searchers
Downtown	Petula Clark
You've Lost That Lovin' Feelin'	The Righteous Brothers
Mr. Lonely	Bobby Vinton
The Jerk	The Larks
Goin' Out Of My Head	Little Anthony And The Imperials
How Sweet It Is To Be Loved By You	Marvin Gaye
Keep Searchin' (We'll Follow The Sun)	Del Shannon
Amen	The Impressions
She's A Woman	The Beatles
Thou Shalt Not Steal	Dick and DeeDee
Sha La La	Manfred Mann
Hold What You've Got	Joe Tex
The Wedding	Julie Rogers
Willow Weep For Me	Chad & Jeremy
Any Way You Want It	The Dave Clark Five
Don't Forget I Still Love You	Bobbi Martin
The Name Game	Shirley Ellis
Leader Of The Laundromat	The Detergents
My Love, Forgive Me (Amore, Scusami)	Robert Goulet
She's Not There	The Zombies
As Tears Go By	Marianne Faithfull
Too Many Fish In The Sea	The Marvelettes
I'll Be There	Gerry And The Pacemakers
Dear Heart	Andy Williams
Walk Away	Matt Monro
All Day And All Of The Night	The Kinks
Give Him A Great Big Kiss	The Shangri-Las
You're Nobody Till Somebody Loves You	Dean Martin
Dear Heart	Jack Jones
Hawaii Tattoo	The Waikikis
Let's Lock The Door (And Throw Away The Key)	Jay & The Americans
Do-Wacka-Do	Roger Miller
Shake	Sam Cooke
Wild One	Martha & The Vandellas
One More Time	The Ray Charles Singers
Oh No Not My Baby	Maxine Brown
What Now	Gene Chandler
Dance, Dance, Dance	The Beach Boys
Ringo	Lorne Greene
Have You Looked Into Your Heart	Jerry Vale
Promised Land	Chuck Berry
Seven Letters	Ben E. King
Makin' Whoopee	Ray Charles
Look Of Love	Lesley Gore
Use Your Head	Mary Wells
Roses Are Red My Love	The "You Know Who" Group!
The "In" Crowd	Dobie Gray
I Can't Stop	The Honeycombs
Somewhere In Your Heart	Frank Sinatra
The 81	Candy & The Kisses
Lovin' Place	Gale Garnett
No Arms Can Ever Hold You	The Bachelors
Bucket "T"	Ronny And The Daytonas
Come On Do The Jerk	The Miracles
Heart Of Stone	The Rolling Stones
Can You Jerk Like Me	The Contours
Little Bell	The Dixie Cups
Paper Tiger	Sue Thompson
I Go To Pieces	Peter And Gordon
He's My Guy	Irma Thomas
You'll Always Be The One I Love	Dean Martin
This Diamond Ring	Gary Lewis And The Playboys
Tell Her No	The Zombies
I'm Gonna Love You Too	The Hullaballoos
Laugh, Laugh	The Beau Brummels
Boom Boom	The Animals
Lovely, Lovely (Loverly, Loverly)	Chubby Checker
Do What You Do Do Well	Ned Miller
Sometimes I Wonder	Major Lance
Hey-Da-Da-Dow	The Dolphins
The Jolly Green Giant	The Kingsmen
Smile	Betty Everett & Jerry Butler
My Girl	The Temptations
Twine Time	Alvin Cash & The Crawlers
Blind Man	Bobby Bland
Dear Heart	Henry Mancini And His Orchestra
Voice Your Choice	The Radiants
Cousin Of Mine	Sam Cooke
I Found A Love Oh What A Love	Jo Ann & Troy
Thanks A Lot	Brenda Lee
Whenever A Teenager Cries	Reparata And The Delrons
Ode To The Little Brown Shack Out Back	Billy Edd Wheeler
Blind Man	Little Milton
Bye, Bye, Baby (Baby, Goodbye)	The 4 Seasons Featuring the "Sound of Frankie Valli"
The Crusher	The Novas
Hello Pretty Girl	Ronnie Dove
The Boy From New York City	The Ad Libs
Are You Still My Baby	The Shirelles
No Faith, No Love	Mitty Collier
Fancy Pants	Al (He's the King) Hirt
The Crying Game	Brenda Lee
It's Better To Have It	Barbara Lynn
Finders Keepers, Losers Weepers	Nella Dodds
It's Alright	Adam Faith With The Roulettes
I Want You To Be My Boy	The Exciters
I Wanna Be (Your Everything)	The Manhattans
My Heart Would Know	Al Martino
