Butter	BTS
Good 4 U	Olivia Rodrigo
Kiss Me More	Doja Cat Featuring SZA
Levitating	Dua Lipa Featuring DaBaby
Bad Habits	Ed Sheeran
Leave The Door Open	Silk Sonic (Bruno Mars & Anderson .Paak)
Peaches	Justin Bieber Featuring Daniel Caesar & Giveon
Montero (Call Me By Your Name)	Lil Nas X
Save Your Tears	The Weeknd & Ariana Grande
Deja Vu	Olivia Rodrigo
You Right	Doja Cat & The Weeknd
Astronaut In The Ocean	Masked Wolf
Rapstar	Polo G
WUSYANAME	Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign
Without You	The Kid LAROI
Thot Shit	Megan Thee Stallion
Beautiful Mistakes	Maroon 5 Featuring Megan Thee Stallion
Blinding Lights	The Weeknd
Forever After All	Luke Combs
Heartbreak Anniversary	Giveon
Famous Friends	Chris Young + Kane Brown
Best Friend	Saweetie Featuring Doja Cat
Lil Bit	Nelly & Florida Georgia Line
Ain't Shit	Doja Cat
Heat Waves	Glass Animals
Wants And Needs	Drake Featuring Lil Baby
Yonaguni	Bad Bunny
Every Chance I Get	DJ Khaled Featuring Lil Baby & Lil Durk
Drivers License	Olivia Rodrigo
Telepatia	Kali Uchis
Leave Before You Love Me	Marshmello X Jonas Brothers
Todo de Ti	Rauw Alejandro
Late At Night	Roddy Ricch
Fancy Like	Walker Hayes
Blame It On You	Jason Aldean
pov	Ariana Grande
Mood	24kGoldn Featuring iann dior
Gone	Dierks Bentley
Traitor	Olivia Rodrigo
Juggernaut	Tyler, The Creator Featuring Lil Uzi Vert & Pharrell Williams
AM	Nio Garcia X J Balvin X Bad Bunny
Lemonhead	Tyler, The Creator Featuring 42 Dugg
My Ex's Best Friend	Machine Gun Kelly X blackbear
Wockesha	Moneybagg Yo
Lumberjack	Tyler, The Creator
Calling My Phone	Lil Tjay Featuring 6LACK
Almost Maybes	Jordan Davis
Hot Wind Blows	Tyler, The Creator Featuring Lil Wayne
Need To Know	Doja Cat
Drinkin' Beer. Talkin' God. Amen.	Chase Rice Featuring Florida Georgia Line
Red Light Green Light	DaBaby
Settling Down	Miranda Lambert
Single Saturday Night	Cole Swindell
Glad You Exist	Dan + Shay
Corso	Tyler, The Creator
Ball If I Want To	DaBaby
I Don't Do Drugs	Doja Cat Featuring Ariana Grande
Happier	Olivia Rodrigo
Sir Baudelaire	Tyler, The Creator Featuring DJ Drama
Sweet / I Thought You Wanted To Dance	Tyler, The Creator Featuring Brent Faiyaz & Fana Hues
Straightenin	Migos
Favorite Crime	Olivia Rodrigo
Ski	Young Thug & Gunna
Way Less Sad	AJR
my.life	J. Cole, 21 Savage & Morray
Massa	Tyler, The Creator
Build A Bitch	Bella Poarch
RunItUp	Tyler, The Creator Featuring Teezo Touchdown
Arcade	Duncan Laurence
Things A Man Oughta Know	Lainey Wilson
Track Star	Mooski
Hats Off	Lil Baby, Lil Durk & Travis Scott
Brutal	Olivia Rodrigo
One Too Many	Keith Urban Duet With P!nk
You	Regard x Troye Sivan x Tate McRae
Drunk (And I Don't Wanna Go Home)	Elle King & Miranda Lambert
Chasing After You	Ryan Hurd With Maren Morris
Beggin'	Maneskin
Breaking Up Was Easy In The 90's	Sam Hunt
Minimum Wage	Blake Shelton
Fiel	Los Legendarios, Wisin & Jhay Cortez
Having Our Way	Migos Featuring Drake
Made For You	Jake Owen
Manifesto	Tyler, The Creator Featuring Domo Genesis
transparentsoul	Willow Featuring Travis Barker
Country Again	Thomas Rhett
We Didn't Have Much	Justin Moore
Woman	Doja Cat
Jealousy, Jealousy	Olivia Rodrigo
Follow You	Imagine Dragons
Come Through	H.E.R. Featuring Chris Brown
4 Da Gang	42 Dugg & Roddy Ricch
Get Into It (Yuh)	Doja Cat
Waves	Luke Bryan
Wilshire	Tyler, The Creator
Twerkulator	City Girls
Tombstone	Rod Wave
Miss The Rage	Trippie Redd & Playboi Carti
Rise!	Tyler, The Creator Featuring Daisy World
Working	Tate McRae X Khalid
