Look Away	Chicago
Every Rose Has Its Thorn	Poison
Giving You The Best That I Got	Anita Baker
My Prerogative	Bobby Brown
Waiting For A Star To Fall	Boy Meets Girl
Baby, I Love Your Way/Freebird Medley	Will To Power
I Don't Want Your Love	Duran Duran
How Can I Fall?	Breathe
Welcome To The Jungle	Guns N' Roses
Walk On Water	Eddie Money
The Promise	When In Rome
Two Hearts	Phil Collins
In Your Room	The Bangles
Finish What Ya Started	Van Halen
Don't Rush Me	Taylor Dayne
Spy In The House Of Love	Was (Not Was)
I Remember Holding You	Boys Club
Silhouette	Kenny G
Early In The Morning	Robert Palmer
Smooth Criminal	Michael Jackson
Armageddon It	Def Leppard
Desire	U2
Put A Little Love In Your Heart	Annie Lennox & Al Green
The Way You Love Me	Karyn White
All This Time	Tiffany
Bad Medicine	Bon Jovi
Not Just Another Girl	Ivan Neville
Wild, Wild West	The Escape Club
Kokomo (From"Cocktail" )	The Beach Boys
Little Liar	Joan Jett & the Blackhearts
When The Children Cry	White Lion
Wild World	Maxi Priest
Yeah, Yeah, Yeah	Judson Spence
Born To Be My Baby	Bon Jovi
Holding On	Steve Winwood
Thanks For My Child	Cheryl Pepsii Riley
Kissing A Fool	George Michael
When I'm With You	Sheriff
Ghost Town	Cheap Trick
I Wanna Have Some Fun	Samantha Fox
The Lover In Me	Sheena Easton
The Loco-Motion	Kylie Minogue
Don't Know What You Got (Till It's Gone)	Cinderella
Groovy Kind Of Love	Phil Collins
Back On Holiday	Robbie Nevil
Handle With Care	Traveling Wilburys
Straight Up	Paula Abdul
Walking Away	Information Society
Kiss	The Art Of Noise Featuring Tom Jones
Domino Dancing	Pet Shop Boys
Baby Can I Hold You	Tracy Chapman
Wild Thing	Tone-Loc
You Got It (The Right Stuff)	New Kids On The Block
Till I Loved You	Barbra Streisand & Don Johnson
Peek-A-Boo	Siouxsie & The Banshees
Symptoms Of True Love	Tracie Spencer
What I Am	Edie Brickell & New Bohemians
Hippy Hippy Shake (From "Cocktail")	The Georgia Satellites
Dial My Heart	The Boys
As Long As You Follow	Fleetwood Mac
She Wants To Dance With Me	Rick Astley
Cross My Heart	Eighth Wonder
One Moment In Time	Whitney Houston
Another Lover	Giant Steps
Red Red Wine	UB40
Girls Ain't Nothing But Trouble	D.J. Jazzy Jeff & The Fresh Prince
It's Money That Matters	Randy Newman
Shake For The Sheik	The Escape Club
A Little Respect	Erasure
Forever Young	Alphaville
Nobody's Perfect	Mike + The Mechanics
Edge Of A Broken Heart	Vixen
Forever Young	Rod Stewart
Angel Of Harlem	U2
Don't Worry, Be Happy (From "Cocktail")	Bobby McFerrin
What's On Your Mind (Pure Energy)	Information Society
Boy, I've Been Told	SaFire
Never Tear Us Apart	INXS
New Day For You	Basia
My Heart Can't Tell You No	Rod Stewart
It's No Secret	Kylie Minogue
Small World	Huey Lewis & The News
Don't Be Cruel	Bobby Brown
Killing Me Softly	Al B. Sure!
Anchorage	Michelle Shocked
I'll Always Love You	Taylor Dayne
Love Bites	Def Leppard
Cars With The Boom	L'Trimm
Best Of Times	Peter Cetera
I Hate Myself For Loving You	Joan Jett & the Blackhearts
If We Never Meet Again	Tommy Conwell And The Young Rumblers
Please Don't Go Girl	New Kids On The Block
Is It Love	J.J. Fad
Doctorin' The Tardis	The Timelords
Perfect	Fairground Attraction
Any Love	Luther Vandross
Posse On Broadway	Sir Mix-A-Lot
Wild Again (From "Cocktail")	Starship
Rock & Roll Strategy	Thirty Eight Special
The Only Way Is Up	Yazz And The Plastic Population
