You Can't Hurry Love	The Supremes
Yellow Submarine	The Beatles
Sunshine Superman	Donovan
Cherish	The Association
Bus Stop	The Hollies
See You In September	The Happenings
Land Of 1000 Dances	Wilson Pickett
Wouldn't It Be Nice	The Beach Boys
Guantanamera	The Sandpipers
Sunny	Bobby Hebb
Beauty Is Only Skin Deep	The Temptations
Born A Woman	Sandy Posey
Working In The Coal Mine	Lee Dorsey
Eleanor Rigby	The Beatles
Sunny Afternoon	The Kinks
Turn-Down Day	The Cyrkle
Summer In The City	The Lovin' Spoonful
Black Is Black	Los Bravos
Wade In The Water	Ramsey Lewis
Wipe Out	The Surfaris
Say I Am (What I Am)	Tommy James And The Shondells
Respectable	The Outsiders
How Sweet It Is (To Be Loved By You)	Jr. Walker & The All Stars
Cherry, Cherry	Neil Diamond
96 Tears	? (Question Mark) & The Mysterians
Reach Out I'll Be There	Four Tops
Mr. Dieingly Sad	The Critters
I've Got You Under My Skin	The 4 Seasons Featuring the "Sound of Frankie Valli"
What Becomes Of The Brokenhearted	Jimmy Ruffin
Almost Persuaded	David Houston
Open The Door To Your Heart	Darrell Banks
The Dangling Conversation	Simon & Garfunkel
There Will Never Be Another You	Chris Montez
The Joker Went Wild	Brian Hyland
Blowin In The Wind	Stevie Wonder
Flamingo	Herb Alpert & The Tijuana Brass
Summer Wind	Frank Sinatra
7 And 7 Is	Love
Summertime	Billy Stewart
God Only Knows	The Beach Boys
Warm And Tender Love	Percy Sledge
Psychotic Reaction	Count Five
Last Train To Clarksville	The Monkees
B-A-B-Y	Carla Thomas
With A Girl Like You	The Troggs
I Really Don't Want To Know	Ronnie Dove
Little Darling, I Need You	Marvin Gaye
Sometimes Good Guys Don't Wear White	The Standells
World Of Fantasy	The Five Stairsteps
The Philly Freeze	Alvin Cash & The Registers
Sugar And Spice	The Cryan' Shames
All Strung Out	Nino Tempo & April Stevens
Satisfied With You	The Dave Clark Five
Just Like A Woman	Bob Dylan
I Chose To Sing The Blues	Ray Charles & The Raelets
Summer Samba (So Nice)	Walter Wanderley
In The Arms Of Love	Andy Williams
Walk Away Renee	The Left Banke
Suspicions	The Sidekicks
You're Gonna Miss Me	The Thirteenth Floor Elevators
Cast Your Fate To The Wind	Shelby Flint
Ashes To Ashes	The Mindbenders
Rumors	Syndicate Of Sound
Blue Side Of Lonesome	Jim Reeves
I Want To Be With You	Dee Dee Warwick
Money Won't Change You (Part 1)	James Brown And The Famous Flames
Can't Satisfy	The Impressions
Born Free	Roger Williams
Dianne, Dianne	Ronny And The Daytonas
Ain't Nobody Home	Howard Tate
She Drives Me Out Of My Mind	The Swingin' Medallions
I Can Make It With You	Pozo Seco Singers
That's Enough	Rosco Robinson
I Got To Handle It	The Capitols
Hooray For Hazel	Tommy Roe
Baby Toys	The Toys
Get Away	Georgie Fame And The Blue Flames
The Fife Piper	The Dynatones
Girl On A Swing	Gerry And The Pacemakers
It Hurts Me	Bobby Goldsboro
All I See Is You	Dusty Springfield
My Uncle Used To Love Me But She Died	Roger Miller
Said I Wasn't Gonna Tell Nobody	Sam & Dave
I Can Make It With You	Jackie DeShannon
See See Rider	Eric Burdon & The Animals
Poverty	Bobby Bland
My Sweet Potato	Booker T. & The MG's
In Our Time	Nancy Sinatra
Love Is A Hurtin' Thing	Lou Rawls
Poor Side Of Town	Johnny Rivers
Bad Little Woman	The Shadows Of Knight
Tomorrow Never Comes	B.J. Thomas
Fiddle Around	Jan & Dean
Ain't Gonna Lie	Keith
Changes	Crispian St. Peters
Only When You're Lonely	The Grass Roots
Knock On Wood	Eddie Floyd
To Make A Big Man Cry	Roy Head
It Was A Very Good Year	Della Reese
I Struck It Rich	Len Barry
