Bad Blood	Neil Sedaka
I'm Sorry	John Denver
Fame	David Bowie
Mr. Jaws	Dickie Goodman
Miracles	Jefferson Starship
Ballroom Blitz	Sweet
Dance With Me	Orleans
Ain't No Way To Treat A Lady	Helen Reddy
Rocky	Austin Roberts
Lyin' Eyes	Eagles
Feelings	Morris Albert
It Only Takes A Minute	Tavares
They Just Can't Stop It the (Games People Play)	The Spinners
Who Loves You	The 4 Seasons
Rhinestone Cowboy	Glen Campbell
Brazil	The Ritchie Family
Run Joey Run	David Geddes
Heat Wave/love Is A Rose	Linda Ronstadt
Something Better To Do	Olivia Newton-John
Wasted Days And Wasted Nights	Freddy Fender
Do It Any Way You Wanna	People's Choice
Lady Blue	Leon Russell
Gone At Last	Paul Simon/Phoebe Snow
Carolina In The Pines	Michael Murphey
The Way I Want To Touch You	Captain & Tennille
This Will Be	Natalie Cole
Low Rider	War
At Seventeen	Janis Ian
What A Diff'rence A Day Makes	Esther Phillips
Born To Run	Bruce Springsteen
Could It Be Magic	Barry Manilow
I Only Have Eyes For You	Art Garfunkel
You	George Harrison
Rockin' All Over The World	John Fogerty
How Long (Betcha' Got A Chick On The Side)	The Pointer Sisters
Sky High	Jigsaw
Blue Eyes Crying In The Rain	Willie Nelson
Sweet Sticky Thing	Ohio Players
There Goes Another Love Song	The Outlaws
S.O.S.	ABBA
(I Believe) There's Nothing Stronger Than Our Love	Paul Anka/Odia Coates
Fight The Power Part 1	The Isley Brothers
Katmandu	Bob Seger
The Agony And The Ecstasy	Smokey Robinson
That's The Way Of The World	Earth, Wind & Fire
Fallin' In Love	Hamilton, Joe Frank & Reynolds
Feel Like Makin' Love	Bad Company
Just Too Many People	Melissa Manchester
Island Girl	Elton John
Money	Gladys Knight And The Pips
Eighteen With A Bullet	Pete Wingfield
Give It What You Got/Peace Pipe	B.T. Express
Mr. D.J. (5 For The D.J.)	Aretha Franklin
Letting Go	Wings
Dreaming A Dream	Crown Heights Affair
Operator	The Manhattan Transfer
Main Title (Theme From "Jaws")	John Williams/"Jaws" Soundtrack
I Get High On You	Sly Stone
Daisy Jane	America
What's Happened To Blue Eyes/You Ain't Never Been Loved (Like I'm Gonna Lov	Jessi Colter
Diamonds And Rust	Joan Baez
Nights On Broadway	Bee Gees
Every Day I Have To Cry Some	Arthur Alexander
To Each His Own	Faith, Hope And Charity
Get Down Tonight	KC And The Sunshine Band
I Want'a Do Something Freaky To You	Leon Haywood
Hollywood Hot	The Eleventh Hour
Manhattan Spiritual	Mike Post
7-6-5-4-3-2-1 (Blow Your Whistle)	Gary Toms Empire
Are You Sure Hank Done It This Way	Waylon Jennings
Help Me Make It (To My Rockin' Chair)	B.J. Thomas
A Friend Of Mine Is Going Blind	John Dawson Read
I Go To Pieces	Cotton, Lloyd & Christian
Keep On Tryin'	Poco
Fancy Lady	Billy Preston
I Got Stoned And I Missed It	Jim Stafford
Summer Of '42	Biddu Orchestra
Mamacita	The Grass Roots
Salsoul Hustle	The Salsoul Orchestra
Mexico	James Taylor
You're All I Need To Get By	Tony Orlando & Dawn
Dear Prudence	Katfish
Nothin' Heavy	David Bellamy
Easy Evil	Travis Wammack
Saturday Night	Bay City Rollers
Change With The Times	Van Mccoy
Fly, Robin, Fly	Silver Convention
So In Love	Curtis Mayfield
Is It Love That We're Missin'	Quincy Jones (feat. The Brothers Johnson)
Minstrel In The Gallery	Jethro Tull
We Been Singin' Songs	Baron Stewart
Only You Can	Fox
Come And Get Your Love	Roger Daltrey
Let's Live Together	The Road Apples
Indian Love Call	Ray Stevens
Just A Smile	Pilot
Happy	Eddie Kendricks
Chinese Kung Fu	Banzaii
If I Ever Lose This Heaven	AWB
I Don't Want To Be A Lone Ranger	Johnny Guitar Watson
