My Love	Paul McCartney And Wings
Playground In My Mind	Clint Holmes
Pillow Talk	Sylvia (r&b)
I'm Gonna Love You Just A Little More Baby	Barry White
Daniel	Elton John
Frankenstein	Edgar Winter Group
Will It Go Round In Circles	Billy Preston
Give Me Love - (Give Me Peace On Earth)	George Harrison
Kodachrome	Paul Simon
Tie A Yellow Ribbon Round The Ole Oak Tree	Dawn Featuring Tony Orlando
Right Place Wrong Time	Dr. John
Long Train Runnin'	The Doobie Brothers
One Of A Kind (Love Affair)	The Spinners
Shambala	Three Dog Night
Drift Away	Dobie Gray
Hocus Pocus	Focus
You Are The Sunshine Of My Life	Stevie Wonder
I'm Doin' Fine Now	New York City
Wildflower	Skylark
Bad, Bad Leroy Brown	Jim Croce
Stuck In The Middle With You	Stealers Wheel
Leaving Me	The Independents
Little Willy	The Sweet
Natural High	Bloodstone
Reeling In The Years	Steely Dan
The Night The Lights Went Out In Georgia	Vicki Lawrence
No More Mr. Nice Guy	Alice Cooper
Steamroller Blues/Fool	Elvis Presley
You'll Never Get To Heaven (If You Break My Heart)	The Stylistics
Boogie Woogie Bugle Boy	Bette Midler
Behind Closed Doors	Charlie Rich
Daddy Could Swear, I Declare	Gladys Knight And The Pips
Thinking Of You	Loggins & Messina
Give It To Me	The J. Geils Band
Smoke On The Water	Deep Purple
And I Love You So	Perry Como
The Right Thing To Do	Carly Simon
Yesterday Once More	Carpenters
So Very Hard To Go	Tower Of Power
Diamond Girl	Seals & Crofts
Let's Pretend	Raspberries
Give Your Baby A Standing Ovation	The Dells
Close Your Eyes	Edward Bear
Money	Pink Floyd
Doing It To Death	Fred Wesley & The J.B.'s
Back When My Hair Was Short	Gunhill Road
Funky Worm	Ohio Players
Teddy Bear Song	Barbara Fairchild
The Free Electric Band	Albert Hammond
Time To Get Down	The O'Jays
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
Super Fly Meets Shaft	John & Ernest
Why Me	Kris Kristofferson
Satin Sheets	Jeanne Pruett
Swamp Witch	Jim Stafford
With A Child's Heart	Michael Jackson
Misdemeanor	Foster Sylvers
I Can Understand It	The New Birth
Hey You! Get Off My Mountain	The Dramatics
It Sure Took A Long, Long Time	Lobo
You Can't Always Get What You Want	The Rolling Stones
Touch Me In The Morning	Diana Ross
There's No Me Without You	The Manhattans
I'll Always Love My Mama (Part I)	The Intruders
Love And Happiness	Earnest Jackson
Letter To Lucille	Tom Jones
Finder's Keepers	Chairman Of The Board
What About Me	Anne Murray
Never, Never, Never (Grande, Grande, Grande)	Shirley Bassey
Brother's Gonna Work It Out	Willie Hutch
Goin' Home	The Osmonds
I' Been Watchin' You	The South Side Movement
Without You In My Life	Tyrone Davis
Fencewalk	Mandrill
Where Peaceful Waters Flow	Gladys Knight And The Pips
First Cut Is The Deepest	Keith Hampshire
The Plastic Man	The Temptations
Shambala	B.W. Stevenson
Roll Over Beethoven	Electric Light Orchestra
Think	James Brown
I Can Make It Thru The Days (But Oh Those Lonely Nights)	Ray Charles
I Like You	Donovan
Hearts Of Stone	The Blue Ridge Rangers
Soul Makossa	Afrique
Avenging Annie	Andy Pratt
Be What You Are	The Staple Singers
Isn't It About Time	Stephen Stills-Manassas
I'd Rather Be A Cowboy	John Denver
Nobody Wants You When You're Down And Out	Bobby Womack
Giving It All Away	Roger Daltrey
I Don't Want To Make You Wait	The Delfonics
A Passion Play (Edit #8)	Jethro Tull
Mother-in-law	Clarence Carter
My Heart Just Keeps On Breakin'	The Chi-lites
You Were Always There	Donna Fargo
What's Your Mama's Name	Tanya Tucker
Blockbuster	The Sweet
Music Everywhere	Tufano & Giammarese
Watergrate	Dickie Goodman
Kids Say The Darndest Things	Tammy Wynette
