Butter	BTS
Good 4 U	Olivia Rodrigo
Levitating	Dua Lipa Featuring DaBaby
Kiss Me More	Doja Cat Featuring SZA
Peaches	Justin Bieber Featuring Daniel Caesar & Giveon
Leave The Door Open	Silk Sonic (Bruno Mars & Anderson .Paak)
Save Your Tears	The Weeknd & Ariana Grande
Montero (Call Me By Your Name)	Lil Nas X
Deja Vu	Olivia Rodrigo
Astronaut In The Ocean	Masked Wolf
Rapstar	Polo G
Forever After All	Luke Combs
Beautiful Mistakes	Maroon 5 Featuring Megan Thee Stallion
Without You	The Kid LAROI
Blinding Lights	The Weeknd
Heartbreak Anniversary	Giveon
Thot Shit	Megan Thee Stallion
Best Friend	Saweetie Featuring Doja Cat
Heat Waves	Glass Animals
Wants And Needs	Drake Featuring Lil Baby
Famous Friends	Chris Young + Kane Brown
Yonaguni	Bad Bunny
Drivers License	Olivia Rodrigo
Lil Bit	Nelly & Florida Georgia Line
Telepatia	Kali Uchis
Gone	Dierks Bentley
pov	Ariana Grande
Traitor	Olivia Rodrigo
Mood	24kGoldn Featuring iann dior
Every Chance I Get	DJ Khaled Featuring Lil Baby & Lil Durk
Calling My Phone	Lil Tjay Featuring 6LACK
Late At Night	Roddy Ricch
My Ex's Best Friend	Machine Gun Kelly X blackbear
Blame It On You	Jason Aldean
Wockesha	Moneybagg Yo
Todo de Ti	Rauw Alejandro
Leave Before You Love Me	Marshmello X Jonas Brothers
What You Know Bout Love	Pop Smoke
Ball If I Want To	DaBaby
Time Today	Moneybagg Yo
Settling Down	Miranda Lambert
Happier	Olivia Rodrigo
Almost Maybes	Jordan Davis
Up	Cardi B
Straightenin	Migos
Beat Box	SpotemGottem Featuring Pooh Shiesty Or DaBaby
Favorite Crime	Olivia Rodrigo
Glad You Exist	Dan + Shay
Having Our Way	Migos Featuring Drake
Single Saturday Night	Cole Swindell
Fancy Like	Walker Hayes
my.life	J. Cole, 21 Savage & Morray
Track Star	Mooski
Brutal	Olivia Rodrigo
Hats Off	Lil Baby, Lil Durk & Travis Scott
Ski	Young Thug & Gunna
Build A Bitch	Bella Poarch
Things A Man Oughta Know	Lainey Wilson
Way Less Sad	AJR
Breaking Up Was Easy In The 90's	Sam Hunt
Arcade	Duncan Laurence
Fiel	Los Legendarios, Wisin & Jhay Cortez
One Too Many	Keith Urban Duet With P!nk
Drinkin' Beer. Talkin' God. Amen.	Chase Rice Featuring Florida Georgia Line
Made For You	Jake Owen
Need To Know	Doja Cat
Minimum Wage	Blake Shelton
Jealousy, Jealousy	Olivia Rodrigo
Nobody	Dylan Scott
Come Through	H.E.R. Featuring Chris Brown
You	Regard x Troye Sivan x Tate McRae
No Return	Polo G Featuring The Kid LAROI & Lil Durk
Drunk (And I Don't Wanna Go Home)	Elle King & Miranda Lambert
No More Parties	Coi Leray Featuring Lil Durk
Country Again	Thomas Rhett
transparentsoul	Willow Featuring Travis Barker
Enough For You	Olivia Rodrigo
Chasing After You	Ryan Hurd With Maren Morris
Quicksand	Morray
Gang Gang	Polo G & Lil Wayne
Follow You	Imagine Dragons
Miss The Rage	Trippie Redd & Playboi Carti
Tombstone	Rod Wave
Pick Up Your Feelings	Jazmine Sullivan
We Didn't Have Much	Justin Moore
Avalanche	Migos
We're Good	Dua Lipa
pride.is.the.devil	J. Cole & Lil Baby
4 Da Gang	42 Dugg & Roddy Ricch
Waves	Luke Bryan
What's Next	Drake
Lost Cause	Billie Eilish
Lumberjack	Tyler, The Creator
Working	Tate McRae X Khalid
Tell Em	Cochise & $NOT
Twerkulator	City Girls
Still Runnin	Lil Baby, Lil Durk & Meek Mill
How It Feels	Lil Baby & Lil Durk
My Boy	Elvie Shane
Outside	MO3 X OG Bobby Billions
