My Boo	Usher And Alicia Keys
Drop It Like It's Hot	Snoop Dogg Featuring Pharrell
Over And Over	Nelly Featuring Tim McGraw
Lose My Breath	Destiny's Child
Let Me Love You	Mario
Wonderful	Ja Rule Featuring R. Kelly & Ashanti
Let's Go	Trick Daddy Featuring Lil Jon & Twista
Breakaway	Kelly Clarkson
1, 2 Step	Ciara Featuring Missy Elliott
Goodies	Ciara Featuring Petey Pablo
Breathe	Fabolous
She Will Be Loved	Maroon 5
Oye Mi Canto	N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato
Just Lose It	Eminem
Go D.J.	Lil Wayne
I Don't Want To Be	Gavin DeGraw
Lovers And Friends	Lil Jon & The East Side Boyz Featuring Usher & Ludacris
Shorty Wanna Ride	Young Buck
Dare You To Move	Switchfoot
Soldier	Destiny's Child Featuring T.I. & Lil Wayne
Broken	Seether Featuring Amy Lee
Charlene	Anthony Hamilton
Baby It's You	JoJo Featuring Bow Wow
Balla Baby	Chingy
On The Way Down	Ryan Cabrera
Lean Back	Terror Squad
Hush	LL Cool J Featuring 7 Aurelius
One Thing	Finger Eleven
Diary	Alicia Keys Featuring Tony! Toni! Tone!
My Happy Ending	Avril Lavigne
Vertigo	U2
Nothing On But The Radio	Gary Allan
The Woman With You	Kenny Chesney
What U Gon' Do	Lil Jon & The East Side Boyz Featuring Lil Scrappy
Mr. Mom	Lonestar
1985	Bowling For Soup
Back When	Tim McGraw
Locked Up	Akon Featuring Styles P.
Some Beach	Blake Shelton
Daughters	John Mayer
Get Back	Ludacris
Heaven	Los Lonely Boys
The Reason	Hoobastank
Only U	Ashanti
If I Ain't Got You	Alicia Keys
Welcome To My Life	Simple Plan
U Make Me Wanna	Jadakiss Featuring Mariah Carey
That's What It's All About	Brooks & Dunn
This Love	Maroon 5
What You Waiting For?	Gwen Stefani
Somebody Told Me	The Killers
New York	Ja Rule Featuring Fat Joe & Jadakiss
How We Do	The Game Featuring 50 Cent
Karma	Lloyd Banks Featuring Avant
Encore	Eminem, Dr. Dre & 50 Cent
Awful, Beautiful Life	Darryl Worley
How Am I Doin'	Dierks Bentley
Let's Get It Started	The Black Eyed Peas
Tempted To Touch	Rupee
Party For Two	Shania Twain With Billy Currington Or Mark McGrath
My Place	Nelly Featuring Jaheim
Take Me Home	Terror Squad
In A Real Love	Phil Vassar
Nothin 'Bout Love Makes Sense	LeAnn Rimes
Boulevard Of Broken Dreams	Green Day
Give A Little Bit	Goo Goo Dolls
Nolia Clap	Juvenile, Wacko & Skip
Breaking The Habit	Linkin Park
Suds In The Bucket	Sara Evans
Mud On The Tires	Brad Paisley
Vitamin R (Leading Us Along)	Chevelle
Fall To Pieces	Velvet Revolver
You're My Better Half	Keith Urban
Bring Em Out	T.I.
Monday Morning Church	Alan Jackson
Dangerously In Love	Beyonce
I Changed My Mind	Keyshia Cole Featuring Shyne
Days Go By	Keith Urban
Knuck If You Buck	Crime Mob Featuring Lil Scrappy
So Cold	Breaking Benjamin
Getting Away With Murder	Papa Roach
Numb/Encore	Jay-Z/Linkin Park
Big Chips	R. Kelly & Jay-Z
American Idiot	Green Day
Used To Love U	John Legend
I Smoke, I Drank	Body Head Bangerz Featuring YoungBloodz
I Hate Everything	George Strait
Cold	Crossfade
Breathe, Stretch, Shake	Mase Featuring P. Diddy
Karma	Alicia Keys
Gasolina	Daddy Yankee
Just Like You	Three Days Grace
Hey Now (Mean Muggin)	Xzibit Featuring Keri Hilson
Bridging The Gap	Nas Featuring Olu Dara
You're The One	Guerilla Black Featuring Mario Winans
Real Big	Mannie Fresh
Stays In Mexico	Toby Keith
Call My Name	Prince
You're My Everything	Anita Baker
(Reach Up For The) Sunrise	Duran Duran
