My Boyfriend's Back	The Angels
Blue Velvet	Bobby Vinton
If I Had A Hammer	Trini Lopez
Hello Mudduh, Hello Fadduh! (A Letter From Camp)	Allan Sherman
Heat Wave	Martha & The Vandellas
Then He Kissed Me	The Crystals
Surfer Girl	The Beach Boys
The Monkey Time	Major Lance
Sally, Go 'round The Roses	The Jaynetts
Mockingbird	Inez Foxx with Charlie Foxx
Hey, Girl	Freddie Scott
Candy Girl	The 4 Seasons
Cry Baby	Garnet Mimms & The Enchanters
Frankie And Johnny	Sam Cooke
Mickey's Monkey	The Miracles
Wonderful! Wonderful!	The Tymes
Painted, Tainted Rose	Al Martino
Denise	Randy & The Rainbows
You Can Never Stop Me Loving You	Johnny Tillotson
Be My Baby	The Ronettes
Blowin' In The Wind	Peter, Paul & Mary
The Kind Of Boy You Can't Forget	The Raindrops
Fingertips - Pt 2	Little Stevie Wonder
Martian Hop	The Ran-Dells
Little Deuce Coupe	The Beach Boys
More	Kai Winding & Orchestra
Make The World Go Away	Timi Yuro
Danke Schoen	Wayne Newton And The Newton Brothers
A Walkin' Miracle	The Essex Featuring Anita Humes
Wait Til' My Bobby Gets Home	Darlene Love
I Want To Stay Here	Steve & Eydie
Hey There Lonely Boy	Ruby And The Romantics
Desert Pete	The Kingston Trio
Please Don't Talk To The Lifeguard	Diane Ray
Part Time Love	Little Johnny Taylor
Drownin' My Sorrows	Connie Francis
Judy's Turn To Cry	Lesley Gore
Busted	Ray Charles and his Orchestra
The Lonely Surfer	Jack Nitzsche
Why Don't You Believe Me	The Duprees featuring Joey Vann
Wipe Out	The Surfaris
Only In America	Jay & The Americans
Green, Green	The New Christy Minstrels
Wham!	Lonnie Mack
True Love Never Runs Smooth	Gene Pitney
Straighten Up Your Heart	Barbara Lewis
I (Who Have Nothing)	Ben E. King
Que Sera, Sera (Whatever Will Be, Will Be)	The High Keyes
More	Vic Dana
Abilene	George Hamilton IV
It's Too Late	Wilson Pickett
I Can't Stay Mad At You	Skeeter Davis
8 X 10	Bill Anderson
Treat My Baby Good	Bobby Darin
Birthday Party	The Pixies Three
It Hurts To Be Sixteen	Andrea Carroll
Everybody Monkey	Freddy Cannon
Honolulu Lulu	Jan & Dean
Hello Heartache, Goodbye Love	Little Peggy March
This Is My Prayer	Theola Kilgore
China Nights (Shina No Yoru)	Kyu Sakamoto
Lucky Lips	Cliff Richard
That Sunday, That Summer	Nat King Cole
It's A Lonely Town (Lonely Without You)	Gene McDaniels
Bust Out	The Busters
Leave Me Alone	Baby Washington
Don't Think Twice, It's All Right	Peter, Paul & Mary
(I Cried at) Laura's Wedding	Barbara Lynn
Surfer Joe	The Surfaris
Talk To Me	Sunny & The Sunglows
Mean Woman Blues	Roy Orbison
I'll Take You Home	The Drifters
Man's Temptation	Gene Chandler
Betty In Bermudas	The Dovells
Donna The Prima Donna	Dion (Di Muci)
What Does A Girl Do?	The Shirelles
Something Old, Something New	Paul and Paula
Chinese Checkers	Booker T. & The MG's
My Babe	The Righteous Brothers
He's Mine (I Love Him, I Love Him, I Love Him)	Alice Wonder Land
Tell Me The Truth	Nancy Wilson
Teenage Cleopatra	Tracey Dey
Two Tickets To Paradise	Brook Benton
Enamorado	Keith Colley
Sooner Or Later	Johnny Mathis
Blue Bayou	Roy Orbison
Fools Rush In	Rick Nelson
September Song	Jimmy Durante
I'm Confessin' (That I Love You)	Frank Ifield
A Love So Fine	The Chiffons
(Native Girl) Elephant Walk	Donald Jenkins & The Delighters
Pay Back	Etta James
Your Baby's Gone Surfin'	Duane Eddy
Deep Purple	Nino Tempo & April Stevens
Down The Aisle (Wedding Song)	Patti LaBelle And The Blue Belles
Lonely Drifter	The O'Jays
Cindy's Gonna Cry	Johnny Crawford
Hear The Bells	The Tokens
Mr. Wishing Well	Nat King Cole
Your Boyfriend's Back	Bobby Comstock And The Counts
