Philadelphia Freedom	The Elton John Band
Lovin' You	Minnie Riperton
No No Song/snookeroo	Ringo Starr
Express	B.T. Express
Poetry Man	Phoebe Snow
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song	B.J. Thomas
Lady Marmalade	Labelle
Chevy Van	Sammy Johns
What Am I Gonna Do With You	Barry White
Once You Get Started	Rufus Featuring Chaka Khan
Emma	Hot Chocolate
Supernatural Thing - Part I	Ben E. King
Harry Truman	Chicago
Before The Next Teardrop Falls	Freddy Fender
Walking In Rhythm	The Blackbyrds
L-O-V-E (Love)	Al Green
Shining Star	Earth, Wind & Fire
You Are So Beautiful/It's A Sin When You Love Somebody	Joe Cocker
Have You Never Been Mellow	Olivia Newton-John
Long Tall Glasses (I Can Dance)	Leo Sayer
Jackie Blue	Ozark Mountain Daredevils
Satin Soul	Love Unlimited Orchestra
He Don't Love You (Like I Love You)	Tony Orlando & Dawn
It's A Miracle	Barry Manilow
The Bertha Butt Boogie-Part 1	The Jimmy Castor Bunch
Killer Queen	Queen
My Eyes Adored You	Frankie Valli
I Don't Like To Sleep Alone	Paul Anka with Odia Coates
How Long	Ace
Stand By Me	John Lennon
Tangled Up In Blue	Bob Dylan
Shoeshine Boy	Eddie Kendricks
Thank God I'm A Country Boy	John Denver
Only Yesterday	Carpenters
Shame, Shame, Shame	Shirley And Company
Amie	Pure Prairie League
Living A Little, Laughing A Little	The Spinners
Autobahn	Kraftwerk
Don't Call Us, We'll Call You	Sugarloaf/Jerry Corbetta
Who's Sorry Now	Marie Osmond
Young Americans	David Bowie
Beer Barrel Polka/Dick And Jane	Bobby Vinton
Sad Sweet Dreamer	Sweet Sensation
I Am Love (Parts I & II)	Jackson 5
Shaving Cream	Benny Bell
Butter Boy	Fanny
Love Finds It's Own Way	Gladys Knight And The Pips
Shakey Ground	The Temptations
Wolf Creek Pass	C.W. McCall
Black Water	The Doobie Brothers
Love Won't Let Me Wait	Major Harris
Bad Time	Grand Funk
Runaway	Charlie Kulis
Sun Goddess	Ramsey Lewis And Earth, Wind & Fire
Sneaky Snake	Tom T. Hall
The South's Gonna Do It	The Charlie Daniels Band
We're Almost There	Michael Jackson
The Immigrant	Neil Sedaka
Sister Golden Hair	America
Reach Out, I'll Be There	Gloria Gaynor
Rainy Day People	Gordon Lightfoot
Swing Your Daddy	Jim Gilstrap
Don't Tell Me Goodnight	Lobo
You Brought The Woman Out Of Me	Evie Sands
Hijack	Herbie Mann
I'm Not Lisa	Jessi Colter
Bad Luck (Part 1)	Harold Melvin And The Blue Notes
Cry To Me	Loleatta Holloway
(if You Add) All The Love In The World	Mac Davis
My Little Lady	Bloodstone
I'll Play For You	Seals & Crofts
Only Women	Alice Cooper
Magic	Pilot
Growin'	Loggins & Messina
One Beautiful Day	Ecstasy, Passion & Pain
Cut The Cake	AWB
I Want To Be Free	Ohio Players
Toby/that's How Long	The Chi-lites
Pinball	Brian Protheroe
Touch Me Baby (reaching Out For Your Love)	Tamiko Jones
When Will I Be Loved	Linda Ronstadt
Spirit Of The Boogie/Summer Madness	Kool & The Gang
Black Superman - "Muhammad Ali"	Johnny Wakelin & The Kinshasa Band
Wildfire	Michael Murphey
Bloody Well Right	Supertramp
The Last Farewell	Roger Whittaker
Sail On Sailor	The Beach Boys
A Hurricane Is Coming Tonite	Carol Douglas
Get Down, Get Down (Get On The Floor)	Joe Simon
Sandy	The Hollies
Remember What I Told You To Forget/My Ship	Tavares
Spider Jiving	Andy Fairweather Low
Linda On My Mind	Conway Twitty
My First Day Without Her	Dennis Yost And The Classics IV
I Wanna Learn A Love Song	Harry Chapin
Check It Out	Bobby Womack
The Pill	Loretta Lynn
Hang On Sloopy	Rick Derringer
All Right Now	Lea Roberts
Dynomite-Part I	Tony Camillo's Bazuka
