Butter	BTS
Good 4 U	Olivia Rodrigo
Deja Vu	Olivia Rodrigo
Levitating	Dua Lipa Featuring DaBaby
Leave The Door Open	Silk Sonic (Bruno Mars & Anderson .Paak)
Peaches	Justin Bieber Featuring Daniel Caesar & Giveon
Save Your Tears	The Weeknd & Ariana Grande
Kiss Me More	Doja Cat Featuring SZA
Traitor	Olivia Rodrigo
Astronaut In The Ocean	Masked Wolf
Drivers License	Olivia Rodrigo
Brutal	Olivia Rodrigo
Montero (Call Me By Your Name)	Lil Nas X
Enough For You	Olivia Rodrigo
Happier	Olivia Rodrigo
Without You	The Kid LAROI
Rapstar	Polo G
Favorite Crime	Olivia Rodrigo
1 Step Forward, 3 Steps Back	Olivia Rodrigo
Forever After All	Luke Combs
my.life	J. Cole, 21 Savage & Morray
Blinding Lights	The Weeknd
Beautiful Mistakes	Maroon 5 Featuring Megan Thee Stallion
Jealousy, Jealousy	Olivia Rodrigo
Calling My Phone	Lil Tjay Featuring 6LACK
pride.is.the.devil	J. Cole & Lil Baby
Best Friend	Saweetie Featuring Doja Cat
Up	Cardi B
Hope Ur OK	Olivia Rodrigo
Heartbreak Anniversary	Giveon
Beat Box	SpotemGottem Featuring Pooh Shiesty Or DaBaby
Track Star	Mooski
Gang Gang	Polo G & Lil Wayne
Every Chance I Get	DJ Khaled Featuring Lil Baby & Lil Durk
Mood	24kGoldn Featuring iann dior
Wockesha	Moneybagg Yo
Heat Waves	Glass Animals
Back In Blood	Pooh Shiesty Featuring Lil Durk
My Ex's Best Friend	Machine Gun Kelly X blackbear
Hell Of A View	Eric Church
amari	J. Cole
The Good Ones	Gabby Barrett
What You Know Bout Love	Pop Smoke
Telepatia	Kali Uchis
pov	Ariana Grande
Wants And Needs	Drake Featuring Lil Baby
Breaking Up Was Easy In The 90's	Sam Hunt
Seeing Green	Nicki Minaj, Drake & Lil Wayne
On Me	Lil Baby
Nobody	Dylan Scott
Twerkulator	City Girls
Famous Friends	Chris Young + Kane Brown
Time Today	Moneybagg Yo
We're Good	Dua Lipa
Gone	Dierks Bentley
Almost Maybes	Jordan Davis
Settling Down	Miranda Lambert
Build A Bitch	Bella Poarch
95.south	J. Cole
Your Power	Billie Eilish
No More Parties	Coi Leray Featuring Lil Durk
Lil Bit	Nelly & Florida Georgia Line
Miss The Rage	Trippie Redd & Playboi Carti
Ski	Young Thug & Gunna
Made For You	Jake Owen
Sun Goes Down	Lil Nas X
4 Da Gang	42 Dugg & Roddy Ricch
Maybach	42 Dugg Featuring Future
Straightenin	Migos
Minimum Wage	Blake Shelton
interlude	J. Cole
applying.pressure	J. Cole
What's Next	Drake
One Too Many	Keith Urban Duet With P!nk
Glad You Exist	Dan + Shay
Blame It On You	Jason Aldean
Quicksand	Morray
Single Saturday Night	Cole Swindell
Streets	Doja Cat
100.mil'	J. Cole & Bas
Solid	Young Thug & Gunna Featuring Drake
Tombstone	Rod Wave
let.go.my.hand	J. Cole, Bas & 6LACK
Goosebumps	Travis Scott & HVME
Leave Before You Love Me	Marshmello X Jonas Brothers
Hold On	Justin Bieber
All I Know So Far	P!nk
Arcade	Duncan Laurence
Follow You	Imagine Dragons
Chasing After You	Ryan Hurd With Maren Morris
Pick Up Your Feelings	Jazmine Sullivan
24 Hours	A Boogie Wit da Hoodie Featuring Lil Durk
Hello	Pop Smoke Featuring A Boogie Wit da Hoodie
Way Less Sad	AJR
Drankin N Smokin	Future & Lil Uzi Vert
Country Again	Thomas Rhett
punchin'.the.clock	J. Cole
Wasted On You	Morgan Wallen
the.climb.back	J. Cole
Things A Man Oughta Know	Lainey Wilson
