Seasons In The Sun	Terry Jacks
The Way We Were	Barbra Streisand
Spiders & Snakes	Jim Stafford
Boogie Down	Eddie Kendricks
Jungle Boogie	Kool & The Gang
Rock On	David Essex
Until You Come Back To Me (That's What I'm Gonna Do)	Aretha Franklin
Love's Theme	Love Unlimited Orchestra
Dark Lady	Cher
Put Your Hands Together	The O'Jays
You're Sixteen	Ringo Starr
I Love	Tom T. Hall
Mockingbird	Carly Simon & James Taylor
Love Song	Anne Murray
Let Me Be There	Olivia Newton-John
Last Time I Saw Him	Diana Ross
Sunshine On My Shoulders	John Denver
Eres Tu (Touch The Wind)	Mocedades
Sexy Mama	Moments
Jet	Paul McCartney And Wings
Americans	Byron MacGregor
My Sweet Lady	Cliff DeYoung
Trying To Hold On To My Woman	Lamont Dozier
Come And Get Your Love	Redbone
Doo Doo Doo Doo Doo (heartbreaker)	The Rolling Stones
Show And Tell	Al Wilson
Midnight Rider	Gregg Allman
There Won't Be Anymore	Charlie Rich
I Like To Live The Love	B.B. King
Mighty Love - Pt. 1	The Spinners
The Joker	The Steve Miller Band
Bennie And The Jets	Elton John
Energy Crisis '74	Dickie Goodman
Last Kiss	Wednesday
Can This Be Real	Natural Four
Rock And Roll, Hoochie Koo	Rick Derringer
I've Got To Use My Imagination	Gladys Knight And The Pips
Hooked On A Feeling	Blue Swede
Jim Dandy	Black Oak Arkansas
Smokin' In The Boy's Room	Brownsville Station
Star	Stealers Wheel
Living For The City	Stevie Wonder
Baby Come Close	Smokey Robinson
Best Thing That Ever Happened To Me	Gladys Knight And The Pips
Abra-Ca-Dabra	The De Franco Family
Lookin' For A Love	Bobby Womack
I've Got A Thing About You Baby/Take Good Care Of Her	Elvis Presley
WOLD	Harry Chapin
We're Getting Careless With Our Love	Johnnie Taylor
The Lord's Prayer	Sister Janet Mead
A Very Special Love Song	Charlie Rich
Thanks For Saving My Life	Billy Paul
You Sure Love To Ball	Marvin Gaye
In The Mood	Bette Midler
What It Comes Down To	The Isley Brothers
I'll Be The Other Woman	The Soul Children
Just Don't Want To Be Lonely	The Main Ingredient
Homely Girl	The Chi-lites
Life Is A Song Worth Singing	Johnny Mathis
Jolene	Dolly Parton
I Miss You	The Dells
I Wish It Was Me	Tyrone Davis
On A Night Like This	Bob Dylan
I Just Can't Get You Out Of My Mind	Four Tops
TSOP (The Sound Of Philadelphia)	MFSB Featuring The Three Degrees
Tell Me A Lie	Sami Jo
Let It Ride	Bachman-Turner Overdrive
Houston (I'm Comin' To See You)	Glen Campbell
Touch A Hand, Make A Friend	The Staple Singers
Get That Gasoline Blues	NRBQ
That's The Sound That Lonely Makes	Tavares
She's Gone	Daryl Hall John Oates
I'll Have To Say I Love You In A Song	Jim Croce
It's Been A Long Time	The New Birth
Stop To Start	Blue Magic
Would You Lay With Me (in A Field Of Stone)	Tanya Tucker
Honey Please, Can't Ya See	Barry White
My Mistake (Was To Love You)	Diana Ross & Marvin Gaye
Must Be Love	The James Gang
Quick, Fast, In A Hurry	New York City
Virginia (Touch Me Like You Do)	Bill Amesbury
Star Baby	The Guess Who
Your Cash Ain't Nothin' But Trash	The Steve Miller Band
Piano Man	Billy Joel
Outside Woman	Bloodstone
Watching The River Run	Loggins & Messina
Tubular Bells	Mike Oldfield
Beyond The Blue Horizon	Lou Christie
Unborn Child	Seals & Crofts
Midnight At The Oasis	Maria Muldaur
What Is Hip?	Tower Of Power
There's Got To Be Rain In Your Life (To Appreciate The Sunshine)	Dorothy Norwood
The Crude Oil Blues	Jerry Reed
I'm A Train	Albert Hammond
Goin' Down Slow	Bobby "Blue" Bland
A Mother For My Children	The Whispers
Newsy Neighbors	First Choice
Try (Try To Fall In Love)	Cooker
Best Thing That Ever Happened To Me	The Persuaders
Music Eyes	Heartsfield
