Everything Is Beautiful	Ray Stevens
Which Way You Goin' Billy?	The Poppy Family (Featuring Susan Jacks)
Love On A Two-Way Street	The Moments
Up Around The Bend/Run Through The Jungle	Creedence Clearwater Revival
Cecilia	Simon & Garfunkel
Get Ready	Rare Earth
The Letter	Joe Cocker with Leon Russell & The Shelter People
American Woman/No Sugar Tonight	The Guess Who
Make Me Smile	Chicago
The Long And Winding Road/For You Blue	The Beatles
Vehicle	The Ides Of March
Turn Back The Hands Of Time	Tyrone Davis
Daughter Of Darkness	Tom Jones
Reflections Of My Life	The Marmalade
The Love You Save/I Found That Girl	Jackson 5
Lay Down (Candles In The Rain)	Melanie with The Edwin Hawkins Singers
Ride Captain Ride	Blues Image
Come Saturday Morning	The Sandpipers
For The Love Of Him	Bobbi Martin
Reach Out And Touch (Somebody's Hand)	Diana Ross
Let It Be	The Beatles
Hitchin' A Ride	Vanity Fare
United We Stand	The Brotherhood Of Man
Ball Of Confusion (That's What The World Is Today)	The Temptations
My Baby Loves Lovin'	White Plains
Question	The Moody Blues
Woodstock	Crosby, Stills, Nash & Young
Spirit In The Sky	Norman Greenbaum
The Wonder Of You/Mama Liked The Roses	Elvis Presley
ABC	Jackson 5
It's All In The Game	Four Tops
Band Of Gold	Freda Payne
Mama Told Me (Not To Come)	Three Dog Night
Little Green Bag	George Baker Selection
Soolaimón (African Trilogy II)	Neil Diamond
Love Land	Charles Wright And The Watts 103rd Street Rhythm Band
Sugar Sugar/Cole, Cooke & Redding	Wilson Pickett
Gimme Dat Ding	The Pipkins
Hey, Mister Sun	Bobby Sherman
(You've Got Me) Dangling On A String	Chairman Of The Board
Check Out Your Mind	The Impressions
Viva Tirado - Part I	El Chicano
Brother Rapp (Part 1)	James Brown
Puppet Man	The 5th Dimension
Spirit In The Dark	Aretha Franklin with The Dixie Flyers
Baby Hold On	The Grass Roots
Mississippi Queen	Mountain
Mississippi	John Phillips
Who's Gonna Take The Blame	Smokey Robinson & The Miracles
Come To Me	Tommy James And The Shondells
Open Up My Heart/Nadine	The Dells
Are You Ready?	Pacific Gas And Electric
Cinnamon Girl	The Gentrys
Into The Mystic	Johnny Rivers
O-o-h Child/Dear Prudence	The 5 Stairsteps
Westbound #9	The Flaming Ember
I Want To Take You Higher	Sly & The Family Stone
Farther On Down The Road	Joe Simon
Whoever Finds This, I Love You	Mac Davis
I Can't Leave Your Love Alone	Clarence Carter
Sweet Feeling	Candi Staton
Go Back	Crabby Appleton
I Want To Take You Higher	Ike & Tina Turner & The Ikettes
So Much Love	Faith, Hope And Charity
And My Heart Sang (Tra La La)	Brenda & The Tabulations
Don't It Make You Want To Go Home	Brook Benton With The Dixie Flyers
Ain't That Loving You (For More Reasons Than One)	Luther Ingram
Freedom Blues	Little Richard
A Little Bit Of Soap	Paul Davis
Cottage Cheese	CROW
She Didn't Know (She Kept On Talking)	Dee Dee Warwick
You, Me And Mexico	Edward Bear
Tighter, Tighter	Alive & Kicking
That Same Old Feeling	The Fortunes
Free The People	Delaney & Bonnie & Friends
What Am I Gonna Do	Smith
(How Bout A Little Hand For) The Boys In The Band	The Boys In The Band
Lay A Little Lovin' On Me	Robin McNamara
Red Red Wine	Vic Dana
Friends	Feather
That Same Old Feeling	Pickettywitch
Them Changes	Buddy Miles & The Freedom Express
Trying To Make A Fool Of Me	The Delfonics
Spill The Wine	Eric Burdon And War
Teach Your Children	Crosby, Stills, Nash & Young
Primrose Lane	O.C. Smith
Long And Lonesome Road	The Shocking Blue
Steal Away	Johnnie Taylor
The Sly, Slick, And The Wicked	The Lost Generation
More Than I Can Stand	Bobby Womack
Melanie Makes Me Smile	Tony Burrows
Some Beautiful	Jack Wild
Maybe	The Three Degrees
Heighdy-Ho Princess	Neon Philharmonic
Feelings	Barry Mann
Gimme Shelter	Merry Clayton
I Think I Love You Again	Brenda Lee
I Can't Tell The Bottom From The Top	The Hollies
Oh My My	The Monkees
She Cried	The Lettermen
