Whistle	Flo Rida
Lights	Ellie Goulding
Call Me Maybe	Carly Rae Jepsen
Wide Awake	Katy Perry
Payphone	Maroon 5 Featuring Wiz Khalifa
Somebody That I Used To Know	Gotye Featuring Kimbra
Titanium	David Guetta Featuring Sia
Some Nights	fun.
Home	Phillip Phillips
Where Have You Been	Rihanna
Blow Me (One Last Kiss)	P!nk
As Long As You Love Me	Justin Bieber Featuring Big Sean
Good Time	Owl City & Carly Rae Jepsen
Want U Back	Cher Lloyd
One More Night	Maroon 5
Give Your Heart A Break	Demi Lovato
Everybody Talks	Neon Trees
Scream	Usher
Let's Go	Calvin Harris Featuring Ne-Yo
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
Too Close	Alex Clare
Pontoon	Little Big Town
I Will Wait	Mumford & Sons
We Are Young	fun. Featuring Janelle Monae
What Makes You Beautiful	One Direction
No Lie	2 Chainz Featuring Drake
I Won't Give Up	Jason Mraz
Starships	Nicki Minaj
Pound The Alarm	Nicki Minaj
Wild Ones	Flo Rida Featuring Sia
We Run The Night	Havana Brown Featuring Pitbull
Come Over	Kenny Chesney
Angel Eyes	Love And Theft
Wanted	Hunter Hayes
Work Hard, Play Hard	Wiz Khalifa
Drive By	Train
Glad You Came	The Wanted
Blown Away	Carrie Underwood
(Kissed You) Good Night	Gloriana
Take A Little Ride	Jason Aldean
Stronger (What Doesn't Kill You)	Kelly Clarkson
Dark Side	Kelly Clarkson
Heart Attack	Trey Songz
Tongue Tied	Grouplove
Over	Blake Shelton
Lemme See	Usher Featuring Rick Ross
Cashin' Out	Ca$h Out
Drunk On You	Luke Bryan
Ho Hey	The Lumineers
Chasing The Sun	The Wanted
Little Talks	Of Monsters And Men
Time Is Love	Josh Turner
Don't Wake Me Up	Chris Brown
50 Ways To Say Goodbye	Train
Settle Down	No Doubt
Why Ya Wanna	Jana Kramer
Amen	Meek Mill Featuring Drake
She's So Mean	matchbox twenty
5-1-5-0	Dierks Bentley
Boyfriend	Justin Bieber
2 Reasons	Trey Songz Featuring T.I.
Truck Yeah	Tim McGraw
Burn It Down	Linkin Park
One Thing	One Direction
Postcard From Paris	The Band Perry
Hard To Love	Lee Brice
Cowboys And Angels	Dustin Lynch
Bag Of Money	Wale Featuring Rick Ross, Meek Mill & T-Pain
For You	Keith Urban
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
Both Of Us	B.o.B Featuring Taylor Swift
We Are Never Ever Getting Back Together	Taylor Swift
The Fighter	Gym Class Heroes Featuring Ryan Tedder
The Wind	Zac Brown Band
Back In Time	Pitbull
Take It To The Head	DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne
Adorn	Miguel
Nobody's Perfect	J. Cole Featuring Missy Elliott
It's Time	Imagine Dragons
Snap Backs & Tattoos	Driicky Graham
Fastest Girl In Town	Miranda Lambert
Thinkin Bout You	Frank Ocean
Beez In The Trap	Nicki Minaj Featuring 2 Chainz
Come Wake Me Up	Rascal Flatts
The A Team	Ed Sheeran
My Homies Still	Lil Wayne Featuring Big Sean
Glass	Thompson Square
That's Why I Pray	Big & Rich
Turn On The Lights	Future
Lovin' You Is Fun	Easton Corbin
Enough Of No Love	Keyshia Cole Featuring Lil Wayne
Neon	Chris Young
The One That Got Away	Jake Owen
Wanted You More	Lady Antebellum
Swimming Pools (Drank)	Kendrick Lamar
Promises	NERO
Let Me Love You (Until You Learn To Love Yourself)	Ne-Yo
Radioactive	Imagine Dragons
Gold On The Ceiling	The Black Keys
Oh Love	Green Day
