Uncle Albert/Admiral Halsey	Paul & Linda McCartney
How Can You Mend A Broken Heart	Bee Gees
Smiling Faces Sometimes	The Undisputed Truth
Spanish Harlem	Aretha Franklin
Go Away Little Girl	Donny Osmond
Ain't No Sunshine	Bill Withers
Take Me Home, Country Roads	John Denver
Signs	Five Man Electrical Band
Liar	Three Dog Night
I Just Want To Celebrate	Rare Earth
Whatcha See Is Whatcha Get	The Dramatics
Mr. Big Stuff	Jean Knight
Mercy, Mercy Me (The Ecology)	Marvin Gaye
Riders On The Storm	The Doors
Beginnings/Colour My World	Chicago
Sweet Hitch-Hiker	Creedence Clearwater Revival
Stick-Up	The Honey Cone
The Night They Drove Old Dixie Down	Joan Baez
Maggie May/Reason To Believe	Rod Stewart
Won't Get Fooled Again	The Who
I Woke Up In Love This Morning	The Partridge Family Starring Shirley Jones Featuring David Cassidy
You've Got A Friend	James Taylor
Hot Pants (She Got To Use What She Got To Get What She Wants) (Pt. 1)	James Brown
Bangla-Desh/Deep Blue	George Harrison
If Not For You	Olivia Newton-John
Tired Of Being Alone	Al Green
Indian Reservation (The Lament Of The Cherokee Reservation Indian)	The Raiders
What The World Needs Now Is Love/Abraham, Martin and John	Tom Clay
Draggin' The Line	Tommy James
Chirpy Chirpy Cheep Cheep	Mac And Katie Kissoon
The Story In Your Eyes	The Moody Blues
Go Down Gamblin'	Blood, Sweat & Tears
Maybe Tomorrow	Jackson 5
Do You Know What I Mean	Lee Michaels
Saturday Morning Confusion	Bobby Russell
Wedding Song (There Is Love)	Paul Stookey
If You Really Love Me	Stevie Wonder
Rain Dance	The Guess Who
So Far Away/Smackwater Jack	Carole King
I Likes To Do It	The People's Choice
Mighty Clouds Of Joy	B.J. Thomas
I Ain't Got Time Anymore	The Glass Bottle
Sweet City Woman	Stampeders
Surrender	Diana Ross
K-Jee	The Nite-Liters
Maggie	Redbone
All Day Music	War
Marianne	Stephen Stills
Superstar/Bless The Beasts And Children	Carpenters
Mother Freedom	Bread
Where Evil Grows	The Poppy Family
The Love We Had (Stays On My Mind)	The Dells
The Breakdown (Part I)	Rufus Thomas
Take Me Girl, I'm Ready	Jr. Walker & The All Stars
Waiting At The Bus Stop	Bobby Sherman
Make It Funky (Part 1)	James Brown
Crazy Love	Helen Reddy
I've Found Someone Of My Own	The Free Movement
Where You Lead	Barbra Streisand
Stagger Lee	Tommy Roe
Easy Loving	Freddie Hart
Stop, Look, Listen (To Your Heart)	The Stylistics
Loving Her Was Easier (Than Anything I'll Ever Do Again)	Kris Kristofferson
Another Time, Another Place	Engelbert Humperdinck
Trapped By A Thing Called Love	Denise LaSalle
Thin Line Between Love & Hate	The Persuaders
Them Changes	Buddy Miles & The Freedom Express
Annabella	Hamilton, Joe Frank & Reynolds
Call My Name, I'll Be There	Wilson Pickett
I Hear Those Church Bells Ringing	Dusk
Ride With Me	Steppenwolf
Gimme Shelter	Grand Funk Railroad
Is That The Way	Tin Tin
Ko-Ko Joe	Jerry Reed
How Can I Unlove You	Lynn Anderson
Moon Shadow	Cat Stevens
A Natural Man	Lou Rawls
I'm Leavin'	Elvis Presley
I'd Rather Be Sorry	Ray Price
Think His Name	Johnny Rivers
California Kid And Reemo	Lobo
A Song For You	Andy Williams
Don't Try To Lay No Boogie-Woogie On The King Of Rock And Roll	John Baldry
Slipped, Tripped And Fell In Love	Clarence Carter
All My Trials	Ray Stevens
We Got A Dream	Ocean
Amanda	Dionne Warwicke
The Year That Clayton Delaney Died	Tom T. Hall
Hijackin' Love	Johnnie Taylor (The Soul Philosopher)
Roll On	The New Colony Six
Wear This Ring (With Love)	Detroit Emeralds
A Long Time, A Long Way To Go	Runt-Todd Rundgren
Carey	Joni Mitchell
He'd Rather Have The Rain	Heaven Bound with Tony Scotti
Feel So Bad	Ray Charles
Desdemona	The Searchers
Military Madness	Graham Nash
Women's Love Rights	Laura Lee
A Part Of You	Brenda & The Tabulations
We're Friends By Day (And Lovers By Night)	Whatnauts
