One More Night	Maroon 5
Gangnam Style	PSY
Some Nights	fun.
Diamonds	Rihanna
We Are Never Ever Getting Back Together	Taylor Swift
Die Young	Ke$ha
Locked Out Of Heaven	Bruno Mars
As Long As You Love Me	Justin Bieber Featuring Big Sean
Too Close	Alex Clare
Let Me Love You (Until You Learn To Love Yourself)	Ne-Yo
Don't Wake Me Up	Chris Brown
I Cry	Flo Rida
Home	Phillip Phillips
Good Time	Owl City & Carly Rae Jepsen
Blow Me (One Last Kiss)	P!nk
Clique	Kanye West, Jay-Z, Big Sean
Ho Hey	The Lumineers
Adorn	Miguel
Lights	Ellie Goulding
Cruise	Florida Georgia Line Featuring Nelly
Blown Away	Carrie Underwood
Girl On Fire	Alicia Keys Featuring Nicki Minaj
Wanted	Hunter Hayes
50 Ways To Say Goodbye	Train
Swimming Pools (Drank)	Kendrick Lamar
Everybody Talks	Neon Trees
Hard To Love	Lee Brice
Whistle	Flo Rida
Kiss Tomorrow Goodbye	Luke Bryan
Call Me Maybe	Carly Rae Jepsen
It's Time	Imagine Dragons
Somebody That I Used To Know	Gotye Featuring Kimbra
Wide Awake	Katy Perry
Payphone	Maroon 5 Featuring Wiz Khalifa
The A Team	Ed Sheeran
Titanium	David Guetta Featuring Sia
Finally Found You	Enrique Iglesias Featuring Sammy Adams
I Will Wait	Mumford & Sons
Live While We're Young	One Direction
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
Bandz A Make Her Dance	Juicy J Featuring Lil Wayne & 2 Chainz
I Won't Give Up	Jason Mraz
Thinkin Bout You	Frank Ocean
Give Your Heart A Break	Demi Lovato
Hall Of Fame	The Script Featuring will.i.am
Fastest Girl In Town	Miranda Lambert
Birthday Song	2 Chainz Featuring Kanye West
No Lie	2 Chainz Featuring Drake
Feel Again	OneRepublic
The One That Got Away	Jake Owen
2 Reasons	Trey Songz Featuring T.I.
Better Dig Two	The Band Perry
Beauty And A Beat	Justin Bieber Featuring Nicki Minaj
Turn On The Lights	Future
Skyfall	Adele
Don't You Worry Child	Swedish House Mafia Featuring John Martin
Take A Little Ride	Jason Aldean
I Knew You Were Trouble.	Taylor Swift
Come Wake Me Up	Rascal Flatts
No Worries	Lil Wayne Featuring Detail
Lovin' You Is Fun	Easton Corbin
Goodbye In Her Eyes	Zac Brown Band
Beer Money	Kip Moore
Til My Last Day	Justin Moore
Thrift Shop	Macklemore & Ryan Lewis Featuring Wanz
Madness	Muse
Begin Again	Taylor Swift
Va Va Voom	Nicki Minaj
Anything Could Happen	Ellie Goulding
Southern Comfort Zone	Brad Paisley
Creepin'	Eric Church
F**kin Problems	A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar
Put It Down	Brandy Featuring Chris Brown
Your Body	Christina Aguilera
Pound The Alarm	Nicki Minaj
Every Storm (Runs Out Of Rain)	Gary Allan
I Can Only Imagine	David Guetta Featuring Chris Brown & Lil Wayne
Dance For You	Beyonce
Did It For The Girl	Greg Bates
How Country Feels	Randy Houser
Diced Pineapples	Rick Ross Featuring Wale & Drake
Dive In	Trey Songz
Numb	Usher
Ready Or Not	Bridgit Mendler
El Cerrito Place	Kenny Chesney
Radioactive	Imagine Dragons
Ball	T.I. Featuring Lil Wayne
Red	Taylor Swift
Take A Walk	Passion Pit
Don't Stop The Party	Pitbull Featuring TJR
Poetic Justice	Kendrick Lamar Featuring Drake
Try	P!nk
My Moment	DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih
Don't Judge Me	Chris Brown
Wicked Games	The Weeknd
Don't Rush	Kelly Clarkson Featuring Vince Gill
If I Didn't Have You	Thompson Square
Tip It On Back	Dierks Bentley
Ice	Kelly Rowland Featuring Lil Wayne
