Play That Funky Music	Wild Cherry
I'd Really Love To See You Tonight	England Dan & John Ford Coley
A Fifth Of Beethoven	Walter Murphy & The Big Apple Band
Disco Duck (Part I)	Rick Dees & His Cast Of Idiots
Lowdown	Boz Scaggs
Devil Woman	Cliff Richard
Summer	War
If You Leave Me Now	Chicago
(Shake, Shake, Shake) Shake Your Booty	KC And The Sunshine Band
Still The One	Orleans
Say You Love Me	Fleetwood Mac
A Little Bit More	Dr. Hook
Getaway	Earth, Wind & Fire
She's Gone	Daryl Hall John Oates
With Your Love	Jefferson Starship
Wham Bam (Shang-A-Lang)	Silver
That'll Be The Day	Linda Ronstadt
Rock'n Me	Steve Miller
I Only Want To Be With You	Bay City Rollers
Magic Man	Heart
You'll Never Find Another Love Like Mine	Lou Rawls
You Should Be Dancing	Bee Gees
(Don't Fear) The Reaper	Blue Oyster Cult
Beth/Detroit Rock City	KISS
One Love In My Lifetime	Diana Ross
The Wreck Of The Edmund Fitzgerald	Gordon Lightfoot
Who'd She Coo?	Ohio Players
Don't Go Breaking My Heart	Elton John & Kiki Dee
It's O.k.	The Beach Boys
Fernando	ABBA
Get The Funk Out Ma Face	The Brothers Johnson
Love So Right	Bee Gees
You Are The Woman	Firefall
Sunrise	Eric Carmen
Nadia's Theme (The Young And The Restless)	Barry DeVorzon And Perry Botikin Jr.
Like A Sad Song	John Denver
The Best Disco In Town	The Ritchie Family
Did You Boogie (With Your Baby)	Flash Cadillac And The Continental Kids
You Are My Starship	Norman Connors
The Rubberband Man	The Spinners
Take A Hand	Rick Springfield
Queen Of My Soul	Average White Band
Don't Think....Feel	Neil Diamond
Just To Be Close To You	Commodores
Shower The People	James Taylor
Heaven Must Be Missing An Angel (part 1)	Tavares
Do You Feel Like We Do	Peter Frampton
Muskrat Love	Captain & Tennille
Let 'em In	Wings
This One's For You	Barry Manilow
Message In Our Music	The O'Jays
I Got To Know	Starbuck
Anything You Want	John Valenti
Love Is Alive	Gary Wright
More Than A Feeling	Boston
Goofus	Carpenters
This Masquerade	George Benson
A Dose Of Rock 'N' Roll	Ringo Starr
You Don't Have To Be A Star (To Be In My Show)	Marilyn McCoo & Billy Davis Jr.
Mr. Melody	Natalie Cole
Nice 'N' Naasty	The Salsoul Orchestra
The More You Do It (The More I Like It Done To Me)	Ronnie Dyson
Harvest For The World	The Isley Brothers
It's Only Love	ZZ Top
Love Of My Life	Gino Vannelli
Teddy Bear's Last Ride	Diana Williams
You Gotta Make Your Own Sunshine	Neil Sedaka
Give It Up (turn It Loose)	Tyrone Davis
It's A Long Way There	Little River Band
Gimme Your Money Please	Bachman-Turner Overdrive
Baby, I Love Your Way	Peter Frampton
Superstar	Paul Davis
Home Tonight	Aerosmith
The End Is Not In Sight (the Cowboy Tune)	Amazing Rhythm Aces
Don't Stop Believin'	Olivia Newton-John
Kiss And Say Goodbye	The Manhattans
Love Ballad	L.T.D.
I Never Cry	Alice Cooper
The Fez	Steely Dan
Made To Love You	Gary Wright
Tonight's The Night (Gonna Be Alright)	Rod Stewart
My Sweet Summer Suite	Love Unlimited Orchestra
Get Closer	Seals & Crofts (Featuring Carolyn Willis)
Jump	Aretha Franklin
Love Me	Yvonne Elliman
I'll Play The Fool	Dr. Buzzard's Original Savannah Band
Wanna Make Love (Come Flick My BIC)	Sun
Cowboy Song	Thin Lizzy
Brand New Love Affair	Jigsaw
Daylight	Vicki Sue Robinson
One For The Money (part 1)	The Whispers
Let's Be Young Tonight	Jermaine Jackson
Howzat	Sherbet
Sweet Summer Music	Attitudes
Here's Some Love	Tanya Tucker
I Can't Hear You No More/Music Is My Life	Helen Reddy
Street Singin'	Lady Flash
I Can't Live A Dream	The Osmonds
Funny How Time Slips Away	Dorothy Moore
Hard Work	John Handy
