Le Freak	Chic
Too Much Heaven	Bee Gees
My Life	Billy Joel
Y.M.C.A.	Village People
Hold The Line	Toto
You Don't Bring Me Flowers	Barbra Streisand & Neil Diamond
Ooh Baby Baby	Linda Ronstadt
A Little More Love	Olivia Newton-John
Promises	Eric Clapton And His Band
Da Ya Think I'm Sexy?	Rod Stewart
Every 1's A Winner	Hot Chocolate
September	Earth, Wind & Fire
We've Got Tonight	Bob Seger & The Silver Bullet Band
Fire	The Pointer Sisters
Lotta Love	Nicolette Larson
New York Groove	Ace Frehley
Somewhere In The Night	Barry Manilow
I Was Made For Dancin'	Leif Garrett
Shake It	Ian Matthews
Sharing The Night Together	Dr. Hook
Soul Man	Blues Brothers
(Our Love) Don't Throw It All Away	Andy Gibb
Got To Be Real	Cheryl Lynn
Don't Hold Back	Chanson
How You Gonna See Me Now	Alice Cooper
Please Come Home For Christmas	Eagles
No Tell Lover	Chicago
The Gambler	Kenny Rogers
Don't Cry Out Loud	Melissa Manchester
Take Me To The River	Talking Heads
A Man I'll Never Be	Boston
Home And Dry	Gerry Rafferty
Shattered	The Rolling Stones
Love Don't Live Here Anymore	Rose Royce
I Will Survive	Gloria Gaynor
Baby I'm Burnin'	Dolly Parton
Blue Morning, Blue Day	Foreigner
One Last Kiss	The J. Geils Band
You Took The Words Right Out Of My Mouth	Meat Loaf
Heaven Knows	Donna Summer With Brooklyn Dreams
You Need A Woman Tonight	Captain & Tennille
Dancin' Shoes	Nigel Olsson
You Thrill Me	Exile
Shake Your Groove Thing	Peaches & Herb
I Don't Wanna Lose You	Daryl Hall John Oates
The Football Card	Glenn Sutton
Radioactive	Gene Simmons
What You Won't Do For Love	Bobby Caldwell
I Love The Nightlife (Disco 'round)	Alicia Bridges
Every Time I Think Of You	The Babys
Dancing In The City	Marshall Hain
Lady	Little River Band
You Can Do It	Dobie Gray
My Best Friend's Girl	The Cars
Sing For The Day	Styx
Lost In Your Love	John Paul Young
Dancin' Shoes	Faith Band
This Moment In Time	Engelbert Humperdinck
Bicycle Race/Fat Bottomed Girls	Queen
Stormy	Santana
Moment By Moment	Yvonne Elliman
Time Passages	Al Stewart
Instant Replay	Dan Hartman
I Will Be In Love With You	Livingston Taylor
Haven't Stopped Dancing Yet	Gonzalez
I Just Wanna Stop	Gino Vannelli
I'm Every Woman	Chaka Khan
Free Me From My Freedom/Tie Me To A Tree (Handcuff Me)	Bonnie Pointer
You Make Me Feel (Mighty Real)	Sylvester
Who Do Ya Love	KC And The Sunshine Band
A Little Lovin' (Keeps The Doctor Away)	The Raes
Crazy Love	Poco
What A Fool Believes	The Doobie Brothers
Lonely Wind	Kansas
You Stepped Into My Life	Melba Moore
Get Down	Gene Chandler
I Go To Rio	Pablo Cruise
Pops, We Love You (A Tribute To Father)	Diana Ross, Marvin Gaye, Smokey Robinson & Stevie Wonder
I Don't Know If It's Right	Evelyn "Champagne" King
Superman	Herbie Mann
Chip Away The Stone	Aerosmith
Silver Lining	Player
Take That To The Bank	Shalamar
Not Fade Away	Tanya Tucker
Mary's Boy Child / Oh My Lord	Boney M.
Run Home Girl	Sad Cafe
Every Which Way But Loose	Eddie Rabbitt
Goodbye, I Love You	Firefall
Our Love Is Insane	Desmond Child And Rouge
Chase	Giorgio Moroder
The Dream Never Dies	Cooper Brothers
Double Vision	Foreigner
Mary Jane	Rick James
Easy Driver	Kenny Loggins
Strange Way	Firefall
How Much I Feel	Ambrosia
MacArthur Park	Donna Summer
Hold Me, Touch Me	Paul Stanley
Animal House	Stephen Bishop
Straight On	Heart
