Maneater	Daryl Hall John Oates
The Girl Is Mine	Michael Jackson And Paul McCartney
Dirty Laundry	Don Henley
Down Under	Men At Work
Sexual Healing	Marvin Gaye
Mickey	Toni Basil
Gloria	Laura Branigan
Steppin' Out	Joe Jackson
Rock This Town	Stray Cats
Truly	Lionel Richie
Heartbreaker	Dionne Warwick
Africa	Toto
Baby, Come To Me	Patti Austin A Duet With James Ingram
Rock The Casbah	The Clash
You And I	Eddie Rabbitt With Crystal Gayle
The Other Guy	Little River Band
You Can't Hurry Love	Phil Collins
The Look Of Love (Part One)	ABC
It's Raining Again	Supertramp Featuring Roger Hodgson
Heart To Heart	Kenny Loggins
Shame On The Moon	Bob Seger & The Silver Bullet Band
Goody Two Shoes	Adam Ant
Hand To Hold On To	John Cougar
I Do	The J. Geils Band
Love In Store	Fleetwood Mac
You Got Lucky	Tom Petty And The Heartbreakers
Shadows Of The Night	Pat Benatar
Up Where We Belong	Joe Cocker And Jennifer Warnes
Allentown	Billy Joel
Let's Go Dancin' (ooh La, La, La)	Kool & The Gang
Stray Cat Strut	Stray Cats
Heart Of The Night	Juice Newton
A Penny For Your Thoughts	Tavares
What About Me	Moving Pictures
Shock The Monkey	Peter Gabriel
Does It Make You Remember	Kim Carnes
Your Love Is Driving Me Crazy	Sammy Hagar
Two Less Lonely People In The World	Air Supply
Missing You	Dan Fogelberg
Space Age Love Song	A Flock Of Seagulls
Muscles	Diana Ross
Memory	Barry Manilow
On The Wings Of Love	Jeffrey Osborne
I Gotta Try	Michael McDonald
Bad Boy	Ray Parker Jr.
Put It In A Magazine	Sonny Charles
All Those Lies	Glenn Frey
Right Before Your Eyes	America
Do You Really Want To Hurt Me	Culture Club
Twilight Zone	Golden Earring
I Knew You When	Linda Ronstadt
Pass The Dutchie	Musical Youth
On The Loose	Saga
I Know There's Something Going On	Frida
The Woman In Me	Donna Summer
Back On The Chain Gang	Pretenders
Psychobabble	The Alan Parsons Project
Everybody Wants You	Billy Squier
Heart Attack	Olivia Newton-John
After I Cry Tonight	Lanier & Co.
Papa Was A Rollin' Stone	Wolf
Whatcha Gonna Do	Chilliwack
Give It Up	The Steve Miller Band
Young Love	Janet Jackson
Hungry Like The Wolf	Duran Duran
Bad Boy/Having A Party	Luther Vandross
Be My Lady	Jefferson Starship
The Clapping Song	Pia Zadora
Funny How Time Slips Away	The Spinners
Painted Picture	Commodores
All Touch	Rough Trade
Are You Getting Enough Happiness	Hot Chocolate
Shoot For The Moon	Poco
Eminence Front	The Who
Forever	Little Steven
(you're So Square) Baby, I Don't Care	Joni Mitchell
1999	Prince
Are You Serious	Tyrone Davis
Nowhere To Run	Santana
Beg, Borrow Or Steal	Hughes/Thrall
Take The Time	Michael Stanley Band
Got To Be There	Chaka Khan
Burning Heart	Vandenberg
What If (I Said I Love You)	Unipop
Goodbye To You	Scandal Featuring Patty Smyth
Industrial Disease	Dire Straits
Heartlight	Neil Diamond
Still Taking Chances	Michael Murphey
Cross My Heart	Lee Ritenour
Feet Don't Fail Me Now	Utopia
Used To Be	Charlene & Stevie Wonder
The Elvis Medley	Elvis Presley
Pressure	Billy Joel
Nobody	Sylvia
Who Can It Be Now?	Men At Work
I.g.y. (what A Beautiful World)	Donald Fagen
Don't Stop Trying	Rodway
Southern Cross	Crosby, Stills & Nash
You Don't Want Me Anymore	Steel Breeze
American Heartbeat	Survivor
