I Got You Babe	Sonny & Cher
(I Can't Get No) Satisfaction	The Rolling Stones
Save Your Heart For Me	Gary Lewis And The Playboys
I'm Henry VIII, I Am	Herman's Hermits
What's New Pussycat?	Tom Jones
Unchained Melody	The Righteous Brothers
It's The Same Old Song	Four Tops
Don't Just Stand There	Patty Duke
California Girls	The Beach Boys
Down In The Boondocks	Billy Joe Royal
I Want Candy	The Strangeloves
Baby, I'm Yours	Barbara Lewis
I Like It Like That	The Dave Clark Five
Help!	The Beatles
Hold Me, Thrill Me, Kiss Me	Mel Carter
Take Me Back	Little Anthony And The Imperials
I'm A Fool	Dino, Desi & Billy
All I Really Want To Do	Cher
Cara, Mia	Jay & The Americans
Papa's Got A Brand New Bag (Part I)	James Brown And The Famous Flames
Sunshine, Lollipops And Rainbows	Lesley Gore
You Were On My Mind	We Five
You'd Better Come Home	Petula Clark
To Know You Is To Love You	Peter And Gordon
Pretty Little Baby	Marvin Gaye
Like A Rolling Stone	Bob Dylan
Nothing But Heartaches	The Supremes
Ride Your Pony	Lee Dorsey
Since I Lost My Baby	The Temptations
The Tracks Of My Tears	The Miracles
Yes, I'm Ready	Barbara Mason
Theme From "A Summer Place"	The Lettermen
What The World Needs Now Is Love	Jackie DeShannon
One Dyin' And A Buryin'	Roger Miller
I Can't Help Myself (Sugar Pie Honey Bunch)	Four Tops
Too Many Rivers	Brenda Lee
In The Midnight Hour	Wilson Pickett
I'll Always Love You	The Spinners
(Say) You're My Girl	Roy Orbison
Marie	The Bachelors
Looking Through The Eyes Of Love	Gene Pitney
All I Really Want To Do	The Byrds
Seventh Son	Johnny Rivers
New Orleans	Eddie Hodges
You Turn Me On (Turn On Song)	Ian Whitcomb And Bluesville
You Tell Me Why	The Beau Brummels
Ju Ju Hand	Sam The Sham and the Pharaohs
Shake And Fingerpop	Jr. Walker & The All Stars
Heart Full Of Soul	The Yardbirds
Hung On You	The Righteous Brothers
Sugar Dumpling	Sam Cooke
It's Gonna Take A Miracle	The Royalettes
It Ain't Me Babe	The Turtles
It's Gonna Be Fine	Glenn Yarbrough
One Step At A Time	Maxine Brown
I Don't Wanna Lose You Baby	Chad & Jeremy
The "In" Crowd	Ramsey Lewis Trio
Houston	Dean Martin
No Pity (In The Naked City)	Jackie Wilson
A Little You	Freddie And The Dreamers
Nobody Knows What's Goin' On (In My Mind But Me)	The Chiffons
It's Too Late, Baby Too Late	Arthur Prysock
Agent Double-O-Soul	Edwin Starr
Moon Over Naples	Bert Kaempfert And His Orchestra
You're My Baby (And Don't You Forget It)	The Vacels
Here I Am	Dionne Warwick
Candy	The Astors
Sad, Sad Girl	Barbara Mason
If I Didn't Love You	Chuck Jackson
Tickle Me	Elvis Presley With The Jordanaires
Action	Freddy Cannon
The Loser	The Skyliners
Who'll Be The Next In Line	The Kinks
Summer Nights	Marianne Faithfull
You've Been In Love Too Long	Martha & The Vandellas
Canadian Sunset	Sounds Orchestral
Annie Fanny	The Kingsmen
It's A Man Down There	G.L. Crockett
He's Got No Love	The Searchers
We Gotta Get Out Of This Place	The Animals
First I Look At The Purse	The Contours
Moonlight And Roses (Bring Mem'ries Of You)	Vic Dana
You Better Go	Derek Martin
Fly Me To The Moon (In Other Words)	Tony Bennett
Summer Wind	Wayne Newton
(My Girl) Sloopy	Little Caesar And The Consuls
I'll Take You Where The Music's Playing	The Drifters
Is It Really Over?	Jim Reeves
Oowee, Oowee	Perry Como
I'm A Happy Man	The Jive Five
You're Gonna Make Me Cry	O.V. Wright
Danger Heartbreak Dead Ahead	The Marvelettes
Only Those In Love	Baby Washington
I've Cried My Last Tear	The O'Jays
Colours	Donovan
Liar, Liar	The Castaways
I Need You	The Impressions
Give All Your Love To Me	Gerry And The Pacemakers
Hang On Sloopy	The McCoys
What Are We Going To Do?	David Jones
