In The Year 2525	Zager & Evans
Crystal Blue Persuasion	Tommy James And The Shondells
Spinning Wheel	Blood, Sweat & Tears
My Cherie Amour	Stevie Wonder
What Does It Take (To Win Your Love)	Jr. Walker & The All Stars
Good Morning Starshine	Oliver
One	Three Dog Night
The Ballad Of John And Yoko	The Beatles
Baby, I Love You	Andy Kim
Love Theme From Romeo & Juliet	Henry Mancini And His Orchestra
Mother Popcorn (You Got To Have A Mother For Me) Part 1	James Brown
Color Him Father	The Winstons
Sweet Caroline (Good Times Never Seemed So Good)	Neil Diamond
My Pledge Of Love	The Joe Jeffrey Group
Ruby, Don't Take Your Love To Town	Kenny Rogers & The First Edition
Bad Moon Rising	Creedence Clearwater Revival
Too Busy Thinking About My Baby	Marvin Gaye
Black Pearl	Sonny Charles And The Checkmates, Ltd.
Quentin's Theme	The Charles Randolph Grean Sounde
Love Me Tonight	Tom Jones
Yesterday, When I Was Young	Roy Clark
Polk Salad Annie	Tony Joe White
Let Me	Paul Revere & The Raiders Featuring Mark Lindsay
Moody Woman	Jerry Butler
Good Old Rock 'N Roll	Cat Mother & the All Night News Boys
In The Ghetto	Elvis Presley
Get Back	The Beatles With Billy Preston
Honky Tonk Women	The Rolling Stones
Choice Of Colors	The Impressions
I Turned You On	The Isley Brothers
Laughing	The Guess Who
Doggone Right	Smokey Robinson & The Miracles
Abraham, Martin And John	Smokey Robinson & The Miracles
Put A Little Love In Your Heart	Jackie DeShannon
Abraham, Martin And John	Moms Mabley
I Can Sing A Rainbow/Love Is Blue	The Dells
The Popcorn	James Brown
Reconsider Me	Johnny Adams
Along Came Jones	Ray Stevens
Moonflight	Vik Venus Alias: Your Main Moon Man
With Pen In Hand	Vikki Carr
A Boy Named Sue	Johnny Cash
I'd Wait A Million Years	The Grass Roots
Get Together	The Youngbloods
But It's Alright	J.J. Jackson
I'd Rather Be An Old Man's Sweetheart (Than A Young Man's Fool)	Candi Staton
Clean Up Your Own Back Yard	Elvis Presley
The Days Of Sand And Shovels	Bobby Vinton
It's Getting Better	Mama Cass
Workin' On A Groovy Thing	The 5th Dimension
On Campus	Dickie Goodman
Mrs. Robinson	Booker T. & The MG's
So I Can Love You	The Emotions
Don't Wake Me Up In The Morning, Michael	Peppermint Rainbow
Muddy River	Johnny Rivers
Lay Lady Lay	Bob Dylan
Marrakesh Express	Crosby, Stills & Nash
Tell All The People	The Doors
Girl You're Too Young	Archie Bell & The Drells
Hurt So Bad	The Lettermen
True Grit	Glen Campbell
Give Peace A Chance	Plastic Ono Band
Did You See Her Eyes	The Illusion
Soul Deep	The Box Tops
The Feeling Is Right	Clarence Carter
I've Lost Everything I've Ever Loved	David Ruffin
Break Away	The Beach Boys
Hey Joe	Wilson Pickett
Feeling Alright	Joe Cocker
Memphis Underground	Herbie Mann
(Sittin' On) The Dock Of The Bay	Sergio Mendes & Brasil '66
The Nitty Gritty	Gladys Knight And The Pips
The Girl I'll Never Know (Angels Never Fly This Low)	Frankie Valli
While You're Out Looking For Sugar?	The Honey Cone
Listen To The Band	The Monkees
Birthday	Underground Sunshine
Where Do I Go/Be-In/Hare Krishna	The Happenings
Willie & Laura Mae Jones	Dusty Springfield
Forever	Mercy
Your Husband - My Wife	Brooklyn Bridge
Abergavenny	Shannon
Stay And Love Me All Summer	Brian Hyland
Theme From "A Summer Place"	The Ventures
Don't Tell Your Mama (Where You've Been)	Eddie Floyd
I'm Free	The Who
I'll Never Fall In Love Again	Tom Jones
Your Good Thing (Is About To End)	Lou Rawls
Till You Get Enough	The Watts 103rd Street Rhythm Band
Jack And Jill	Tommy Roe
Odds And Ends	Dionne Warwick
Sugar, Sugar	The Archies
Everybody Knows Matilda	Duke Baxter
First Hymn From Grand Terrace	Mark Lindsay
Let Yourself Go	The Friends Of Distinction
That's The Way	Joe Tex
Love Theme From "Romeo And Juliet" (A Time For Us)	Johnny Mathis
Pass The Apple Eve	B.J. Thomas
Ease Back	The Meters
Out Of Sight, Out Of Mind	Little Anthony And The Imperials
Big Bruce	Steve Greenberg
