Mrs. Robinson	Simon & Garfunkel
The Good, The Bad And The Ugly	Hugo Montenegro, His Orchestra And Chorus
A Beautiful Morning	The Rascals
Tighten Up	Archie Bell & The Drells
Honey	Bobby Goldsboro
Yummy Yummy Yummy	Ohio Express
Mony Mony	Tommy James And The Shondells
Ain't Nothing Like The Real Thing	Marvin Gaye & Tammi Terrell
Cowboys To Girls	The Intruders
Do You Know The Way To San José	Dionne Warwick
This Guy's In Love With You	Herb Alpert
MacArthur Park	Richard Harris
Think	Aretha Franklin
Love Is All Around	The Troggs
She's Lookin' Good	Wilson Pickett
Shoo-Be-Doo-Be-Doo-Da-Day	Stevie Wonder
Young Girl	The Union Gap Featuring Gary Puckett
The Unicorn	The Irish Rovers
Like To Get To Know You	Spanky And Our Gang
I Could Never Love Another (After Loving You)	The Temptations
Delilah	Tom Jones
I Will Always Think About You	The New Colony Six
Master Jack	Four Jacks And A Jill
Take Time To Know Her	Percy Sledge
If I Were A Carpenter	Four Tops
Soul Serenade	Willie Mitchell
Cry Like A Baby	The Box Tops
The Happy Song (Dum-Dum)	Otis Redding
How'd We Ever Get This Way	Andy Kim
Angel Of The Morning	Merrilee Rush & The Turnabouts
I Love You	People
Licking Stick - Licking Stick (Part 1)	James Brown And The Famous Flames
Sweet Inspiration	The Sweet Inspirations
The Look Of Love	Sergio Mendes & Brasil '66
My Girl/Hey Girl	Bobby Vee
I Wanna Live	Glen Campbell
Funky Street	Arthur Conley
Reach Out Of The Darkness	Friend And Lover
A Man Without Love (Quando M'innamoro)	Engelbert Humperdinck
Does Your Mama Know About Me	Bobby Taylor & The Vancouvers
(You Keep Me) Hangin' On	Joe Simon
I'm Sorry	The Delfonics
I Got The Feelin'	James Brown And The Famous Flames
Lady Madonna	The Beatles
Time For Livin'	The Association
Tip-Toe Thru' The Tulips With Me	Tiny Tim
Playboy	Gene And Debbe
She's A Heartbreaker	Gene Pitney
Wear It On Our Face	The Dells
Never Give You Up	Jerry Butler
Jelly Jungle (Of Orange Marmalade)	Lemon Pipers
Unwind	Ray Stevens
If You Don't Want My Love	Robert John
The Horse	Cliff Nobles & Co.
Paying The Cost To Be The Boss	B.B. King
United	Peaches & Herb
You Don't Know What You Mean To Me	Sam & Dave
Brooklyn Roads	Neil Diamond
Friends	The Beach Boys
Love In Every Room	Paul Mauriat And His Orchestra
I'll Never Do You Wrong	Joe Tex
Choo Choo Train	The Box Tops
May I Take A Giant Step (Into Your Heart)	1910 Fruitgum Co.
Anyone For Tennis	Cream
Sleepy Joe	Herman's Hermits
Baby Make Your Own Sweet Music	Jay And The Techniques
I Can Remember	James & Bobby Purify
We're Rolling On (Part I)	The Impressions
I Promise To Wait My Love	Martha Reeves & The Vandellas
The Doctor	Mary Wells
I Got You Babe	Etta James
America Is My Home - Pt. 1	James Brown And The Famous Flames
Yester Love	Smokey Robinson & The Miracles
I Wish I Knew (How It Would Feel To Be Free)	Solomon Burke
Bring A Little Lovin'	Los Bravos
Here's To You	Hamilton Camp
You Ain't Going Nowhere	The Byrds
I Got A Sure Thing	Ollie & The Nightingales
Indian Lake	The Cowsills
My Shy Violet	The Mills Brothers
Face It Girl, It's Over	Nancy Wilson
Apologize	Ed Ames
Here Comes The Judge	Shorty Long
Folsom Prison Blues	Johnny Cash
Ready, Willing and Able	The American Breed
Sky Pilot (Part One)	Eric Burdon & The Animals
Lili Marlene	Al Martino
It's Over	Eddy Arnold
A Tribute To A King	William Bell
Climb Every Mountain	The Hesitations
San Francisco Girls (Return of the Native)	Fever Tree
Hold On	Radiants
Lonely Is The Name	Sammy Davis Jr.
Here Come Da Judge	The Buena Vistas
Stoned Soul Picnic	The 5th Dimension
Funky Fever	Clarence Carter
Ain't Nothin' But A House Party	The Show Stoppers
Pictures Of Matchstick Men	The Status Quo
Don't Sign The Paper Baby (I Want You Back)	Jimmy Delphs
Here Come The Judge	The Magistrates
