Joyride	Roxette
Baby Baby	Amy Grant
I Like The Way (The Kissing Game)	Hi-Five
Here We Go	C+C Music Factory/F. Williams
Touch Me (All Night Long)	Cathy Dennis
I Touch Myself	Divinyls
Rhythm Of My Heart	Rod Stewart
I Don't Wanna Cry	Mariah Carey
More Than Words	Extreme
Cry For Help	Rick Astley
Silent Lucidity	Queensryche
I Wanna Sex You Up (From "New Jack City")	Color Me Badd
Voices That Care	Voices That Care
More Than Ever	Nelson
Save Some Love	Keedy
Losing My Religion	R.E.M.
You Don't Have To Go Home Tonight	The Triplets
Love Is A Wonderful Thing	Michael Bolton
You're In Love	Wilson Phillips
I've Been Thinking About You	Londonbeat
Miracle	Whitney Houston
Hold You Tight	Tara Kemp
Written All Over Your Face	The Rude Boys
What Comes Naturally	Sheena Easton
Don't Treat Me Bad	Firehouse
It's A Shame (My Sister)	Monie Love Featuring True Image
My Heart Is Failing Me	Riff
Strike It Up	Black Box
Iesha	Another Bad Creation
She Talks To Angels	The Black Crowes
Sadeness Part 1	Enigma
Unbelievable	EMF
Power Of Love/Love Power	Luther Vandross
Couple Days Off	Huey Lewis & The News
How Much Is Enough	The Fixx
Rush Rush	Paula Abdul
Just The Way It Is, Baby	The Rembrandts
People Are Still Having Sex	LaTour
Mama Said Knock You Out	LL Cool J
Do You Want Me	Salt-N-Pepa
Here I Am (Come And Take Me)	UB40
Rico Suave	Gerardo
Love At First Sight	Styx
Playground	Another Bad Creation
Round And Round	Tevin Campbell
Bitter Tears	INXS
Signs	Tesla
(If There Was) Any Other Way	Celine Dion
One More Try	Timmy T.
Walking In Memphis	Marc Cohn
Right Here, Right Now	Jesus Jones
Mercy Mercy Me (The Ecology)/I Want You	Robert Palmer
Seal Our Fate	Gloria Estefan
How Can I Ease The Pain	Lisa Fischer
Whatever You Want	Tony Toni Tone
We Want The Funk	Gerardo
Coming Out Of The Dark	Gloria Estefan
Come Again	Damn Yankees
I'll Never Let You Go	Steelheart
Never Gonna Let You Down	Surface
Together Forever	Lisette Melendez
Let's Chill	Guy
Step On	Happy Mondays
Dream Lover	The Rebel Pebbles
Someday	Mariah Carey
I Don't Want To Lose Your Love	B Angie B
Place In This World	Michael W. Smith
Something In My Heart	Michel'le
Going Through The Motions	Aftershock
Does Anybody Really Fall In Love Anymore?	Kane Roberts
Feel The Groove	Cartouche
New Jack Hustler (Nino's Theme) (From "New Jack City")	Ice-T
Backyard	Pebbles (With Salt-N-Pepa)
This House	Tracie Spencer
Crazy	Daisy Dee
Gypsy Woman (She's Homeless)	Crystal Waters
Heartbreak Station	Cinderella
Another Like My Lover	Jasmine Guy
Where Does My Heart Beat Now	Celine Dion
Uncle Tom's Cabin	Warrant
Good Heart	Starship
How To Dance	Bingo Boys Featuring Princessa
Part Of Me, Part Of You	Glenn Frey
Get Here	Oleta Adams
Life Goes On	Poison
A Better Love	Londonbeat
The Star Spangled Banner	Whitney Houston
Kisses In The Night	Brandon
All The Man That I Need	Whitney Houston
I'm Dreamin' (From "New Jack City")	Christopher Williams
Can I Call You My Girl	PC Quest
That's Why	The Party
Wicked Game	Chris Isaak
Show Me The Way	Styx
I'll Be By Your Side	Stevie B
Over And Over	Timmy T.
Waiting For Love	Alias
Piece Of My Heart	Tara Kemp
Love Me Forever Or Love Me Not	Trilogy
Word Of Mouth	Mike + The Mechanics
