Go Away Little Girl	Donny Osmond
Spanish Harlem	Aretha Franklin
Smiling Faces Sometimes	The Undisputed Truth
Ain't No Sunshine	Bill Withers
Uncle Albert/Admiral Halsey	Paul & Linda McCartney
How Can You Mend A Broken Heart	Bee Gees
I Just Want To Celebrate	Rare Earth
Take Me Home, Country Roads	John Denver
Signs	Five Man Electrical Band
Maggie May/Reason To Believe	Rod Stewart
Whatcha See Is Whatcha Get	The Dramatics
The Night They Drove Old Dixie Down	Joan Baez
Liar	Three Dog Night
Stick-Up	The Honey Cone
Mercy, Mercy Me (The Ecology)	Marvin Gaye
Won't Get Fooled Again	The Who
Superstar/Bless The Beasts And Children	Carpenters
I Woke Up In Love This Morning	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Beginnings/Colour My World	Chicago
Do You Know What I Mean	Lee Michaels
Mr. Big Stuff	Jean Knight
Sweet Hitch-Hiker	Creedence Clearwater Revival
Bangla-Desh/Deep Blue	George Harrison
Tired Of Being Alone	Al Green
Riders On The Storm	The Doors
The Story In Your Eyes	The Moody Blues
Chirpy Chirpy Cheep Cheep	Mac And Katie Kissoon
If You Really Love Me	Stevie Wonder
If Not For You	Olivia Newton-John
Make It Funky (Part 1)	James Brown
Saturday Morning Confusion	Bobby Russell
So Far Away/Smackwater Jack	Carole King
Rain Dance	The Guess Who
Wedding Song (There Is Love)	Paul Stookey
Sweet City Woman	Stampeders
Go Down Gamblin'	Blood, Sweat & Tears
Hot Pants (She Got To Use What She Got To Get What She Wants) (Pt. 1)	James Brown
I Likes To Do It	The People's Choice
K-Jee	The Nite-Liters
Surrender	Diana Ross
I Ain't Got Time Anymore	The Glass Bottle
All Day Music	War
The Breakdown (Part I)	Rufus Thomas
I've Found Someone Of My Own	The Free Movement
Maggie	Redbone
Marianne	Stephen Stills
The Love We Had (Stays On My Mind)	The Dells
Where Evil Grows	The Poppy Family
Stop, Look, Listen (To Your Heart)	The Stylistics
Take Me Girl, I'm Ready	Jr. Walker & The All Stars
Easy Loving	Freddie Hart
Stagger Lee	Tommy Roe
Crazy Love	Helen Reddy
Waiting At The Bus Stop	Bobby Sherman
Another Time, Another Place	Engelbert Humperdinck
Call My Name, I'll Be There	Wilson Pickett
Thin Line Between Love & Hate	The Persuaders
Loving Her Was Easier (Than Anything I'll Ever Do Again)	Kris Kristofferson
Trapped By A Thing Called Love	Denise LaSalle
Annabella	Hamilton, Joe Frank & Reynolds
Gimme Shelter	Grand Funk Railroad
Ko-Ko Joe	Jerry Reed
Is That The Way	Tin Tin
Them Changes	Buddy Miles & The Freedom Express
How Can I Unlove You	Lynn Anderson
Hijackin' Love	Johnnie Taylor (The Soul Philosopher)
Mother Freedom	Bread
A Natural Man	Lou Rawls
Where You Lead	Barbra Streisand
I'd Rather Be Sorry	Ray Price
Think His Name	Johnny Rivers
California Kid And Reemo	Lobo
Roll On	The New Colony Six
Don't Try To Lay No Boogie-Woogie On The King Of Rock And Roll	John Baldry
One Fine Morning	Lighthouse
Talk It Over In The Morning	Anne Murray
All My Trials	Ray Stevens
MacArthur Park (Part II)	Four Tops
Ghetto Woman	B.B. King
Get It While You Can	Janis Joplin
Birds Of A Feather	The Raiders
Military Madness	Graham Nash
A Song For You	Andy Williams
He'd Rather Have The Rain	Heaven Bound with Tony Scotti
Yo-Yo	The Osmonds
Feel So Bad	Ray Charles
Pin The Tail On The Donkey	The Newcomers
The Year That Clayton Delaney Died	Tom T. Hall
Women's Love Rights	Laura Lee
Some Of Shelly's Blues	Nitty Gritty Dirt Band
I Know I'm In Love	Chee-Chee & Peppy
A Long Time, A Long Way To Go	Runt-Todd Rundgren
That's The Way A Woman Is	Messengers
Desdemona	The Searchers
Handbags And Gladrags	Chase
Can You Get To That	Funkadelic
A Part Of You	Brenda & The Tabulations
Solo	Billie Sans
Summer Side Of Life	Gordon Lightfoot
Black Seeds Keep On Growing	The Main Ingredient
