You Should Be Dancing	Bee Gees
You'll Never Find Another Love Like Mine	Lou Rawls
Let 'em In	Wings
I'd Really Love To See You Tonight	England Dan & John Ford Coley
(Shake, Shake, Shake) Shake Your Booty	KC And The Sunshine Band
Play That Funky Music	Wild Cherry
A Fifth Of Beethoven	Walter Murphy & The Big Apple Band
Don't Go Breaking My Heart	Elton John & Kiki Dee
Lowdown	Boz Scaggs
This Masquerade	George Benson
Summer	War
Baby, I Love Your Way	Peter Frampton
Say You Love Me	Fleetwood Mac
Get Closer	Seals & Crofts (Featuring Carolyn Willis)
Heaven Must Be Missing An Angel (part 1)	Tavares
With Your Love	Jefferson Starship
Devil Woman	Cliff Richard
If You Leave Me Now	Chicago
A Little Bit More	Dr. Hook
Still The One	Orleans
Who'd She Coo?	Ohio Players
Love Is Alive	Gary Wright
Wham Bam (Shang-A-Lang)	Silver
Kiss And Say Goodbye	The Manhattans
She's Gone	Daryl Hall John Oates
Shower The People	James Taylor
Getaway	Earth, Wind & Fire
Rock And Roll Music	The Beach Boys
Street Singin'	Lady Flash
I Can't Hear You No More/Music Is My Life	Helen Reddy
Turn The Beat Around	Vicki Sue Robinson
One Love In My Lifetime	Diana Ross
Young Hearts Run Free	Candi Staton
Disco Duck (Part I)	Rick Dees & His Cast Of Idiots
Magic Man	Heart
Afternoon Delight	Starland Vocal Band
Rock'n Me	Steve Miller
That'll Be The Day	Linda Ronstadt
Don't Stop Believin'	Olivia Newton-John
(Don't Fear) The Reaper	Blue Oyster Cult
(The System Of) Doctor Tarr And Professor Fether	The Alan Parsons Project
I'm Easy	Keith Carradine
Moonlight Feels Right	Starbuck
Superstar	Paul Davis
Springtime Mama	Henry Gross
Popsicle Toes	Michael Franks
Get Up Offa That Thing	James Brown
Hey Shirley (This Is Squirrely)	Shirley & Squirrely
Get The Funk Out Ma Face	The Brothers Johnson
If You Know What I Mean	Neil Diamond
Can You Do It	Grand Funk Railroad
Rainbow In Your Eyes	Leon & Mary Russell
Got To Get You Into My Life	The Beatles
Let Her In	John Travolta
Sunrise	Eric Carmen
Teddy Bear	Red Sovine
The Wreck Of The Edmund Fitzgerald	Gordon Lightfoot
Last Child	Aerosmith
You're My Best Friend	Queen
No, No, Joe	Silver Convention
Funny How Time Slips Away	Dorothy Moore
You Are The Woman	Firefall
Take A Hand	Rick Springfield
It's O.k.	The Beach Boys
Howzat	Sherbet
Sophisticated Lady (She's A Different Lady)	Natalie Cole
Hard Work	John Handy
Showdown	Electric Light Orchestra
The Best Disco In Town	The Ritchie Family
The More You Do It (The More I Like It Done To Me)	Ronnie Dyson
Party	Van Mccoy
Harvest For The World	The Isley Brothers
You Are My Starship	Norman Connors
After The Dance	Marvin Gaye
Did You Boogie (With Your Baby)	Flash Cadillac And The Continental Kids
Amber Cascades	America
Fernando	ABBA
Nadia's Theme (The Young And The Restless)	Barry DeVorzon And Perry Botikin Jr.
Beth/Detroit Rock City	KISS
Rocky Mountain Music	Eddie Rabbitt
Brand New Love Affair	Jigsaw
Queen Of My Soul	Average White Band
I Only Want To Be With You	Bay City Rollers
The Princess And The Punk	Barry Mann
Free Spirit	Atlanta Rhythm Section
Let Me In	Derringer
Wheels Of Fortune	The Doobie Brothers
Heart On My Sleeve	Gallagher And Lyle
Goofus	Carpenters
Teddy Bear's Last Ride	Diana Williams
Anything You Want	John Valenti
One For The Money (part 1)	The Whispers
Let's Rock	Ellison Chase
Fire	Mother's Finest
Grasshopper	Spin
Gotta Be The One	Maxine Nightingale
Sweet Summer Music	Attitudes
The Boys Are Back In Town	Thin Lizzy
You To Me Are Everything	The Real Thing
Tear The Roof Off The Sucker (Give Up The Funk)	Parliament
