Butter	BTS
Good 4 U	Olivia Rodrigo
Levitating	Dua Lipa Featuring DaBaby
Kiss Me More	Doja Cat Featuring SZA
Peaches	Justin Bieber Featuring Daniel Caesar & Giveon
Leave The Door Open	Silk Sonic (Bruno Mars & Anderson .Paak)
Save Your Tears	The Weeknd & Ariana Grande
Astronaut In The Ocean	Masked Wolf
Montero (Call Me By Your Name)	Lil Nas X
Deja Vu	Olivia Rodrigo
Rapstar	Polo G
Forever After All	Luke Combs
Without You	The Kid LAROI
Beautiful Mistakes	Maroon 5 Featuring Megan Thee Stallion
Having Our Way	Migos Featuring Drake
Thot Shit	Megan Thee Stallion
Blinding Lights	The Weeknd
Yonaguni	Bad Bunny
Drivers License	Olivia Rodrigo
Best Friend	Saweetie Featuring Doja Cat
Heat Waves	Glass Animals
Heartbreak Anniversary	Giveon
Straightenin	Migos
Wants And Needs	Drake Featuring Lil Baby
Traitor	Olivia Rodrigo
No Return	Polo G Featuring The Kid LAROI & Lil Durk
Avalanche	Migos
Famous Friends	Chris Young + Kane Brown
Calling My Phone	Lil Tjay Featuring 6LACK
Telepatia	Kali Uchis
Mood	24kGoldn Featuring iann dior
Gone	Dierks Bentley
pov	Ariana Grande
Every Chance I Get	DJ Khaled Featuring Lil Baby & Lil Durk
Late At Night	Roddy Ricch
My Ex's Best Friend	Machine Gun Kelly X blackbear
Lil Bit	Nelly & Florida Georgia Line
Need To Know	Doja Cat
Wockesha	Moneybagg Yo
Happier	Olivia Rodrigo
What You Know Bout Love	Pop Smoke
Up	Cardi B
Favorite Crime	Olivia Rodrigo
Blame It On You	Jason Aldean
Todo de Ti	Rauw Alejandro
Beat Box	SpotemGottem Featuring Pooh Shiesty Or DaBaby
Time Today	Moneybagg Yo
Gang Gang	Polo G & Lil Wayne
Hats Off	Lil Baby, Lil Durk & Travis Scott
Settling Down	Miranda Lambert
Track Star	Mooski
Brutal	Olivia Rodrigo
Black Hearted	Polo G
Almost Maybes	Jordan Davis
Nobody	Dylan Scott
my.life	J. Cole, 21 Savage & Morray
Glad You Exist	Dan + Shay
Leave Before You Love Me	Marshmello X Jonas Brothers
Painting Pictures	Polo G
Single Saturday Night	Cole Swindell
Modern Day	Migos
Breaking Up Was Easy In The 90's	Sam Hunt
Toxic	Polo G
Solar Power	Lorde
Malibu	Migos Featuring Polo G
Ski	Young Thug & Gunna
Build A Bitch	Bella Poarch
Way Less Sad	AJR
Jealousy, Jealousy	Olivia Rodrigo
One Too Many	Keith Urban Duet With P!nk
Type Shit	Migos & Cardi B
Made For You	Jake Owen
Enough For You	Olivia Rodrigo
Arcade	Duncan Laurence
No More Parties	Coi Leray Featuring Lil Durk
Minimum Wage	Blake Shelton
Lost Cause	Billie Eilish
Drinkin' Beer. Talkin' God. Amen.	Chase Rice Featuring Florida Georgia Line
Clueless	Polo G Featuring Pop Smoke & Fivio Foreign
How It Feels	Lil Baby & Lil Durk
Things A Man Oughta Know	Lainey Wilson
Voice Of The Heroes	Lil Baby & Lil Durk
Heart Of A Giant	Polo G Featuring Rod Wave
pride.is.the.devil	J. Cole & Lil Baby
Party Lyfe	Polo G Featuring DaBaby
Go Part 1	Polo G Featuring G Herbo
transparentsoul	Willow Featuring Travis Barker
Epidemic	Polo G
Boom	Polo G
Drunk (And I Don't Wanna Go Home)	Elle King & Miranda Lambert
Quicksand	Morray
Country Again	Thomas Rhett
Fiel	Los Legendarios, Wisin & Jhay Cortez
2040	Lil Baby & Lil Durk
1 Step Forward, 3 Steps Back	Olivia Rodrigo
Follow You	Imagine Dragons
Bloody Canvas	Polo G
Miss The Rage	Trippie Redd & Playboi Carti
Still Runnin	Lil Baby, Lil Durk & Meek Mill
You	Regard x Troye Sivan x Tate McRae
