Too Much Heaven	Bee Gees
Le Freak	Chic
My Life	Billy Joel
You Don't Bring Me Flowers	Barbra Streisand & Neil Diamond
I Love The Nightlife (Disco 'round)	Alicia Bridges
Sharing The Night Together	Dr. Hook
Y.M.C.A.	Village People
Hold The Line	Toto
(Our Love) Don't Throw It All Away	Andy Gibb
Ooh Baby Baby	Linda Ronstadt
Promises	Eric Clapton And His Band
How You Gonna See Me Now	Alice Cooper
A Little More Love	Olivia Newton-John
We've Got Tonight	Bob Seger & The Silver Bullet Band
September	Earth, Wind & Fire
Every 1's A Winner	Hot Chocolate
Lotta Love	Nicolette Larson
Please Come Home For Christmas	Eagles
New York Groove	Ace Frehley
Fire	The Pointer Sisters
I'm Every Woman	Chaka Khan
Shake It	Ian Matthews
I Just Wanna Stop	Gino Vannelli
I Was Made For Dancin'	Leif Garrett
Bicycle Race/Fat Bottomed Girls	Queen
Time Passages	Al Stewart
Da Ya Think I'm Sexy?	Rod Stewart
Don't Hold Back	Chanson
Instant Replay	Dan Hartman
I Will Be In Love With You	Livingston Taylor
Somewhere In The Night	Barry Manilow
Soul Man	Blues Brothers
A Man I'll Never Be	Boston
The Gambler	Kenny Rogers
My Best Friend's Girl	The Cars
Take Me To The River	Talking Heads
Don't Cry Out Loud	Melissa Manchester
MacArthur Park	Donna Summer
Home And Dry	Gerry Rafferty
Got To Be Real	Cheryl Lynn
Mary Jane	Rick James
Love Don't Live Here Anymore	Rose Royce
You Took The Words Right Out Of My Mouth	Meat Loaf
One Last Kiss	The J. Geils Band
Shattered	The Rolling Stones
Baby I'm Burnin'	Dolly Parton
You Thrill Me	Exile
The Dream Never Dies	Cooper Brothers
You Need A Woman Tonight	Captain & Tennille
Radioactive	Gene Simmons
Strange Way	Firefall
How Much I Feel	Ambrosia
Dancin' Shoes	Nigel Olsson
No Tell Lover	Chicago
I Don't Wanna Lose You	Daryl Hall John Oates
Straight On	Heart
Shake Your Groove Thing	Peaches & Herb
Blue Morning, Blue Day	Foreigner
Sweet Life	Paul Davis
Lost In Your Love	John Paul Young
I Will Survive	Gloria Gaynor
Easy Driver	Kenny Loggins
What You Won't Do For Love	Bobby Caldwell
Part-Time Love	Elton John
Double Vision	Foreigner
Silver Lining	Player
The Power Of Gold	Dan Fogelberg/Tim Weisberg
Dancing In The City	Marshall Hain
Dancin' Shoes	Faith Band
The Football Card	Glenn Sutton
Hold Me, Touch Me	Paul Stanley
You've Really Got A Hold On Me	Eddie Money
You Can Do It	Dobie Gray
This Moment In Time	Engelbert Humperdinck
Sing For The Day	Styx
Stormy	Santana
Animal House	Stephen Bishop
Moment By Moment	Yvonne Elliman
Miles Away	Fotomaker
Every Time I Think Of You	The Babys
Free Me From My Freedom/Tie Me To A Tree (Handcuff Me)	Bonnie Pointer
A Little Lovin' (Keeps The Doctor Away)	The Raes
Who Do Ya Love	KC And The Sunshine Band
Haven't Stopped Dancing Yet	Gonzalez
Get Down	Gene Chandler
I Don't Know If It's Right	Evelyn "Champagne" King
Need You Bad	Ted Nugent
Lady	Little River Band
Ain't That Enough For You	John Davis And The Monster Orchestra
Mary's Boy Child / Oh My Lord	Boney M.
I'm Gonna Make You Love Me	The Blend
In The Bush	Musique
Your Sweetness Is My Weakness	Barry White
Alive Again	Chicago
I Believe You	Carpenters
You Needed Me	Anne Murray
Hot Child In The City	Nick Gilder
Mañana	Jimmy Buffett
Light The Sky On Fire	Jefferson Starship
Got To Have Loving	Don Ray
