Candy Shop	50 Cent Featuring Olivia
Boulevard Of Broken Dreams	Green Day
Let Me Love You	Mario
How We Do	The Game Featuring 50 Cent
Disco Inferno	50 Cent
Since U Been Gone	Kelly Clarkson
1, 2 Step	Ciara Featuring Missy Elliott
Rich Girl	Gwen Stefani Featuring Eve
Caught Up	Usher
Obsession (No Es Amor)	Frankie J Featuring Baby Bash
Mockingbird	Eminem
Lovers And Friends	Lil Jon & The East Side Boyz Featuring Usher & Ludacris
Soldier	Destiny's Child Featuring T.I. & Lil Wayne
Hate It Or Love It	The Game Featuring 50 Cent
Get Right	Jennifer Lopez
It's Like That	Mariah Carey
Breakaway	Kelly Clarkson
Bring Em Out	T.I.
Some Cut	Trillville Featuring Cutty
Get Back	Ludacris
Mr. Brightside	The Killers
Drop It Like It's Hot	Snoop Dogg Featuring Pharrell
Goin' Crazy	Natalie
Beautiful Soul	Jesse McCartney
Truth Is	Fantasia
Lonely No More	Rob Thomas
O	Omarion
Ordinary People	John Legend
She Will Be Loved	Maroon 5
Sugar (Gimme Some)	Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo
U Don't Know Me	T.I.
Over And Over	Nelly Featuring Tim McGraw
Daughters	John Mayer
I Don't Want To Be	Gavin DeGraw
Bless The Broken Road	Rascal Flatts
Numb/Encore	Jay-Z/Linkin Park
Sunday Morning	Maroon 5
Karma	Alicia Keys
Nothin' To Lose	Josh Gracin
Look What You've Done	Jet
Okay	Nivea Featuring Lil Jon & YoungBloodZ
True	Ryan Cabrera
Number One Spot	Ludacris
Let Me Go	3 Doors Down
Give A Little Bit	Goo Goo Dolls
1 Thing	Amerie
Lonely	Akon
Baby Girl	Sugarland
Signs	Snoop Dogg Featuring Charlie Wilson & Justin Timberlake
Wait (The Whisper Song)	Ying Yang Twins
Like Toy Soldiers	Eminem
That's What I Love About Sunday	Craig Morgan
Anything But Mine	Kenny Chesney
Collide	Howie Day
Mud On The Tires	Brad Paisley
Slow Down	Bobby Valentino
Baby I'm Back	Baby Bash Featuring Akon
Almost	Bowling For Soup
Lady	Lenny Kravitz
You're My Better Half	Keith Urban
Somewhere Only We Know	Keane
Gone	Montgomery Gentry
It's Getting Better All The Time	Brooks & Dunn
Karma	Lloyd Banks Featuring Avant
Switch	Will Smith
Sitting, Waiting, Wishing	Jack Johnson
I May Hate Myself In The Morning	Lee Ann Womack
Baby Mama	Fantasia
Scars	Papa Roach
Let Them Be Little	Billy Dean
Only U	Ashanti
Nobody's Home	Avril Lavigne
Girlfight	Brooke Valentine Featuring Lil Jon & Big Boi
Still Tippin'	Mike Jones Featuring Slim Thug & Paul Wall
Gasolina	Daddy Yankee
My Give A Damn's Busted	Jo Dee Messina
If Heaven	Andy Griggs
Honkytonk U	Toby Keith
Hold You Down	Jennifer Lopez Featuring Fat Joe
U Already Know	112 Featuring Foxy Brown
Hope	Twista Featuring Faith Evans
I Just Wanna Live	Good Charlotte
Jerk It Out	Caesars
Let's Get Blown	Snoop Dogg
I'm A Hustla	Cassidy
What's A Guy Gotta Do	Joe Nichols
God's Will	Martina McBride
Trying To Find Atlantis	Jamie O'Neal
Awful, Beautiful Life	Darryl Worley
Monday Morning Church	Alan Jackson
How Do You Get That Lonely	Blaine Larsen
Baby	Fabolous Featuring Mike Shorey
How Could You	Mario
In The Kitchen	R. Kelly
Little Sister	Queens Of The Stone Age
I'm Not Okay (I Promise)	My Chemical Romance
The Widow	The Mars Volta
Nothin 'Bout Love Makes Sense	LeAnn Rimes
You And Me	Lifehouse
N Dey Say	Nelly
