Surf City	Jan & Dean
So Much In Love	The Tymes
Fingertips - Pt 2	Little Stevie Wonder
Easier Said Than Done	The Essex
Wipe Out	The Surfaris
Tie Me Kangaroo Down, Sport	Rolf Harris
(You're the) Devil In Disguise	Elvis Presley With The Jordanaires
Blowin' In The Wind	Peter, Paul & Mary
Memphis	Lonnie Mack
Just One Look	Doris Troy
Judy's Turn To Cry	Lesley Gore
Not Me	The Orlons
Pride And Joy	Marvin Gaye
Sukiyaki	Kyu Sakamoto
Hopeless	Andy Williams
Candy Girl	The 4 Seasons
Ring Of Fire	Johnny Cash
Blue On Blue	Bobby Vinton
Detroit City	Bobby Bare
Harry The Hairy Ape	Ray Stevens
No One	Ray Charles
My True Confession	Brook Benton
Hello Stranger	Barbara Lewis
Till Then	The Classics
One Fine Day	The Chiffons
Don't Say Goodnight And Mean Goodbye	The Shirelles
It's My Party	Lesley Gore
More	Kai Winding & Orchestra
Denise	Randy & The Rainbows
Abilene	George Hamilton IV
Without Love (There Is Nothing)	Ray Charles
Goodnight My Love	The Fleetwoods
Six Days On The Road	Dave Dudley
Green, Green	The New Christy Minstrels
My Whole World Is Falling Down	Brenda Lee
On Top Of Spaghetti	Tom Glazer And The Do-Re-Mi Children's Chorus
Be True To Yourself	Bobby Vee
Hootenanny	The Glencoves
Be Careful Of Stones That You Throw	Dion
I Wonder	Brenda Lee
Mockingbird	Inez Foxx with Charlie Foxx
My Summer Love	Ruby And The Romantics
Swinging On A Star	Big Dee Irwin (with Little Eva)
Rock Me In The Cradle Of Love	Dee Dee Sharp
(I Love You) Don't You Forget It	Perry Como
I (Who Have Nothing)	Ben E. King
Danke Schoen	Wayne Newton And The Newton Brothers
Tips Of My Fingers	Roy Clark
True Love Never Runs Smooth	Gene Pitney
Marlena	The 4 Seasons
Falling	Roy Orbison
Shake! Shake! Shake!	Jackie Wilson
Those Lazy-Hazy-Crazy Days Of Summer	Nat King Cole
You Can't Sit Down	The Dovells
Surf Party	Chubby Checker
When A Boy Falls In Love	Mel Carter
Summer's Comin'	Kirby St. Romain
Shake A Tail Feather	The Five Du-Tones
Twist It Up	Chubby Checker
Brenda	The Cupids
Sometimes You Gotta Cry A Little	Bobby Bland
The Monkey Time	Major Lance
Make The World Go Away	Timi Yuro
Jack The Ripper	Link Wray And The Wraymen
How Many Teardrops	Lou Christie
I Will Love You	Richard Chamberlain
Cottonfields	Ace Cannon
Hey, Girl	Freddie Scott
Like The Big Guys Do	The Rocky Fellers
Surfin' Hootenanny	Al Casey
Painted, Tainted Rose	Al Martino
Leave Me Alone	Baby Washington
I'm Afraid To Go Home	Brian Hyland
Will Power	The Cookies
Wait Til' My Bobby Gets Home	Darlene Love
If I Had A Hammer	Trini Lopez
Land Of 1000 Dances	Chris Kenner
Daughter	The Blenders
This Is All I Ask	Tony Bennett
Can't Nobody Love You	Solomon Burke
Groovy Baby	Billy Abbott And The Jewels
The Dreamer	Neil Sedaka
I Want To Stay Here	Steve & Eydie
Que Sera, Sera (Whatever Will Be, Will Be)	The High Keyes
It Hurts To Be Sixteen	Andrea Carroll
Dancin' Holiday	The Olympics
Mama Don't Allow	The Rooftop Singers
Antony And Cleopatra Theme	Ferrante & Teicher
Frankie And Johnny	Sam Cooke
Chinese Checkers	Booker T. & The MG's
Dance, Dance, Dance	Joey Dee
I Can't Stop Loving You	Count Basie
What A Fool I've Been	Carla Thomas
Baja	The Astronauts
A Breath Taking Guy	The Supremes
It's Too Late	Wilson Pickett
Saturday Sunshine	Burt Bacharach
True Love	Richard Chamberlain
These Foolish Things	James Brown And The Famous Flames
True Blue Lou	Tony Bennett
