Call Me Maybe	Carly Rae Jepsen
Payphone	Maroon 5 Featuring Wiz Khalifa
Wide Awake	Katy Perry
Lights	Ellie Goulding
Somebody That I Used To Know	Gotye Featuring Kimbra
Whistle	Flo Rida
Where Have You Been	Rihanna
Titanium	David Guetta Featuring Sia
Scream	Usher
Blow Me (One Last Kiss)	P!nk
We Are Young	fun. Featuring Janelle Monae
Take A Little Ride	Jason Aldean
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
Some Nights	fun.
Starships	Nicki Minaj
What Makes You Beautiful	One Direction
Want U Back	Cher Lloyd
Wild Ones	Flo Rida Featuring Sia
Give Your Heart A Break	Demi Lovato
Let's Go	Calvin Harris Featuring Ne-Yo
Everybody Talks	Neon Trees
Glad You Came	The Wanted
Good Time	Owl City & Carly Rae Jepsen
I Won't Give Up	Jason Mraz
Come Over	Kenny Chesney
Drive By	Train
We Run The Night	Havana Brown Featuring Pitbull
No Lie	2 Chainz Featuring Drake
Drunk On You	Luke Bryan
Pontoon	Little Big Town
Stronger (What Doesn't Kill You)	Kelly Clarkson
Work Hard, Play Hard	Wiz Khalifa
5-1-5-0	Dierks Bentley
Settle Down	No Doubt
Too Close	Alex Clare
(Kissed You) Good Night	Gloriana
Cashin' Out	Ca$h Out
Wanted	Hunter Hayes
Feel So Close	Calvin Harris
One Thing	One Direction
Even If It Breaks Your Heart	Eli Young Band
Boyfriend	Justin Bieber
Angel Eyes	Love And Theft
The Fighter	Gym Class Heroes Featuring Ryan Tedder
Springsteen	Eric Church
Brokenhearted	Karmin
Lemme See	Usher Featuring Rick Ross
Tongue Tied	Grouplove
Heart Attack	Trey Songz
Back In Time	Pitbull
Chasing The Sun	The Wanted
Burn It Down	Linkin Park
As Long As You Love Me	Justin Bieber Featuring Big Sean
Dark Side	Kelly Clarkson
Over	Blake Shelton
Both Of Us	B.o.B Featuring Taylor Swift
Ho Hey	The Lumineers
Beers Ago	Toby Keith
Little Talks	Of Monsters And Men
Time Is Love	Josh Turner
Beez In The Trap	Nicki Minaj Featuring 2 Chainz
Take It To The Head	DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne
Postcard From Paris	The Band Perry
Amen	Meek Mill Featuring Drake
For You	Keith Urban
Nobody's Perfect	J. Cole Featuring Missy Elliott
Why Ya Wanna	Jana Kramer
Truck Yeah	Tim McGraw
Leave You Alone	Young Jeezy Featuring Ne-Yo
Cowboys And Angels	Dustin Lynch
The Wind	Zac Brown Band
Thinkin Bout You	Frank Ocean
Snap Backs & Tattoos	Driicky Graham
She's So Mean	matchbox twenty
Hard To Love	Lee Brice
2 Reasons	Trey Songz Featuring T.I.
Go Get It	T.I.
Runaways	The Killers
Bag Of Money	Wale Featuring Rick Ross, Meek Mill & T-Pain
Don't Wake Me Up	Chris Brown
It's Time	Imagine Dragons
One More Night	Maroon 5
HYFR (Hell Ya F*****g Right)	Drake Featuring Lil Wayne
My Homies Still	Lil Wayne Featuring Big Sean
Bangarang	Skrillex Featuring Sirah
How We Do (Party)	Rita Ora
Midnight City	M83.
Glass	Thompson Square
Blown Away	Carrie Underwood
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
Crew Love	Drake Featuring The Weeknd
50 Ways To Say Goodbye	Train
Promises	NERO
Something To Do With My Hands	Thomas Rhett
Mercy	Dave Matthews Band
That's Why I Pray	Big & Rich
Gold On The Ceiling	The Black Keys
The A Team	Ed Sheeran
Lovin' You Is Fun	Easton Corbin
Dance Again	Jennifer Lopez Featuring Pitbull
