Fingertips - Pt 2	Little Stevie Wonder
Wipe Out	The Surfaris
(You're the) Devil In Disguise	Elvis Presley With The Jordanaires
Blowin' In The Wind	Peter, Paul & Mary
So Much In Love	The Tymes
Judy's Turn To Cry	Lesley Gore
Surf City	Jan & Dean
Candy Girl	The 4 Seasons
Easier Said Than Done	The Essex
More	Kai Winding & Orchestra
Tie Me Kangaroo Down, Sport	Rolf Harris
Just One Look	Doris Troy
Hopeless	Andy Williams
Memphis	Lonnie Mack
Abilene	George Hamilton IV
Green, Green	The New Christy Minstrels
Hello Mudduh, Hello Fadduh! (A Letter From Camp)	Allan Sherman
Pride And Joy	Marvin Gaye
Ring Of Fire	Johnny Cash
Detroit City	Bobby Bare
Denise	Randy & The Rainbows
Mockingbird	Inez Foxx with Charlie Foxx
Danke Schoen	Wayne Newton And The Newton Brothers
My Whole World Is Falling Down	Brenda Lee
True Love Never Runs Smooth	Gene Pitney
Not Me	The Orlons
Till Then	The Classics
I Wonder	Brenda Lee
If I Had A Hammer	Trini Lopez
Twist It Up	Chubby Checker
My Boyfriend's Back	The Angels
The Monkey Time	Major Lance
Shake! Shake! Shake!	Jackie Wilson
Be Careful Of Stones That You Throw	Dion
I (Who Have Nothing)	Ben E. King
Marlena	The 4 Seasons
Sukiyaki	Kyu Sakamoto
Six Days On The Road	Dave Dudley
Make The World Go Away	Timi Yuro
Hey, Girl	Freddie Scott
My True Confession	Brook Benton
Painted, Tainted Rose	Al Martino
Frankie And Johnny	Sam Cooke
Goodnight My Love	The Fleetwoods
Tips Of My Fingers	Roy Clark
How Many Teardrops	Lou Christie
When A Boy Falls In Love	Mel Carter
Blue On Blue	Bobby Vinton
Surfer Girl	The Beach Boys
Surfin' Hootenanny	Al Casey
Heat Wave	Martha & The Vandellas
The Dreamer	Neil Sedaka
I Want To Stay Here	Steve & Eydie
Wait Til' My Bobby Gets Home	Darlene Love
Mama Don't Allow	The Rooftop Singers
Sometimes You Gotta Cry A Little	Bobby Bland
Rock Me In The Cradle Of Love	Dee Dee Sharp
Hootenanny	The Glencoves
No One	Ray Charles
Surf Party	Chubby Checker
Desert Pete	The Kingston Trio
Don't Say Goodnight And Mean Goodbye	The Shirelles
I'm Afraid To Go Home	Brian Hyland
Brenda	The Cupids
It Hurts To Be Sixteen	Andrea Carroll
Leave Me Alone	Baby Washington
Harry The Hairy Ape	Ray Stevens
I Will Love You	Richard Chamberlain
Groovy Baby	Billy Abbott And The Jewels
Everybody Monkey	Freddy Cannon
It's Too Late	Wilson Pickett
These Foolish Things	James Brown And The Famous Flames
Que Sera, Sera (Whatever Will Be, Will Be)	The High Keyes
This Is All I Ask	Tony Bennett
You Can Never Stop Me Loving You	Johnny Tillotson
Please Don't Talk To The Lifeguard	Diane Ray
Can't Nobody Love You	Solomon Burke
Blue Velvet	Bobby Vinton
Hey There Lonely Boy	Ruby And The Romantics
The Kind Of Boy You Can't Forget	The Raindrops
Martian Hop	The Ran-Dells
This Is All I Ask	Burl Ives
Pay Back	Etta James
Dum Dum Dee Dum	Johnny Cymbal
Drownin' My Sorrows	Connie Francis
Daughter	The Blenders
My Daddy Knows Best	The Marvelettes
Dancin' Holiday	The Olympics
Lucky Lips	Cliff Richard
It's A Lonely Town (Lonely Without You)	Gene McDaniels
Make The Music Play	Dionne Warwick
A Breath Taking Guy	The Supremes
Saturday Sunshine	Burt Bacharach
Man's Temptation	Gene Chandler
The Minute You're Gone	Sonny James
The Lonely Surfer	Jack Nitzsche
(I Cried at) Laura's Wedding	Barbara Lynn
This Is My Prayer	Theola Kilgore
Still No. 2	Ben Colder
More	Vic Dana
