Maneater	Daryl Hall John Oates
Mickey	Toni Basil
Gloria	Laura Branigan
The Girl Is Mine	Michael Jackson And Paul McCartney
Truly	Lionel Richie
Steppin' Out	Joe Jackson
Dirty Laundry	Don Henley
Sexual Healing	Marvin Gaye
Rock This Town	Stray Cats
Muscles	Diana Ross
It's Raining Again	Supertramp Featuring Roger Hodgson
Down Under	Men At Work
Shadows Of The Night	Pat Benatar
Heartbreaker	Dionne Warwick
Up Where We Belong	Joe Cocker And Jennifer Warnes
Africa	Toto
Rock The Casbah	The Clash
You And I	Eddie Rabbitt With Crystal Gayle
The Look Of Love (Part One)	ABC
Baby, Come To Me	Patti Austin A Duet With James Ingram
The Other Guy	Little River Band
You Can't Hurry Love	Phil Collins
Missing You	Dan Fogelberg
Heart Attack	Olivia Newton-John
Hand To Hold On To	John Cougar
Heart To Heart	Kenny Loggins
Goody Two Shoes	Adam Ant
Be My Lady	Jefferson Starship
On The Wings Of Love	Jeffrey Osborne
You Got Lucky	Tom Petty And The Heartbreakers
I Do	The J. Geils Band
Everybody Wants You	Billy Squier
Love In Store	Fleetwood Mac
A Penny For Your Thoughts	Tavares
What About Me	Moving Pictures
Let's Go Dancin' (ooh La, La, La)	Kool & The Gang
Shock The Monkey	Peter Gabriel
Heart Of The Night	Juice Newton
Allentown	Billy Joel
Shame On The Moon	Bob Seger & The Silver Bullet Band
Whatcha Gonna Do	Chilliwack
Two Less Lonely People In The World	Air Supply
Does It Make You Remember	Kim Carnes
1999	Prince
Space Age Love Song	A Flock Of Seagulls
Used To Be	Charlene & Stevie Wonder
(you're So Square) Baby, I Don't Care	Joni Mitchell
I Gotta Try	Michael McDonald
Southern Cross	Crosby, Stills & Nash
Memory	Barry Manilow
Bad Boy	Ray Parker Jr.
Theme From Dynasty	Bill Conti
Right Before Your Eyes	America
Your Love Is Driving Me Crazy	Sammy Hagar
Bad Boy/Having A Party	Luther Vandross
Put It In A Magazine	Sonny Charles
Heartlight	Neil Diamond
I Know There's Something Going On	Frida
Twilight Zone	Golden Earring
All Those Lies	Glenn Frey
Psychobabble	The Alan Parsons Project
Do You Really Want To Hurt Me	Culture Club
Love Me Tomorrow	Chicago
On The Loose	Saga
I.g.y. (what A Beautiful World)	Donald Fagen
I Knew You When	Linda Ronstadt
Nowhere To Run	Santana
Pass The Dutchie	Musical Youth
Cross My Heart	Lee Ritenour
After I Cry Tonight	Lanier & Co.
The Elvis Medley	Elvis Presley
Painted Picture	Commodores
Pressure	Billy Joel
Papa Was A Rollin' Stone	Wolf
Give It Up	The Steve Miller Band
Back On The Chain Gang	Pretenders
Nobody	Sylvia
The Woman In Me	Donna Summer
Young Love	Janet Jackson
Funny How Time Slips Away	The Spinners
All Touch	Rough Trade
Forever Mine	The Motels
Don't Stop Trying	Rodway
The Clapping Song	Pia Zadora
Are You Getting Enough Happiness	Hot Chocolate
I'm So Excited	The Pointer Sisters
Goodbye To You	Scandal Featuring Patty Smyth
You Don't Want Me Anymore	Steel Breeze
Shoot For The Moon	Poco
Beg, Borrow Or Steal	Hughes/Thrall
Stand Or Fall	The Fixx
Destination Unknown	Missing Persons
American Heartbeat	Survivor
A Love Song	Kenny Rogers
Who Can It Be Now?	Men At Work
Jack & Diane	John Cougar
You've Got Another Thing Comin'	Judas Priest
Eye In The Sky	The Alan Parsons Project
Get Closer	Linda Ronstadt
Wake Up My Love	George Harrison
