Rich Girl	Daryl Hall John Oates
Dancing Queen	ABBA
Don't Give Up On Us	David Soul
Don't Leave Me This Way	Thelma Houston
Evergreen (Love Theme From "A Star Is Born")	Barbra Streisand
Southern Nights	Glen Campbell
The Things We Do For Love	10cc
Hotel California	Eagles
I've Got Love On My Mind	Natalie Cole
Maybe I'm Amazed	Wings
Carry On Wayward Son	Kansas
So In To You	Atlanta Rhythm Section
Fly Like An Eagle	Steve Miller
I Like Dreamin'	Kenny Nolan
Say You'll Stay Until Tomorrow	Tom Jones
Torn Between Two Lovers	Mary Macgregor
Night Moves	Bob Seger
Tryin' To Love Two	William Bell
Right Time Of The Night	Jennifer Warnes
Sam	Olivia Newton-John
When I Need You	Leo Sayer
I Wanna Get Next To You	Rose Royce
The First Cut Is The Deepest	Rod Stewart
Do Ya	Electric Light Orchestra
Gloria	Enchantment
Lido Shuffle	Boz Scaggs
Free	Deniece Williams
Disco Lucy (i Love Lucy Theme)	Wilton Place Street Band
Go Your Own Way	Fleetwood Mac
Can't Stop Dancin'	Captain & Tennille
At Midnight (My Love Will Lift You Up)	Rufus Featuring Chaka Khan
Your Love	Marilyn McCoo & Billy Davis Jr.
Couldn't Get It Right	Climax Blues Band
All Strung Out On You	John Travolta
I'm Your Boogie Man	KC And The Sunshine Band
N.y., You Got Me Dancing	Andrea True Connection
Somethin' 'bout 'cha	Latimore
Love In 'C' Minor - Pt. I	Cerrone
Magical Mystery Tour	Ambrosia
Angel In Your Arms	Hot
Crackerbox Palace	George Harrison
Spring Rain	Silvetti
Boogie Child	Bee Gees
Dancin' Man	Q
Phantom Writer	Gary Wright
Sometimes	Facts Of Life
Heard It In A Love Song	The Marshall Tucker Band
Calling Dr. Love	KISS
Love In 'C' Minor	The Heart And Soul Orchestra
Blinded By The Light	Manfred Mann's Earth Band
Year Of The Cat	Al Stewart
Do What You Wanna Do	T-Connection
Be My Girl	The Dramatics
Here Come Those Tears Again	Jackson Browne
Uptown Festival (Part 1)	Shalamar
There Will Come A Day (I'm Gonna Happen To You)	Smokey Robinson
Lonely Boy	Andrew Gold
My Sweet Lady	John Denver
Tie Your Mother Down	Queen
Whodunit	Tavares
"Roots" Medley	Quincy Jones
Your Own Special Way	Genesis
Disco Inferno	The Trammps
You're Throwing A Good Love Away	The Spinners
Hello Stranger	Yvonne Elliman
Lucille	Kenny Rogers
Sailing Ships	Mesa
I'll Be Standing By	Foghat
Cherry Baby	Starz
Feels Like The First Time	Foreigner
Old Fashioned Boy (You're The One)	Stallion
Dreamin	Loleatta Holloway
Dancin'	Crown Heights Affair
Sir Duke	Stevie Wonder
You Know Like I Know	Ozark Mountain Daredevils
I Think We're Alone Now	The Rubinoos
Cinderella	Firefall
(Theme from) Charlie's Angels	Henry Mancini And His Orchestra
Love Is Better In The A.M. (Part 1)	Johnnie Taylor
Ain't Gonna Bump No More (with No Big Fat Woman)	Joe Tex
Living Next Door To Alice	Smokie
Long Time	Boston
Rock And Roll Star	Champagne
Margaritaville	Jimmy Buffett
Sub-rosa Subway/calling Occupants	Klaatu
Sleepwalker	The Kinks
I Wanna Do It To You	Jerry Butler
You Take My Heart Away	James Darren
Sing	Tony Orlando & Dawn
Love's Grown Deep	Kenny Nolan
It Feels So Good To Be Loved So Bad	The Manhattans
Slowdown	John Miles
Arrested For Driving While Blind	ZZ Top
Weekend In New England	Barry Manilow
Deeply	Anson Williams
Romeo	Mr. Big
Part Time Love	Kerry Chater
Undercover Angel	Alan O'Day
Enjoy Yourself	The Jacksons
You + Me = Love/Let's Go Down To The Disco	Undisputed Truth
