Go Away Little Girl	Donny Osmond
Spanish Harlem	Aretha Franklin
Ain't No Sunshine	Bill Withers
Maggie May/Reason To Believe	Rod Stewart
Uncle Albert/Admiral Halsey	Paul & Linda McCartney
Smiling Faces Sometimes	The Undisputed Truth
I Just Want To Celebrate	Rare Earth
The Night They Drove Old Dixie Down	Joan Baez
How Can You Mend A Broken Heart	Bee Gees
Whatcha See Is Whatcha Get	The Dramatics
Stick-Up	The Honey Cone
Superstar/Bless The Beasts And Children	Carpenters
Take Me Home, Country Roads	John Denver
I Woke Up In Love This Morning	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Won't Get Fooled Again	The Who
Do You Know What I Mean	Lee Michaels
Liar	Three Dog Night
Signs	Five Man Electrical Band
Tired Of Being Alone	Al Green
If You Really Love Me	Stevie Wonder
Sweet City Woman	Stampeders
Chirpy Chirpy Cheep Cheep	Mac And Katie Kissoon
Bangla-Desh/Deep Blue	George Harrison
The Story In Your Eyes	The Moody Blues
So Far Away/Smackwater Jack	Carole King
Beginnings/Colour My World	Chicago
Make It Funky (Part 1)	James Brown
Riders On The Storm	The Doors
Rain Dance	The Guess Who
Saturday Morning Confusion	Bobby Russell
Mercy, Mercy Me (The Ecology)	Marvin Gaye
If Not For You	Olivia Newton-John
Wedding Song (There Is Love)	Paul Stookey
The Breakdown (Part I)	Rufus Thomas
Thin Line Between Love & Hate	The Persuaders
The Love We Had (Stays On My Mind)	The Dells
I Ain't Got Time Anymore	The Glass Bottle
Surrender	Diana Ross
I've Found Someone Of My Own	The Free Movement
Yo-Yo	The Osmonds
All Day Music	War
Trapped By A Thing Called Love	Denise LaSalle
Marianne	Stephen Stills
Go Down Gamblin'	Blood, Sweat & Tears
Stagger Lee	Tommy Roe
Where Evil Grows	The Poppy Family
Stop, Look, Listen (To Your Heart)	The Stylistics
Loving Her Was Easier (Than Anything I'll Ever Do Again)	Kris Kristofferson
Easy Loving	Freddie Hart
Another Time, Another Place	Engelbert Humperdinck
Crazy Love	Helen Reddy
K-Jee	The Nite-Liters
Take Me Girl, I'm Ready	Jr. Walker & The All Stars
I Likes To Do It	The People's Choice
Call My Name, I'll Be There	Wilson Pickett
Maggie	Redbone
Annabella	Hamilton, Joe Frank & Reynolds
Ko-Ko Joe	Jerry Reed
Is That The Way	Tin Tin
A Natural Man	Lou Rawls
Gimme Shelter	Grand Funk Railroad
MacArthur Park (Part II)	Four Tops
How Can I Unlove You	Lynn Anderson
Them Changes	Buddy Miles & The Freedom Express
Hijackin' Love	Johnnie Taylor (The Soul Philosopher)
One Fine Morning	Lighthouse
Think His Name	Johnny Rivers
Waiting At The Bus Stop	Bobby Sherman
Women's Love Rights	Laura Lee
Birds Of A Feather	The Raiders
Roll On	The New Colony Six
California Kid And Reemo	Lobo
Talk It Over In The Morning	Anne Murray
Don't Try To Lay No Boogie-Woogie On The King Of Rock And Roll	John Baldry
All My Trials	Ray Stevens
Ghetto Woman	B.B. King
I'd Rather Be Sorry	Ray Price
Get It While You Can	Janis Joplin
The Year That Clayton Delaney Died	Tom T. Hall
Feel So Bad	Ray Charles
Charity Ball	Fanny
Military Madness	Graham Nash
He'd Rather Have The Rain	Heaven Bound with Tony Scotti
Pin The Tail On The Donkey	The Newcomers
Some Of Shelly's Blues	Nitty Gritty Dirt Band
I Know I'm In Love	Chee-Chee & Peppy
One Tin Soldier, The Legend of Billy Jack	Coven
Gypsys, Tramps & Thieves	Cher
Never My Love	The 5th Dimension
It's A Cryin' Shame	Gayle McCormick
You've Got To Crawl (Before You Walk)	The 8th Day
Solo	Billie Sans
That's The Way A Woman Is	Messengers
Can You Get To That	Funkadelic
Handbags And Gladrags	Chase
A Part Of You	Brenda & The Tabulations
It's For You	Springwell
Summer Side Of Life	Gordon Lightfoot
Black Seeds Keep On Growing	The Main Ingredient
I Like What You Give	Nolan
