My Sharona	The Knack
Good Times	Chic
The Main Event/Fight	Barbra Streisand
After The Love Has Gone	Earth, Wind & Fire
Bad Girls	Donna Summer
Don't Bring Me Down	Electric Light Orchestra
The Devil Went Down To Georgia	The Charlie Daniels Band
Lead Me On	Maxine Nightingale
Mama Can't Buy You Love	Elton John
Sad Eyes	Robert John
When You're In Love With A Beautiful Woman	Dr. Hook
Ring My Bell	Anita Ward
You Can't Change That	Raydio
I'll Never Love This Way Again	Dionne Warwick
Suspicions	Eddie Rabbitt
I Was Made For Lovin' You	KISS
Let's Go	The Cars
Goodbye Stranger	Supertramp
Lonesome Loser	Little River Band
Hot Summer Nights	Night
Is She Really Going Out With Him?	Joe Jackson
Heaven Must Have Sent You	Bonnie Pointer
Sail On	Commodores
Morning Dance	Spyro Gyra
I Do Love You	GQ
Bad Case Of Loving You (Doctor, Doctor)	Robert Palmer
Highway Song	Blackfoot
Born To Be Alive	Patrick Hernandez
Driver's Seat	Sniff 'n' the Tears
Cruel To Be Kind	Nick Lowe
Makin' It	David Naughton
Different Worlds	Maureen McGovern
Oh Well	Rockets
Rise	Herb Alpert
Gold	John Stewart
The Boss	Diana Ross
Lovin', Touchin', Squeezin'	Journey
Girl Of My Dreams	Bram Tchaikovsky
Pop Muzik	M
Hold On	Triumph
Young Blood	Rickie Lee Jones
Saturdaynight	Herman Brood
Hot Stuff	Donna Summer
One Way Or Another	Blondie
Lady Writer	Dire Straits
What Cha Gonna Do With My Lovin'	Stephanie Mills
Got To Give In To Love	Bonnie Boyer
Where Were You When I Was Falling In Love	Lobo
Baby I Want You	Funky Communication Committee
Ain't That A Shame	Cheap Trick
Get It Right Next Time	Gerry Rafferty
Totally Hot	Olivia Newton-John
Rock And Roll Dancin'	Beckmeier Brothers
Don't Stop 'til You Get Enough	Michael Jackson
Children Of The Sun	Billy Thorpe
Gone, Gone, Gone	Bad Company
Firecracker	Mass Production
This Is Love	Oak
Dependin' On You	The Doobie Brothers
I Know A Heartache When I See One	Jennifer Warnes
I Want You To Want Me	Cheap Trick
Spooky	Atlanta Rhythm Section
Ghost Dancer	Addrisi Brothers
You've Got Another Thing Coming	Hotel
This Night Won't Last Forever	Michael Johnson
Rolene	Moon Martin
You Gonna Make Me Love Somebody Else	The Jones Girls
Just Another Night	Ian Hunter
Good Friend	Mary Macgregor
Dim All The Lights	Donna Summer
Best Beat In Town	Switch
Remember (Walking In The Sand)	Louise Goffin
Midnight Wind	John Stewart
The Topical Song	The Barron Knights
Then You Can Tell Me Goodbye	Toby Beau
Groove Me	Fern Kinney
Found A Cure	Ashford & Simpson
So Good, So Right	Brenda Russell
H.a.p.p.y. Radio	Edwin Starr
Do It Good	A Taste Of Honey
Get A Move On	Eddie Money
Rocky II Disco	Maynard Ferguson
Arrow Through Me	Wings
Where Will Your Heart Take You	Buckeye
I've Got The Next Dance	Deniece Williams
Please Don't Go	KC And The Sunshine Band
If You Remember Me	Chris Thompson & Night
Street Life	The Crusaders
You've Lost That Lovin' Feelin'	Long John Baldry & Kathi MacDonald
Frederick	Patti Smith Group
Crank It Up (Funk Town) Pt. 1	Peter Brown
Ain't No Stoppin' Us Now	McFadden & Whitehead
Shine A Little Love	Electric Light Orchestra
Turn Off The Lights	Teddy Pendergrass
We Are Family	Sister Sledge
Why Leave Us Alone	Five Special
Boogie Wonderland	Earth, Wind & Fire with The Emotions
Love Me Tonight	Blackjack
Do It Or Die	Atlanta Rhythm Section
Love You Inside Out	Bee Gees
