Kiss And Say Goodbye	The Manhattans
Love Is Alive	Gary Wright
Moonlight Feels Right	Starbuck
Afternoon Delight	Starland Vocal Band
Don't Go Breaking My Heart	Elton John & Kiki Dee
Get Closer	Seals & Crofts (Featuring Carolyn Willis)
Got To Get You Into My Life	The Beatles
Rock And Roll Music	The Beach Boys
I'll Be Good To You	The Brothers Johnson
Let 'em In	Wings
You Should Be Dancing	Bee Gees
If You Know What I Mean	Neil Diamond
You'll Never Find Another Love Like Mine	Lou Rawls
Turn The Beat Around	Vicki Sue Robinson
Tear The Roof Off The Sucker (Give Up The Funk)	Parliament
You're My Best Friend	Queen
This Masquerade	George Benson
Let Her In	John Travolta
I'm Easy	Keith Carradine
More, More, More Pt. 1	Andrea True Connection
Baby, I Love Your Way	Peter Frampton
Last Child	Aerosmith
A Fifth Of Beethoven	Walter Murphy & The Big Apple Band
Young Hearts Run Free	Candi Staton
I Need To Be In Love	Carpenters
Sophisticated Lady (She's A Different Lady)	Natalie Cole
The Boys Are Back In Town	Thin Lizzy
I'd Really Love To See You Tonight	England Dan & John Ford Coley
Something He Can Feel	Aretha Franklin
Say You Love Me	Fleetwood Mac
Heaven Must Be Missing An Angel (part 1)	Tavares
Take The Money And Run	Steve Miller
Another Rainy Day In New York City	Chicago
Play That Funky Music	Wild Cherry
Who'd She Coo?	Ohio Players
Steppin' Out	Neil Sedaka
(Shake, Shake, Shake) Shake Your Booty	KC And The Sunshine Band
C'mon Marianne	Donny Osmond
A Little Bit More	Dr. Hook
Summer	War
Shop Around	Captain & Tennille
I'm Gonna Let My Heart Do The Walking	The Supremes
Shower The People	James Taylor
Wham Bam (Shang-A-Lang)	Silver
Getaway	Earth, Wind & Fire
Lowdown	Boz Scaggs
Devil Woman	Cliff Richard
Hold On	Sons Of Champlin
Everything's Coming Up Love	David Ruffin
Springtime Mama	Henry Gross
Roots, Rock, Reggae	Bob Marley And The Wailers
Teddy Bear	Red Sovine
Silly Love Songs	Wings
Misty Blue	Dorothy Moore
Sara Smile	Daryl Hall John Oates
With Your Love	Jefferson Starship
Gotta Be The One	Maxine Nightingale
Ten Percent	Double Exposure
Cotton Candy	The Sylvers
Dancin' Kid	Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
Wake Up Susan	The Spinners
Street Singin'	Lady Flash
She's Gone	Daryl Hall John Oates
Foxy Lady	Crown Heights Affair
Honey Child	Bad Company
Don't Touch Me There	The Tubes
Ode To Billie Joe	Bobbie Gentry
Never Gonna Fall In Love Again	Eric Carmen
Still The One	Orleans
Hey Shirley (This Is Squirrely)	Shirley & Squirrely
Devil With A Blue Dress	Pratt & McClain
Rainbow In Your Eyes	Leon & Mary Russell
Struttin' My Stuff	Elvin Bishop
Magic Man	Heart
Light Up The World With Sunshine	Hamilton, Joe Frank & Dennison
(The System Of) Doctor Tarr And Professor Fether	The Alan Parsons Project
I Never Cry	Alice Cooper
Rocky Mountain Music	Eddie Rabbitt
Mary Hartman, Mary Hartman	The Deadly Nightshade
Try Me, I Know We Can Make It	Donna Summer
Ode To Billy Joe - Main Title	Bobbie Gentry
Funny How Time Slips Away	Dorothy Moore
(Don't Fear) The Reaper	Blue Oyster Cult
It Keeps You Runnin'	Carly Simon
I've Been Lovin' You	Easy Street
You To Me Are Everything	The Real Thing
Get Up And Boogie (That's Right)	Silver Convention
You To Me Are Everything	Broadway
Hot Stuff/fool To Cry	The Rolling Stones
The More You Do It (The More I Like It Done To Me)	Ronnie Dyson
Today's The Day	America
Baby, We Better Try To Get It Together	Barry White
Rock Creek Park	The Blackbyrds
Up The Creek (without A Paddle)	The Temptations
Can't Change My Heart	Cate Bros.
Hideaway	John Sebastian
Blt	Lee Oskar
Framed	Cheech & Chong
You To Me Are Everything, Part I	Revelation
Love Hangover	Diana Ross
