Call Me Maybe	Carly Rae Jepsen
Somebody That I Used To Know	Gotye Featuring Kimbra
Payphone	Maroon 5 Featuring Wiz Khalifa
We Are Young	fun. Featuring Janelle Monae
What Makes You Beautiful	One Direction
Starships	Nicki Minaj
Wild Ones	Flo Rida Featuring Sia
Where Have You Been	Rihanna
Wide Awake	Katy Perry
Boyfriend	Justin Bieber
Glad You Came	The Wanted
Back In Time	Pitbull
Lights	Ellie Goulding
Scream	Usher
Drive By	Train
Drunk On You	Luke Bryan
Brokenhearted	Karmin
Titanium	David Guetta Featuring Sia
Stronger (What Doesn't Kill You)	Kelly Clarkson
Springsteen	Eric Church
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
All Around The World	Justin Bieber Featuring Ludacris
Feel So Close	Calvin Harris
The Motto	Drake Featuring Lil Wayne
Take Care	Drake Featuring Rihanna
I Won't Give Up	Jason Mraz
Good Girl	Carrie Underwood
Drank In My Cup	Kirko Bangz
Work Hard, Play Hard	Wiz Khalifa
Everybody Talks	Neon Trees
Part Of Me	Katy Perry
Come Over	Kenny Chesney
Rumour Has It	Adele
Give Your Heart A Break	Demi Lovato
Somethin' 'Bout A Truck	Kip Moore
The Fighter	Gym Class Heroes Featuring Ryan Tedder
Cashin' Out	Ca$h Out
My Homies Still	Lil Wayne Featuring Big Sean
Even If It Breaks Your Heart	Eli Young Band
Climax	Usher
Faded	Tyga Featuring Lil Wayne
We Found Love	Rihanna Featuring Calvin Harris
Set Fire To The Rain	Adele
Birthday Cake	Rihanna Featuring Chris Brown
Party Rock Anthem	LMFAO Featuring Lauren Bennett & GoonRock
Sexy And I Know It	LMFAO
Some Nights	fun.
5-1-5-0	Dierks Bentley
Good Feeling	Flo Rida
You Don't Know Her Like I Do	Brantley Gilbert
Pontoon	Little Big Town
Beez In The Trap	Nicki Minaj Featuring 2 Chainz
We Run The Night	Havana Brown Featuring Pitbull
One Thing	One Direction
(Kissed You) Good Night	Gloriana
Heart Attack	Trey Songz
Fly Over States	Jason Aldean
Let's Go	Calvin Harris Featuring Ne-Yo
Beers Ago	Toby Keith
Leave You Alone	Young Jeezy Featuring Ne-Yo
Wanted	Hunter Hayes
HYFR (Hell Ya F*****g Right)	Drake Featuring Lil Wayne
No Hurry	Zac Brown Band
Tongue Tied	Grouplove
Dance Again	Jennifer Lopez Featuring Pitbull
Burn It Down	Linkin Park
No Lie	2 Chainz Featuring Drake
Both Of Us	B.o.B Featuring Taylor Swift
Angel Eyes	Love And Theft
Postcard From Paris	The Band Perry
Take It To The Head	DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne
Get Low	Waka Flocka Flame Featuring Nicki Minaj, Tyga & Flo Rida
Nobody's Perfect	J. Cole Featuring Missy Elliott
Why Ya Wanna	Jana Kramer
Too Close	Alex Clare
UP!	LoveRance Featuring IamSu & Skipper or 50 Cent
Ayy Ladies	Travis Porter Featuring Tyga
Time Is Love	Josh Turner
Little Talks	Of Monsters And Men
Lemme See	Usher Featuring Rick Ross
Right By My Side	Nicki Minaj Featuring Chris Brown
Crew Love	Drake Featuring The Weeknd
For You	Keith Urban
So Good	B.o.B
How We Do (Party)	Rita Ora
Cowboys And Angels	Dustin Lynch
Eyes Open	Taylor Swift
Midnight City	M83.
Turn Up The Music	Chris Brown
Ho Hey	The Lumineers
Chasing The Sun	The Wanted
Die In Your Arms	Justin Bieber
It's Time	Imagine Dragons
Shadow Days	John Mayer
Fine By Me	Andy Grammer
Same Damn Time	Future
Gold On The Ceiling	The Black Keys
Banjo	Rascal Flatts
Home	Phillip Phillips
Glass	Thompson Square
