Seasons In The Sun	Terry Jacks
Boogie Down	Eddie Kendricks
The Way We Were	Barbra Streisand
Jungle Boogie	Kool & The Gang
Rock On	David Essex
Dark Lady	Cher
Spiders & Snakes	Jim Stafford
Mockingbird	Carly Simon & James Taylor
Until You Come Back To Me (That's What I'm Gonna Do)	Aretha Franklin
Sunshine On My Shoulders	John Denver
Love's Theme	Love Unlimited Orchestra
Love Song	Anne Murray
Eres Tu (Touch The Wind)	Mocedades
Jet	Paul McCartney And Wings
Put Your Hands Together	The O'Jays
I Love	Tom T. Hall
Come And Get Your Love	Redbone
Sexy Mama	Moments
Trying To Hold On To My Woman	Lamont Dozier
You're Sixteen	Ringo Starr
Hooked On A Feeling	Blue Swede
My Sweet Lady	Cliff DeYoung
Bennie And The Jets	Elton John
Mighty Love - Pt. 1	The Spinners
Let Me Be There	Olivia Newton-John
There Won't Be Anymore	Charlie Rich
Last Time I Saw Him	Diana Ross
I Like To Live The Love	B.B. King
Rock And Roll, Hoochie Koo	Rick Derringer
Americans	Byron MacGregor
The Lord's Prayer	Sister Janet Mead
Best Thing That Ever Happened To Me	Gladys Knight And The Pips
Star	Stealers Wheel
Doo Doo Doo Doo Doo (heartbreaker)	The Rolling Stones
Energy Crisis '74	Dickie Goodman
A Very Special Love Song	Charlie Rich
Lookin' For A Love	Bobby Womack
Last Kiss	Wednesday
Show And Tell	Al Wilson
Midnight Rider	Gregg Allman
I've Got To Use My Imagination	Gladys Knight And The Pips
TSOP (The Sound Of Philadelphia)	MFSB Featuring The Three Degrees
We're Getting Careless With Our Love	Johnnie Taylor
WOLD	Harry Chapin
I've Got A Thing About You Baby/Take Good Care Of Her	Elvis Presley
I'll Be The Other Woman	The Soul Children
Just Don't Want To Be Lonely	The Main Ingredient
Jim Dandy	Black Oak Arkansas
Abra-Ca-Dabra	The De Franco Family
Can This Be Real	Natural Four
Thanks For Saving My Life	Billy Paul
On A Night Like This	Bob Dylan
Touch A Hand, Make A Friend	The Staple Singers
Life Is A Song Worth Singing	Johnny Mathis
Let It Ride	Bachman-Turner Overdrive
Tell Me A Lie	Sami Jo
In The Mood	Bette Midler
I'll Have To Say I Love You In A Song	Jim Croce
Homely Girl	The Chi-lites
Jolene	Dolly Parton
I Wish It Was Me	Tyrone Davis
I Just Can't Get You Out Of My Mind	Four Tops
Honey Please, Can't Ya See	Barry White
What It Comes Down To	The Isley Brothers
Oh My My	Ringo Starr
It's Been A Long Time	The New Birth
My Mistake (Was To Love You)	Diana Ross & Marvin Gaye
Houston (I'm Comin' To See You)	Glen Campbell
She's Gone	Daryl Hall John Oates
That's The Sound That Lonely Makes	Tavares
Piano Man	Billy Joel
Would You Lay With Me (in A Field Of Stone)	Tanya Tucker
Must Be Love	The James Gang
Tubular Bells	Mike Oldfield
Outside Woman	Bloodstone
Your Cash Ain't Nothin' But Trash	The Steve Miller Band
Virginia (Touch Me Like You Do)	Bill Amesbury
Star Baby	The Guess Who
Quick, Fast, In A Hurry	New York City
Beyond The Blue Horizon	Lou Christie
Watching The River Run	Loggins & Messina
The Loco-Motion	Grand Funk
Midnight At The Oasis	Maria Muldaur
I'm A Train	Albert Hammond
Unborn Child	Seals & Crofts
Keep On Singing	Helen Reddy
Stop To Start	Blue Magic
There's Got To Be Rain In Your Life (To Appreciate The Sunshine)	Dorothy Norwood
She	Southcote
Touch And Go	Al Wilson
The Crude Oil Blues	Jerry Reed
Goin' Down Slow	Bobby "Blue" Bland
Get That Gasoline Blues	NRBQ
Best Thing That Ever Happened To Me	The Persuaders
Mighty Mighty	Earth, Wind & Fire
Pepper Box	The Peppers
Newsy Neighbors	First Choice
Mr. Natural	Bee Gees
Music Eyes	Heartsfield
Once You Understand	Think
