Crazy In Love	Beyonce Featuring Jay Z
Magic Stick	Lil' Kim Featuring 50 Cent
This Is The Night	Clay Aiken
Rock Wit U (Awww Baby)	Ashanti
21 Questions	50 Cent Featuring Nate Dogg
Get Busy	Sean Paul
Unwell	matchbox twenty
Bring Me To Life	Evanescence Featuring Paul McCoy
Right Thurr	Chingy
So Gone	Monica
I Know What You Want	Busta Rhymes & Mariah Carey Featuring The Flipmode Squad
Miss Independent	Kelly Clarkson
Flying Without Wings	Ruben Studdard
Drift Away	Uncle Kracker Featuring Dobie Gray
Never Leave You - Uh Ooh, Uh Oooh!	Lumidee
Can't Let You Go	Fabolous Featuring Mike Shorey & Lil' Mo
In Those Jeans	Ginuwine
P.I.M.P.	50 Cent
When I'm Gone	3 Doors Down
Rock Your Body	Justin Timberlake
Ignition	R. Kelly
Into You	Fabolous Featuring Tamia Or Ashanti
Don't Wanna Try	Frankie J
No Letting Go	Wayne Wonder
Where Is The Love?	The Black Eyed Peas
Intuition	Jewel
Beer For My Horses	Toby Keith Duet With Willie Nelson
Are You Happy Now?	Michelle Branch
My Front Porch Looking In	Lonestar
Get Low	Lil Jon & The East Side Boyz Featuring Ying Yang Twins
In Da Club	50 Cent
Act A Fool	Ludacris
If You're Not The One	Daniel Bedingfield
Like Glue	Sean Paul
Shake Ya Tailfeather	Nelly, P. Diddy & Murphy Lee
Forever And For Always	Shania Twain
Stay Gone	Jimmy Wayne
Fighter	Christina Aguilera
Red Dirt Road	Brooks & Dunn
I Want You	Thalia Featuring Fat Joe
Snake	R. Kelly Featuring Big Tigger
Never Scared	Bone Crusher Featuring Killer Mike & T.I.
Calling All Angels	Train
Picture	Kid Rock Featuring Sheryl Crow Or Allison Moorer
It's Five O'Clock Somewhere	Alan Jackson & Jimmy Buffett
Celebrity	Brad Paisley
Speed	Montgomery Gentry
Love At 1st Sight	Mary J. Blige Featuring Method Man
Like A Pimp	David Banner Featuring Lil' Flip
Come Over	Aaliyah
Big Yellow Taxi	Counting Crows Featuring Vanessa Carlton
No Shoes, No Shirt, No Problems	Kenny Chesney
The Remedy (I Won't Worry)	Jason Mraz
Put That Woman First	Jaheim
Like A Stone	Audioslave
Frontin'	Pharrell Featuring Jay-Z
I Wish I Wasn't	Heather Headley
Addicted	Simple Plan
Pump It Up	Joe Budden
Feel Good Time	P!nk Featuring William Orbit
Say Yes	Floetry
The Love Song	Jeff Bates
Dance With My Father	Luther Vandross
Headstrong	Trapt
My Love Is Like... Wo	Mya
Swing, Swing	The All-American Rejects
Three Wooden Crosses	Randy Travis
Love You Out Loud	Rascal Flatts
What Was I Thinkin'	Dierks Bentley
Tell Me Something Bad About Tulsa	George Strait
4 Ever	Lil' Mo Featuring Fabolous
Almost Home	Craig Morgan
Help Pour Out The Rain (Lacey's Song)	Buddy Jewell
Send The Pain Below	Chevelle
What Would You Do?	The Isley Brothers Featuring Ronald Isley
I Believe	Diamond Rio
99.9% Sure (I've Never Been Here Before)	Brian McComas
Real Good Man	Tim McGraw
What The World Needs	Wynonna
The Truth About Men	Tracy Byrd
Seven Nation Army	The White Stripes
Somewhere I Belong	Linkin Park
Let's Get Down	Bow Wow Featuring Baby
Breathe	Blu Cantrell Featuring Sean Paul
Have You Forgotten?	Darryl Worley
In Love Wit Chu	Da Brat Featuring Cherish
Stupid Girl	Cold
Times Like These	Foo Fighters
I Love You	Dru Hill
Stuck	Stacie Orrico
I'm Glad	Jennifer Lopez
What A Beautiful Day	Chris Cagle
Sing For The Moment	Eminem
Still Ballin	2Pac Featuring Trick Daddy
Try It On My Own	Whitney Houston
Raining On Sunday	Keith Urban
She's My Kind Of Rain	Tim McGraw
Tal Vez	Ricky Martin
Concrete Angel	Martina McBride
I Can	Nas
